n,basecase_ns,toom22_ns,toom33_ns
230,1478.22,1076.02,1237.29
231,1485.68,1077.88,1231.73
232,1501.69,1113.54,1245.38
233,1516.34,1108.78,1247.54
234,1527.68,1108.57,1253.38
235,1535.76,1126.04,1183.44
236,1556.62,1119.53,1192.39
237,1561.78,1130.90,1251.15
238,1583.54,1118.03,1236.78
239,1589.64,1128.60,1239.56
240,1604.69,1154.55,1299.33
241,1620.87,1173.72,1327.86
242,1635.33,1167.32,1308.76
243,1639.27,1180.46,1333.68
244,1657.65,1173.67,1332.12
245,1670.26,1199.99,1344.30
246,1686.05,1201.98,1354.08
247,1695.60,1218.12,1330.23
248,1714.10,1217.19,1337.98
249,1726.02,1225.25,1363.69
250,1747.13,1232.40,1402.41
251,1747.63,1232.02,1407.53
252,1764.22,1237.00,1412.31
253,1777.71,1242.29,1428.57
254,1795.33,1253.31,1432.95
255,1803.82,1241.13,1440.75
256,1820.22,1240.61,1427.90
257,1837.38,1261.54,1427.91
258,1858.04,1278.65,1427.59
259,1861.47,1312.86,1440.76
260,1878.11,1331.97,1450.07
261,1896.20,1343.21,1450.46
262,1916.38,1348.84,1513.07
263,1918.51,1365.66,1504.71
264,1943.48,1367.21,1558.89
265,1949.55,1379.06,1471.68
266,1975.55,1384.64,1475.23
267,1978.93,1394.16,1476.64
268,1998.58,1382.04,1504.68
269,2010.51,1394.72,1534.12
270,2032.74,1402.75,1518.09
271,2040.76,1410.76,1489.31
272,2058.72,1433.10,1487.51
273,2069.56,1434.81,1548.29
274,2090.85,1436.86,1575.90
275,2100.70,1457.85,1559.16
276,2113.76,1454.41,1592.28
277,2128.62,1471.84,1600.75
278,2154.45,1481.26,1602.30
279,2160.42,1495.86,1541.97
280,2181.39,1492.12,1560.73
281,2185.62,1493.99,1557.53
282,2215.35,1503.60,1635.60
283,2220.63,1524.15,1509.33
284,2244.47,1516.22,1511.69
285,2252.99,1526.22,1519.02
286,2274.89,1537.65,1656.82
287,2290.15,1537.94,1565.65
288,2314.85,1542.80,1640.48
289,2319.65,1563.14,1643.84
290,2335.47,1577.55,1635.47
291,2347.07,1615.12,1708.26
292,2378.15,1626.56,1709.73
293,2389.84,1638.49,1748.21
294,2408.76,1650.92,1756.54
295,2421.47,1667.30,1755.90
296,2443.12,1678.93,1759.88
297,2449.20,1676.37,1778.08
298,2480.56,1680.17,1816.09
299,2476.77,1685.66,1806.21
300,2509.92,1673.52,1826.71
301,2522.37,1697.15,1744.45
302,2544.76,1714.85,1820.87
303,2552.63,1722.12,1826.36
304,2576.48,1743.91,1808.15
305,2583.25,1742.42,1822.81
306,2611.32,1749.15,1859.47
307,2615.46,1770.36,1857.32
308,2633.52,1767.58,1789.37
309,2654.06,1782.32,1872.46
310,2680.06,1796.75,1926.34
311,2690.44,1809.29,1935.13
312,2707.83,1799.46,1961.22
313,2715.25,1808.00,1955.74
314,2749.08,1821.63,1953.39
315,2756.05,1847.79,1961.27
316,2778.18,1832.12,1936.99
317,2791.49,1843.57,1934.56
318,2814.76,1863.90,1977.08
319,2825.87,1855.90,1984.41
320,2850.88,1859.56,1916.14
321,2864.96,1866.62,2004.66
322,2888.80,1887.28,1989.94
323,2892.57,1913.79,2047.20
324,2918.32,1931.87,2040.66
325,2933.17,1949.96,2049.04
326,2969.56,1958.41,1973.44
327,2978.84,1972.44,2059.38
328,3008.02,1982.81,2073.27
329,3008.05,1995.61,2003.62
330,3035.07,2001.68,2083.44
331,3036.15,2012.19,1964.48
332,3067.84,2000.05,2048.67
333,3074.13,2019.20,2049.00
334,3102.15,2037.41,2000.02
335,3121.43,2048.46,2104.54
336,3143.83,2066.06,2108.64
337,3148.66,2076.71,2165.63
338,3184.61,2085.64,2162.77
339,3192.54,2103.09,2077.32
340,3221.16,2097.09,2186.71
341,3242.60,2118.42,2195.13
342,3273.50,2134.35,2193.80
343,3284.34,2157.55,2118.73
344,3310.72,2148.52,2219.16
345,3319.16,2156.28,2133.52
346,3350.46,2172.76,2253.83
347,3351.80,2184.33,2264.18
348,3377.06,2189.69,2222.85
349,3390.04,2245.44,2180.59
350,3409.13,2254.41,2256.48
351,3436.32,2220.94,2264.53
352,3469.02,2243.73,2263.14
353,3458.56,2263.69,2263.26
354,3490.76,2303.74,2241.31
355,3495.29,2312.55,2238.52
356,3522.96,2323.79,2245.59
357,3534.79,2317.87,2333.22
358,3566.98,2331.51,2388.22
359,3586.75,2329.06,2301.21
360,3617.90,2336.63,2286.95
361,3637.16,2342.98,2393.69
362,3670.50,2365.28,2305.41
363,3666.37,2354.56,2395.25
364,3696.56,2349.47,2356.24
365,3711.72,2365.85,2362.56
366,3737.48,2371.93,2358.99
367,3751.28,2397.46,2430.76
368,3784.51,2412.79,2350.57
369,3784.17,2427.32,2448.57
370,3814.44,2445.60,2442.49
371,3831.08,2470.67,2440.09
372,3852.45,2481.80,2429.48
373,3869.25,2474.78,2506.73
374,3900.19,2487.91,2414.68
375,3912.10,2508.98,2517.18
376,3927.20,2487.53,2433.73
377,3946.71,2475.98,2442.21
378,3984.73,2493.56,2539.14
379,3990.51,2491.74,2526.28
380,4023.44,2501.35,2512.85
381,4044.33,2481.95,2432.61
382,4068.35,2415.58,2470.25
383,4084.25,2350.87,2460.57
384,4122.81,2402.94,2576.90
385,4119.36,2417.02,2656.53
386,4141.82,2463.45,2638.96
387,4157.29,2486.71,2644.50
388,4185.47,2490.59,2604.54
389,4212.78,2590.03,2632.64
390,4239.52,2632.00,2613.40
391,4249.56,2646.70,2616.13
392,4292.52,2680.18,2688.10
393,4281.63,2682.80,2619.99
394,4314.40,2709.07,2767.18
395,4323.25,2711.11,2703.22
396,4359.59,2706.63,2762.49
397,4378.14,2728.86,2765.11
398,4405.13,2730.38,2697.10
399,4420.26,2708.17,2679.20
400,4444.42,2764.87,2797.96
401,4466.40,2752.97,2790.03
402,4506.27,2772.94,2757.54
403,4502.68,2787.13,2718.26
