an,bn,ratio,gmp_ns,simd_ns,speedup
82,53,0.6500,966.0,235.6,4.1007
82,66,0.8000,1218.1,320.9,3.7957
82,82,1.0000,1332.6,358.9,3.7129
83,10,0.1250,243.7,80.9,3.0137
83,17,0.2000,419.2,102.5,4.0899
83,21,0.2500,517.1,116.1,4.4545
83,28,0.3333,756.7,144.8,5.2260
83,33,0.4000,791.8,162.0,4.8874
83,42,0.5000,863.7,196.9,4.3858
83,54,0.6500,983.3,243.6,4.0370
83,66,0.8000,1149.7,325.3,3.5341
83,83,1.0000,1347.5,367.0,3.6717
84,11,0.1250,276.4,83.8,3.2978
84,17,0.2000,425.0,102.4,4.1515
84,21,0.2500,524.2,118.2,4.4339
84,28,0.3333,675.1,145.4,4.6431
84,34,0.4000,807.4,168.2,4.8006
84,42,0.5000,866.0,198.2,4.3690
84,55,0.6500,986.1,247.6,3.9822
84,67,0.8000,1170.5,332.0,3.5257
84,84,1.0000,1322.2,368.7,3.5864
85,11,0.1250,279.6,83.4,3.3533
85,17,0.2000,429.2,103.5,4.1479
85,21,0.2500,529.3,120.0,4.4115
85,28,0.3333,672.2,148.8,4.5181
85,34,0.4000,859.6,171.4,5.0154
85,43,0.5000,916.2,203.8,4.4964
85,55,0.6500,1025.2,250.5,4.0927
85,68,0.8000,1215.7,337.5,3.6024
85,85,1.0000,1401.8,381.9,3.6704
86,11,0.1250,283.5,84.0,3.3751
86,17,0.2000,434.0,104.4,4.1564
86,22,0.2500,559.2,127.0,4.4034
86,29,0.3333,822.4,151.7,5.4217
86,34,0.4000,859.4,172.1,4.9939
86,43,0.5000,921.4,205.4,4.4864
86,56,0.6500,1029.9,255.5,4.0310
86,69,0.8000,1349.1,340.9,3.9574
86,86,1.0000,1383.4,386.9,3.5757
87,11,0.1250,287.0,87.4,3.2842
87,17,0.2000,438.5,106.1,4.1330
87,22,0.2500,566.8,128.3,4.4185
87,29,0.3333,730.0,153.6,4.7526
87,35,0.4000,871.6,178.9,4.8712
87,44,0.5000,937.3,215.9,4.3421
87,57,0.6500,1019.8,267.9,3.8064
87,70,0.8000,1377.6,354.3,3.8882
87,87,1.0000,1391.7,398.1,3.4960
88,11,0.1250,291.5,87.9,3.3172
88,18,0.2000,472.0,113.5,4.1593
88,22,0.2500,575.2,128.3,4.4839
88,29,0.3333,735.5,154.3,4.7654
88,35,0.4000,875.6,180.3,4.8570
88,44,0.5000,946.3,215.8,4.3847
88,57,0.6500,1079.7,268.1,4.0269
88,70,0.8000,1292.0,357.5,3.6138
88,88,1.0000,1453.8,404.1,3.5979
89,11,0.1250,292.0,87.9,3.3212
89,18,0.2000,477.3,114.7,4.1610
89,22,0.2500,581.2,131.2,4.4307
89,30,0.3333,898.1,160.2,5.6078
89,36,0.4000,942.1,185.8,5.0719
89,45,0.5000,1002.1,220.8,4.5379
89,58,0.6500,1054.6,274.7,3.8399
89,71,0.8000,1306.8,360.6,3.6240
89,89,1.0000,1467.7,406.7,3.6093
90,11,0.1250,290.4,89.6,3.2423
90,18,0.2000,479.2,115.8,4.1378
90,23,0.2500,603.9,131.5,4.5923
90,30,0.3333,734.8,157.5,4.6646
90,36,0.4000,925.1,183.1,5.0511
90,45,0.5000,985.7,217.4,4.5342
90,59,0.6500,1050.2,271.9,3.8627
90,72,0.8000,1303.4,356.1,3.6596
90,90,1.0000,1443.7,402.6,3.5857
91,11,0.1250,291.7,87.2,3.3442
91,18,0.2000,476.3,113.7,4.1892
91,23,0.2500,607.5,132.4,4.5871
91,30,0.3333,736.1,159.3,4.6208
91,36,0.4000,927.5,184.5,5.0283
91,46,0.5000,1000.9,228.7,4.3764
91,59,0.6500,1086.5,282.5,3.8465
91,73,0.8000,1469.9,356.7,4.1212
91,91,1.0000,1473.1,395.8,3.7220
92,12,0.1250,322.2,89.4,3.6032
92,18,0.2000,481.7,114.0,4.2242
92,23,0.2500,613.5,135.2,4.5367
92,31,0.3333,890.4,166.1,5.3598
92,37,0.4000,937.8,189.4,4.9506
92,46,0.5000,1009.4,228.6,4.4158
92,60,0.6500,1101.2,285.5,3.8568
92,74,0.8000,1475.7,375.3,3.9315
92,92,1.0000,1482.4,423.4,3.5010
93,12,0.1250,326.5,92.0,3.5506
93,19,0.2000,513.3,119.7,4.2895
93,23,0.2500,621.2,135.4,4.5885
93,31,0.3333,776.8,169.7,4.5776
93,37,0.4000,982.7,191.1,5.1427
93,47,0.5000,1049.8,238.2,4.4070
93,60,0.6500,1125.2,292.1,3.8518
93,74,0.8000,1387.6,382.1,3.6312
93,93,1.0000,1517.6,433.6,3.5003
94,12,0.1250,328.9,92.9,3.5392
94,19,0.2000,519.0,120.6,4.3017
94,24,0.2500,654.1,142.0,4.6052
94,31,0.3333,782.2,171.7,4.5563
94,38,0.4000,993.3,198.1,5.0155
94,47,0.5000,1062.2,240.4,4.4188
94,61,0.6500,1151.7,295.8,3.8935
94,75,0.8000,1410.2,388.1,3.6335
94,94,1.0000,1556.3,436.3,3.5674
95,12,0.1250,333.9,93.1,3.5870
95,19,0.2000,524.0,121.3,4.3217
95,24,0.2500,659.8,142.0,4.6477
95,32,0.3333,957.8,176.7,5.4206
95,38,0.4000,1009.0,201.8,4.9999
95,48,0.5000,1091.2,245.0,4.4534
95,62,0.6500,1175.6,307.7,3.8211
95,76,0.8000,1441.9,401.9,3.5879
95,95,1.0000,1587.3,451.4,3.5161
96,12,0.1250,342.7,95.9,3.5732
96,19,0.2000,538.7,125.7,4.2871
96,24,0.2500,678.4,146.5,4.6300
96,32,0.3333,815.9,180.9,4.5099
96,38,0.4000,1013.7,204.9,4.9478
96,48,0.5000,1097.0,251.2,4.3666
96,62,0.6500,1187.8,311.1,3.8185
96,77,0.8000,1588.3,406.4,3.9087
96,96,1.0000,1625.0,460.9,3.5257
97,12,0.1250,346.4,96.0,3.6062
97,19,0.2000,544.6,125.6,4.3367
97,24,0.2500,687.0,146.4,4.6917
97,32,0.3333,833.2,182.1,4.5752
97,39,0.4000,1074.5,208.5,5.1528
97,49,0.5000,1152.1,255.3,4.5123
97,63,0.6500,1231.1,317.0,3.8830
97,78,0.8000,1642.5,410.5,4.0018
97,97,1.0000,1663.4,462.3,3.5981
98,12,0.1250,349.9,95.8,3.6528
98,20,0.2000,578.7,133.8,4.3238
98,25,0.2500,722.6,149.8,4.8253
98,33,0.3333,1029.7,189.3,5.4393
98,39,0.4000,1078.7,212.4,5.0785
98,49,0.5000,1161.1,256.9,4.5198
98,64,0.6500,1240.5,322.2,3.8497
98,78,0.8000,1537.4,421.2,3.6498
98,98,1.0000,1680.8,475.7,3.5331
99,12,0.1250,352.7,97.9,3.6025
99,20,0.2000,584.6,133.8,4.3697
99,25,0.2500,729.2,153.5,4.7512
99,33,0.3333,877.7,191.0,4.5960
99,40,0.4000,1089.3,221.7,4.9125
99,50,0.5000,1175.5,262.0,4.4871
99,64,0.6500,1261.1,326.4,3.8631
99,79,0.8000,1556.4,427.7,3.6388
99,99,1.0000,1703.4,483.2,3.5255
100,13,0.1250,385.8,102.5,3.7626
100,20,0.2000,589.1,134.4,4.3813
100,25,0.2500,736.7,155.4,4.7405
100,33,0.3333,884.0,193.0,4.5806
100,40,0.4000,1102.9,224.2,4.9184
100,50,0.5000,1192.3,268.4,4.4420
100,65,0.6500,1292.0,333.6,3.8726
100,80,0.8000,1589.8,437.0,3.6380
100,100,1.0000,1764.6,494.4,3.5694
101,13,0.1250,388.4,102.6,3.7851
101,20,0.2000,594.8,135.2,4.3993
101,25,0.2500,744.3,157.0,4.7418
101,34,0.3333,1098.1,196.0,5.6032
101,40,0.4000,1144.9,224.7,5.0955
101,51,0.5000,1234.5,271.7,4.5439
101,66,0.6500,1304.9,404.4,3.2266
101,81,0.8000,1641.9,439.8,3.7336
101,101,1.0000,1786.1,503.7,3.5461
102,13,0.1250,392.7,103.3,3.8018
102,20,0.2000,600.8,135.7,4.4285
102,26,0.2500,779.4,161.2,4.8349
102,34,0.3333,907.0,196.9,4.6057
102,41,0.4000,1157.3,229.2,5.0493
102,51,0.5000,1241.9,275.4,4.5100
102,66,0.6500,1321.2,404.2,3.2684
102,82,0.8000,1673.1,445.8,3.7526
102,102,1.0000,1789.5,505.8,3.5380
103,13,0.1250,400.0,104.8,3.8158
103,21,0.2000,631.4,139.2,4.5364
103,26,0.2500,775.1,159.9,4.8488
103,34,0.3333,902.9,196.1,4.6038
103,41,0.4000,1140.4,227.9,5.0035
103,52,0.5000,1236.2,273.8,4.5150
103,67,0.6500,1331.5,405.0,3.2877
103,82,0.8000,1648.2,441.9,3.7295
103,103,1.0000,1821.0,503.3,3.6179
104,13,0.1250,392.7,102.0,3.8496
104,21,0.2000,631.7,139.5,4.5267
104,26,0.2500,781.5,159.1,4.9130
104,35,0.3333,1096.7,204.1,5.3739
104,42,0.4000,1166.4,232.7,5.0119
104,52,0.5000,1249.9,276.3,4.5246
104,68,0.6500,1375.7,395.7,3.4766
104,83,0.8000,1695.6,436.9,3.8812
104,104,1.0000,1827.2,493.3,3.7037
105,13,0.1250,398.9,105.2,3.7928
105,21,0.2000,638.7,142.6,4.4796
105,26,0.2500,790.7,162.6,4.8614
105,35,0.3333,952.5,213.8,4.4551
105,42,0.4000,1190.0,242.9,4.8983
105,53,0.5000,1275.8,295.2,4.3223
105,68,0.6500,1393.3,412.3,3.3791
105,84,0.8000,1738.7,456.2,3.8111
105,105,1.0000,1854.1,516.9,3.5868
106,13,0.1250,401.7,106.0,3.7875
106,21,0.2000,645.7,142.9,4.5170
106,27,0.2500,828.8,171.4,4.8367
106,35,0.3333,966.2,214.3,4.5085
106,42,0.4000,1192.6,244.2,4.8846
106,53,0.5000,1285.8,295.8,4.3463
106,69,0.6500,1384.9,438.3,3.1599
106,85,0.8000,1791.1,487.9,3.6708
106,106,1.0000,1893.0,526.9,3.5929
107,13,0.1250,404.9,106.7,3.7955
107,21,0.2000,649.3,144.2,4.5022
107,27,0.2500,834.2,173.4,4.8120
107,36,0.3333,1149.6,217.2,5.2933
107,43,0.4000,1208.1,246.0,4.9108
107,54,0.5000,1301.8,297.7,4.3723
107,70,0.6500,1419.3,429.7,3.3028
107,86,0.8000,1797.9,469.9,3.8257
107,107,1.0000,1930.0,532.2,3.6266
108,14,0.1250,439.6,113.8,3.8617
108,22,0.2000,688.1,150.9,4.5587
108,27,0.2500,841.8,173.8,4.8426
108,36,0.3333,997.8,217.1,4.5964
108,43,0.4000,1211.0,247.6,4.8905
108,54,0.5000,1310.8,301.7,4.3450
108,70,0.6500,1439.4,459.1,3.1355
108,86,0.8000,1810.8,493.5,3.6694
108,108,1.0000,1952.4,539.7,3.6179
109,14,0.1250,442.6,113.9,3.8871
109,22,0.2000,693.5,154.0,4.5036
109,27,0.2500,848.8,174.7,4.8592
109,36,0.3333,999.7,218.8,4.5696
109,44,0.4000,1185.8,257.9,4.5987
109,55,0.5000,1286.8,308.3,4.1736
109,71,0.6500,1480.0,457.3,3.2366
109,87,0.8000,1874.9,506.7,3.6999
109,109,1.0000,2016.1,551.3,3.6572
110,14,0.1250,448.3,116.3,3.8543
110,22,0.2000,699.4,154.2,4.5368
110,28,0.2500,888.8,182.2,4.8778
110,37,0.3333,1132.8,225.0,5.0340
110,44,0.4000,1192.5,259.7,4.5925
110,55,0.5000,1296.0,310.5,4.1740
110,72,0.6500,1499.3,443.2,3.3825
110,88,0.8000,1907.7,490.7,3.8879
110,110,1.0000,2027.7,553.0,3.6667
111,14,0.1250,450.9,117.7,3.8314
111,22,0.2000,706.4,156.1,4.5259
111,28,0.2500,894.8,183.6,4.8727
111,37,0.3333,1047.4,225.4,4.6471
111,44,0.4000,1196.3,259.3,4.6141
111,56,0.5000,1321.5,316.1,4.1812
111,72,0.6500,1531.9,466.8,3.2815
111,89,0.8000,1980.4,518.3,3.8209
111,111,1.0000,2054.5,574.8,3.5745
112,14,0.1250,455.6,119.5,3.8138
112,22,0.2000,714.0,157.0,4.5489
112,28,0.2500,891.2,185.7,4.7995
112,37,0.3333,1054.8,229.5,4.5953
112,45,0.4000,1211.6,274.2,4.4192
112,56,0.5000,1279.7,318.3,4.0198
112,73,0.6500,1541.4,454.4,3.3923
112,90,0.8000,1986.3,505.0,3.9328
112,112,1.0000,2089.8,586.4,3.5639
113,14,0.1250,460.4,119.3,3.8580
113,23,0.2000,753.3,161.5,4.6639
113,28,0.2500,918.0,187.2,4.9028
113,38,0.3333,1221.6,238.6,5.1205
113,45,0.4000,1281.6,273.9,4.6787
113,57,0.5000,1396.6,334.2,4.1797
113,73,0.6500,1545.5,464.1,3.3303
113,90,0.8000,1998.7,514.2,3.8874
113,113,1.0000,2118.0,599.6,3.5323
114,14,0.1250,463.9,119.8,3.8739
114,23,0.2000,760.2,164.3,4.6258
114,29,0.2500,986.6,191.5,5.1524
114,38,0.3333,1081.4,238.8,4.5275
114,46,0.4000,1293.7,278.1,4.6518
114,57,0.5000,1404.5,334.4,4.1996
114,74,0.6500,1572.5,486.0,3.2359
114,91,0.8000,2026.9,515.1,3.9348
114,114,1.0000,2142.5,609.8,3.5134
115,14,0.1250,466.6,119.6,3.9021
115,23,0.2000,763.8,166.0,4.6012
115,29,0.2500,1000.9,194.3,5.1523
115,38,0.3333,1100.0,238.2,4.6169
115,46,0.4000,1306.8,278.2,4.6967
115,58,0.5000,1395.3,337.6,4.1333
115,75,0.6500,1615.2,475.5,3.3970
115,92,0.8000,2044.5,524.8,3.8961
115,115,1.0000,2204.3,611.6,3.6044
116,15,0.1250,505.0,125.2,4.0322
116,23,0.2000,771.7,165.4,4.6658
116,29,0.2500,990.1,194.5,5.0905
116,39,0.3333,1239.8,248.2,4.9943
116,46,0.4000,1299.4,278.7,4.6631
116,58,0.5000,1392.9,346.0,4.0253
116,75,0.6500,1623.4,478.3,3.3939
116,93,0.8000,2130.2,534.0,3.9891
116,116,1.0000,2216.7,619.2,3.5800
117,15,0.1250,508.4,125.6,4.0488
117,23,0.2000,777.2,166.1,4.6796
117,29,0.2500,1003.7,195.0,5.1460
117,39,0.3333,1148.5,243.9,4.7096
117,47,0.4000,1360.1,285.8,4.7584
117,59,0.5000,1476.1,348.3,4.2375
117,76,0.6500,1651.7,475.4,3.4744
117,94,0.8000,2135.2,528.0,4.0435
117,117,1.0000,2239.4,598.0,3.7450
118,15,0.1250,513.4,128.7,3.9877
118,24,0.2000,817.7,171.0,4.7833
118,30,0.2500,1015.6,202.3,5.0210
118,39,0.3333,1159.6,253.7,4.5709
118,47,0.4000,1331.6,290.2,4.5882
118,59,0.5000,1431.8,354.3,4.0410
118,77,0.6500,1662.8,493.5,3.3694
118,94,0.8000,2152.5,580.5,3.7082
118,118,1.0000,2280.5,629.6,3.6224
119,15,0.1250,516.8,129.3,3.9980
119,24,0.2000,825.5,172.6,4.7823
119,30,0.2500,1019.2,202.0,5.0451
119,40,0.3333,1263.1,263.3,4.7968
119,48,0.4000,1344.9,304.2,4.4213
119,60,0.5000,1441.1,363.2,3.9681
119,77,0.6500,1691.2,532.4,3.1765
119,95,0.8000,2170.4,576.7,3.7632
119,119,1.0000,2319.2,644.0,3.6014
120,15,0.1250,521.6,129.0,4.0420
120,24,0.2000,831.6,176.4,4.7156
120,30,0.2500,1021.7,206.6,4.9444
120,40,0.3333,1180.5,264.6,4.4607
120,48,0.4000,1359.4,300.6,4.5218
120,60,0.5000,1437.8,365.5,3.9334
120,78,0.6500,1718.8,508.6,3.3797
120,96,0.8000,2198.3,571.9,3.8439
120,120,1.0000,2315.3,648.1,3.5724
121,15,0.1250,526.6,128.2,4.1079
121,24,0.2000,838.1,177.0,4.7356
121,30,0.2500,1003.7,213.0,4.7125
121,40,0.3333,1201.1,265.2,4.5291
121,48,0.4000,1388.0,302.9,4.5817
121,61,0.5000,1498.0,370.6,4.0416
121,79,0.6500,1764.4,550.2,3.2071
121,97,0.8000,2024.3,614.3,3.2953
121,121,1.0000,2401.4,657.7,3.6510
122,15,0.1250,530.3,132.0,4.0190
