n,scalar_ns,simd1_ns,simd2_ns,scalar_ns_per_limb,simd1_ns_per_limb,simd2_ns_per_limb,simd1_speedup,simd2_speedup,simd2_over_simd1
440,171.918613,129.818983,585.708851,0.390724120,0.295043144,1.331156479,1.324295,0.293522,0.221644
448,174.982043,132.011340,628.929583,0.390584917,0.294668169,1.403860677,1.325508,0.278222,0.209898
456,178.825119,134.344645,607.242339,0.392160349,0.294615450,1.331671795,1.331092,0.294487,0.221237
464,181.226653,136.642194,651.282543,0.390574683,0.294487488,1.403626170,1.326286,0.278261,0.209805
472,185.421381,139.145586,630.128356,0.392841909,0.294799970,1.335017703,1.332571,0.294260,0.220821
480,188.661469,141.307982,674.442411,0.393044727,0.294391629,1.405088356,1.335108,0.279730,0.209518
488,191.210667,143.723344,652.626302,0.391825137,0.294515050,1.337348980,1.330408,0.292986,0.220223
496,196.338389,145.960439,695.859491,0.395843526,0.294275079,1.402942522,1.345148,0.282152,0.209756
504,198.507003,148.730339,675.072617,0.393863102,0.295099878,1.339429795,1.334677,0.294053,0.220318
512,210.041387,151.139392,718.917462,0.410237084,0.295194125,1.404135668,1.389720,0.292163,0.210232
520,208.244387,152.757176,698.002778,0.400469976,0.293763801,1.342313034,1.363238,0.298343,0.218849
528,210.917978,155.613184,740.957677,0.399465867,0.294721940,1.403328934,1.355399,0.284656,0.210016
536,213.412855,157.725998,719.573473,0.398158312,0.294264921,1.342487823,1.353061,0.296582,0.219194
544,216.752454,160.302991,763.427846,0.398442011,0.294674617,1.403360010,1.352142,0.283920,0.209978
552,220.748750,162.208207,741.442421,0.399907156,0.293855448,1.343192792,1.360898,0.297729,0.218774
560,222.332050,164.704057,785.641146,0.397021517,0.294114388,1.402930618,1.349888,0.282994,0.209643
568,225.641752,167.251114,764.284045,0.397256605,0.294456187,1.345570501,1.349120,0.295233,0.218834
576,230.219210,169.127365,808.845097,0.399686128,0.293623897,1.404244960,1.361218,0.284627,0.209097
584,232.298345,171.615174,786.076042,0.397771138,0.293861599,1.346020619,1.353600,0.295516,0.218319
592,235.856862,173.895949,831.524336,0.398406862,0.293743157,1.404601919,1.356310,0.283644,0.209129
600,238.576892,176.357672,808.791218,0.397628154,0.293929453,1.347985363,1.352801,0.294980,0.218051
608,241.134479,178.615060,852.466761,0.396602762,0.293774769,1.402083489,1.350023,0.282867,0.209527
616,244.726725,180.745544,830.974004,0.397283645,0.293418091,1.348983773,1.353985,0.294506,0.217510
624,248.678962,183.031920,874.566551,0.398523978,0.293320385,1.401548960,1.358664,0.284345,0.209283
632,251.798090,185.766832,853.918182,0.398414699,0.293934860,1.351136364,1.355452,0.294874,0.217546
640,253.763682,187.647625,900.009524,0.396505754,0.293199414,1.406264881,1.352342,0.281957,0.208495
648,258.747590,190.220145,878.519860,0.399301836,0.293549606,1.355740524,1.360253,0.294527,0.216523
656,262.685749,169.627147,918.932646,0.400435593,0.258577969,1.400811960,1.548607,0.285860,0.184591
664,262.934349,192.105828,897.533333,0.395985465,0.289316006,1.351706827,1.368695,0.292952,0.214038
672,266.371893,194.277497,940.781875,0.396386745,0.289103419,1.399973028,1.371090,0.283139,0.206506
680,268.634760,196.449529,920.065257,0.395051118,0.288896367,1.353037143,1.367449,0.291974,0.213517
688,272.630087,198.552656,963.415816,0.396264662,0.288593977,1.400313687,1.373087,0.282983,0.206092
696,276.179504,200.902904,943.000625,0.396809632,0.288653598,1.354885955,1.374691,0.292873,0.213046
704,278.628802,206.752616,986.172201,0.395779548,0.293682693,1.400812785,1.347643,0.282536,0.209652
712,282.386389,209.261693,964.793048,0.396610097,0.293906872,1.355046416,1.349441,0.292691,0.216898
720,285.636588,211.329673,1008.155914,0.396717484,0.293513435,1.400216547,1.351616,0.283326,0.209620
728,290.801374,213.793565,987.510526,0.399452437,0.293672479,1.356470503,1.360197,0.294479,0.216498
736,294.135188,216.082373,1030.742788,0.399640201,0.293590181,1.400465745,1.361218,0.285362,0.209638
744,294.996364,218.147747,1009.207997,0.396500489,0.293209337,1.356462362,1.352278,0.292305,0.216157
752,297.127373,220.366197,1052.771181,0.395116188,0.293040156,1.399961676,1.348335,0.282234,0.209320
760,301.795820,225.330710,1033.032967,0.397099763,0.296487777,1.359253904,1.339346,0.292145,0.218125
768,305.226562,225.461463,1077.078125,0.397430420,0.293569614,1.402445475,1.353786,0.283384,0.209327
776,310.815604,228.160128,1055.011236,0.400535573,0.294020783,1.359550562,1.362270,0.294609,0.216263
784,311.963559,229.762607,1100.323765,0.397912703,0.293064550,1.403474189,1.357765,0.283520,0.208814
792,314.349080,232.178373,1077.386719,0.396905404,0.293154511,1.360336766,1.353912,0.291770,0.215501
800,316.942884,234.325281,1121.139137,0.396178605,0.292906601,1.401423921,1.352577,0.282697,0.209006
808,320.972910,236.732683,1099.179506,0.397243700,0.292985993,1.360370676,1.355845,0.292011,0.215372
816,324.004634,239.643893,1143.419588,0.397064502,0.293681242,1.401249496,1.352025,0.283365,0.209585
824,329.376316,241.816447,1122.225074,0.399728539,0.293466561,1.361923634,1.362092,0.293503,0.215479
832,332.344523,244.145752,1166.123071,0.399452552,0.293444413,1.401590230,1.361255,0.285000,0.209365
840,335.532589,246.018652,1146.788110,0.399443559,0.292879347,1.365223940,1.363850,0.292585,0.214528
848,336.534722,248.454282,1188.786392,0.396856984,0.292988541,1.401870746,1.354514,0.283091,0.208998
856,339.051444,250.763118,1168.630787,0.396088136,0.292947568,1.365222882,1.352079,0.290127,0.214579
864,342.949703,252.928066,1211.182292,0.396932527,0.292740817,1.401831356,1.355918,0.283153,0.208827
872,348.553903,255.122452,1189.878165,0.399717779,0.292571620,1.364539180,1.366222,0.292932,0.214411
880,351.641152,257.769746,1232.963068,0.399592218,0.292920166,1.401094396,1.364168,0.285200,0.209065
888,354.537972,260.008830,1210.810096,0.399254473,0.292802736,1.363524883,1.363561,0.292811,0.214740
896,355.593395,262.431215,1254.384167,0.396867628,0.292891981,1.399982329,1.354997,0.283480,0.209211
904,358.701336,266.134295,1234.240543,0.396793513,0.294396344,1.365310335,1.347821,0.290625,0.215626
912,362.081684,266.967507,1281.888091,0.397019391,0.292727530,1.405579047,1.356276,0.282460,0.208261
920,367.600342,269.544899,1256.784167,0.399565589,0.292983586,1.366069746,1.363781,0.292493,0.214472
928,370.413632,272.117029,1300.745719,0.399152621,0.293229557,1.401665646,1.361229,0.284770,0.209201
936,373.848730,274.021684,1278.805743,0.399411036,0.292758209,1.366245452,1.364303,0.292342,0.214279
944,377.432480,276.378952,1324.745599,0.399822542,0.292774314,1.403332202,1.365634,0.284909,0.208628
952,378.636971,279.030227,1300.946490,0.397727910,0.293098978,1.366540430,1.356975,0.291047,0.214482
960,380.446862,280.907841,1344.706250,0.396298815,0.292612334,1.400735677,1.354348,0.282922,0.208899
968,385.362705,283.743580,1323.455986,0.398101968,0.293123533,1.367206597,1.358137,0.291179,0.214396
976,388.679236,285.411474,1369.778986,0.398236922,0.292429789,1.403462075,1.361821,0.283753,0.208363
984,391.886979,288.686731,1350.179464,0.398259125,0.293380824,1.372133602,1.357482,0.290248,0.213814
