n,ns_limb
128,5.4648
130,5.4646
132,5.7524
134,5.8065
136,5.8243
138,5.8686
140,5.9877
142,5.9986
144,6.1080
146,6.6255
148,6.6641
150,6.7532
152,6.7807
154,6.7582
156,6.3630
158,6.8320
160,6.9372
162,6.9188
164,6.9451
166,7.0657
168,6.9470
170,7.1116
172,7.1901
174,7.2663
176,7.1565
178,7.1761
180,7.2148
182,6.8661
184,7.2626
186,7.3738
188,7.3811
190,7.3591
192,7.4471
194,7.4424
196,7.5184
198,7.5759
200,7.6732
202,7.6668
204,7.7324
206,7.7524
208,7.3996
210,7.7675
212,7.8694
214,7.8483
216,7.9931
218,8.0831
220,8.1407
222,8.0743
224,8.0694
226,8.1633
228,8.1992
230,8.2260
232,8.2802
234,7.9933
236,8.4083
238,8.4545
240,8.4095
242,8.5215
244,8.5495
246,8.5690
248,8.6674
250,8.6119
252,8.7748
254,8.8300
256,8.8570
258,8.9252
260,8.5537
262,8.9734
264,9.0565
266,9.0430
268,9.0604
270,9.1300
272,9.1543
274,9.1986
276,9.1892
278,9.3541
280,9.3224
282,9.3563
284,9.3899
286,9.1322
288,9.4485
290,9.9649
292,10.2756
294,10.4363
296,10.4259
298,10.3004
300,10.4876
302,10.4808
304,10.5304
306,10.5898
308,10.5351
310,10.2950
312,9.7851
314,10.1826
316,10.5054
318,10.7566
320,10.7419
322,10.8017
324,10.7201
326,10.8936
328,10.8034
330,10.8331
332,10.9087
334,10.9059
336,10.9303
338,10.2367
340,10.5391
342,10.7000
344,10.9281
346,11.0490
348,11.1157
350,11.0407
352,11.0928
354,11.1248
356,11.2572
358,11.2871
360,11.2951
362,11.2552
364,10.7633
366,10.9812
368,11.1702
370,11.4567
372,11.5299
374,11.5002
376,11.4869
378,11.7421
380,11.7071
382,11.8203
384,11.6462
386,11.7126
388,11.6487
390,11.4746
392,11.3200
394,11.3479
396,11.5379
398,11.6570
400,11.8001
402,11.8441
404,11.7734
406,11.7427
408,11.7950
410,11.8636
412,11.9048
414,11.8618
416,11.4993
418,11.8309
420,11.9773
422,12.1076
424,12.1527
426,12.2793
428,12.2532
430,12.3405
432,12.2915
434,12.3136
436,12.3419
438,12.3909
440,12.3811
442,12.2176
444,12.4429
446,12.5359
448,12.5482
450,12.5797
452,12.6101
454,12.6176
456,12.7613
458,12.7376
460,12.7823
462,12.7972
464,12.8561
466,12.6908
468,12.3265
470,12.7095
472,12.8769
474,13.0311
476,13.1012
478,13.1408
480,13.1442
482,13.1468
484,13.0908
486,13.1144
488,13.2129
490,13.3612
492,13.2802
494,13.0498
496,13.2206
498,13.2466
500,13.2797
502,13.7163
504,13.6679
506,13.7082
508,13.8059
510,13.6361
512,13.7317
