65536,88,17,0.729
68438,88,17,0.760
71468,88,17,0.795
74632,88,17,0.830
77936,88,17,0.865
81386,88,17,0.904
84990,88,17,0.943
88752,88,17,0.986
92682,88,18,0.515
96785,88,18,0.537
101070,88,18,0.562
105545,88,18,0.586
110218,88,18,0.612
115098,88,18,0.639
120194,88,18,0.667
125515,88,18,0.697
131072,88,18,0.728
136875,88,18,0.760
142935,88,18,0.794
149263,88,18,0.829
155872,88,18,0.865
162773,88,18,0.903
169979,88,18,0.943
177505,88,18,0.985
185364,88,19,0.515
193571,88,19,0.537
202141,88,19,0.561
211090,88,19,0.586
220436,88,19,0.612
230195,88,19,0.639
240387,88,19,0.667
251030,88,19,0.697
262144,88,19,0.728
273750,88,19,0.760
285870,88,19,0.793
298527,88,19,0.829
311744,88,19,0.865
325546,88,19,0.903
339959,88,19,0.943
355010,88,19,0.985
370728,88,20,0.514
387141,88,20,0.537
404281,88,20,0.561
422180,88,20,0.586
440872,88,20,0.612
460391,88,20,0.639
480774,88,20,0.667
502060,88,20,0.697
524288,88,20,0.727
547500,88,20,0.760
571740,88,20,0.793
597053,88,20,0.828
623487,88,20,0.865
651091,88,20,0.903
679917,88,20,0.943
710020,88,20,0.985
741455,88,21,0.514
774282,88,21,0.537
808563,88,21,0.561
844361,88,21,0.586
881744,88,21,0.612
920782,88,21,0.639
961548,88,21,0.667
1004120,88,21,0.697
1048576,88,21,0.727
1095000,88,21,0.760
1143480,88,21,0.793
1194106,88,21,0.828
1246974,88,21,0.865
1302182,88,21,0.903
1359835,88,21,0.943
1420040,88,21,0.985
1482910,88,22,0.514
1548564,88,22,0.537
1617125,88,22,0.561
1688722,88,22,0.586
1763488,88,22,0.612
1841564,88,22,0.639
1923097,88,22,0.667
2008240,88,22,0.696
2097152,88,22,0.727
2190001,88,22,0.760
2286960,88,22,0.793
2388213,88,22,0.828
2493948,88,22,0.865
2604365,88,22,0.903
2719670,88,22,0.943
2840080,88,22,0.985
2965821,88,23,0.514
3097129,88,23,0.537
3234251,88,23,0.561
3377443,88,23,0.586
3526975,88,23,0.612
3683128,88,23,0.639
3846194,88,23,0.667
4016479,88,23,0.696
4194304,88,23,0.727
