n,nt,p30,p50,ntsqr
2048,16.3016,20.7124,16.4065,13.4127
2138,16.4396,22.4033,16.5013,13.4764
2233,16.2275,21.0630,16.2669,13.3262
2332,15.9111,20.2301,15.9000,13.1392
2435,15.8903,19.3659,15.9290,13.1026
2543,16.0345,21.5676,16.0532,13.1830
2655,15.8684,21.4783,15.8897,13.0421
2773,15.5881,20.9097,15.5924,12.8843
2896,19.3077,20.4543,19.2813,15.3564
3024,19.0875,20.1740,19.0330,15.1523
3158,18.7726,20.3478,18.8680,14.9292
3298,18.4845,20.3053,18.5140,14.7874
3444,18.5248,20.4090,18.4883,14.7172
3596,18.3086,18.7357,18.3282,14.5283
3756,18.0269,19.0731,18.0814,14.4312
3922,17.8940,19.3755,17.9428,14.3665
4096,17.7124,20.9946,17.7315,14.2622
4277,17.8107,22.6332,17.9103,14.3305
4466,17.6462,26.8592,17.7537,14.1980
4664,17.4606,22.2330,17.4535,14.0786
4870,17.2422,21.3366,17.2292,13.9548
5086,17.1581,21.9971,17.1889,13.8949
5311,17.0599,21.4566,17.0425,13.8708
5547,16.7926,20.9988,16.8222,13.7153
5792,20.0240,20.7612,19.4302,15.1397
6049,19.1652,20.6221,19.2593,15.0504
6316,18.9293,20.9262,18.9546,14.8647
6596,18.5893,20.7952,18.6208,14.6618
6888,18.4805,21.0319,18.5573,14.6090
7193,18.3351,20.2389,18.4152,14.5290
7512,18.1840,20.4926,18.2914,14.4611
7844,18.0989,20.0208,18.1072,14.3363
8192,17.8280,19.9811,17.8109,14.1848
8554,18.3039,22.9142,18.3221,14.5711
8933,18.0864,22.5830,18.1679,14.4631
9328,17.8434,22.4529,18.2965,14.3463
9741,17.7694,21.6168,17.7433,14.1706
10173,17.5948,21.4623,18.0828,14.2323
10623,17.5101,21.7631,17.5189,14.0388
11094,17.3179,21.3829,17.3068,13.9212
11585,20.1214,21.0622,20.0955,15.6604
12098,19.7714,20.8343,19.7821,15.4902
12633,19.4452,21.6004,19.5183,15.3195
13193,19.3361,21.0287,19.3561,15.2457
13777,19.1012,21.1475,19.1117,15.0175
14387,19.1932,20.9588,19.1871,15.1206
15024,18.9878,20.7242,18.9869,14.9837
15689,18.8078,20.6257,18.8145,14.9043
16384,18.5840,20.3964,18.6079,14.7219
17109,18.6163,23.2559,18.6670,14.7292
17866,18.3864,22.8721,18.4593,14.6236
18657,18.1833,22.8141,18.2825,14.5129
