n,scalar_cycles_per_limb,auto_cycles_per_limb,hand_cycles_per_limb,auto_speedup,hand_speedup,hand_vs_auto
114,4.292995,1.345441,1.200890,3.190771,3.574846,1.120370
115,4.304348,1.330986,1.239130,3.233954,3.473684,1.074129
116,4.321736,1.320813,1.251539,3.272028,3.453137,1.055351
117,4.304945,1.312271,1.299451,3.280530,3.312896,1.009866
118,4.301769,1.299742,1.315402,3.309709,3.270308,0.988095
119,4.311666,1.326310,1.347627,3.250874,3.199450,0.984182
120,4.321691,1.398897,1.377757,3.089356,3.136758,1.015344
121,4.336068,1.383989,1.409893,3.133021,3.075459,0.981627
122,4.319794,1.372645,1.431368,3.147059,3.017949,0.958974
123,4.323725,1.359941,1.462491,3.179348,2.956412,0.929880
124,4.328262,1.351723,1.489186,3.202034,2.906462,0.907692
125,4.339385,1.343077,1.513846,3.230928,2.866463,0.887195
126,4.326923,1.331502,1.545788,3.249656,2.799171,0.861374
127,4.333169,1.342581,1.560347,3.227491,2.777055,0.860438
128,4.344177,1.414490,0.768127,3.071197,5.655542,1.841478
129,4.360465,1.744186,0.872093,2.500000,5.000000,2.000000
130,4.818681,1.808608,0.929487,2.664304,5.184236,1.945813
131,4.823012,1.905934,1.044386,2.530523,4.618037,1.824934
132,4.817632,1.943732,1.112537,2.478548,4.330313,1.747117
133,4.810797,1.983853,1.129668,2.424977,4.258592,1.756137
134,4.805175,1.992904,1.143259,2.411142,4.203050,1.743178
135,4.807407,2.013889,1.152778,2.387126,4.170281,1.746988
136,4.829963,1.606618,1.146140,3.006293,4.214114,1.401764
137,4.836076,1.754608,1.157058,2.756214,4.179631,1.516439
138,4.823139,1.828482,1.162491,2.637783,4.148970,1.572900
139,4.816113,1.902444,1.197284,2.531540,4.022533,1.588967
140,4.815887,1.951663,1.248768,2.467582,3.856509,1.562870
141,4.811996,1.968085,1.282098,2.445014,3.753219,1.535050
142,4.813751,1.986657,1.319496,2.423041,3.648174,1.505618
143,4.806772,1.998528,1.361796,2.405157,3.529730,1.467568
144,4.837240,1.609933,1.387649,3.004622,3.485925,1.160188
