n,scalar_cycles_per_limb,auto_cycles_per_limb,hand_cycles_per_limb,auto_speedup,hand_speedup,hand_vs_auto
364,4.558254,1.652098,0.935627,2.759070,4.871872,1.765766
365,4.556974,1.646638,0.946139,2.767442,4.816387,1.740375
366,4.554769,1.646796,0.956595,2.765837,4.761441,1.721519
367,4.557221,1.647882,0.966993,2.765502,4.712776,1.704131
368,4.560585,1.670269,0.969923,2.730449,4.702006,1.722063
369,4.558389,1.665743,0.984848,2.736550,4.628518,1.691370
370,4.555283,1.662162,0.996007,2.740576,4.573543,1.668825
371,4.558625,1.656763,1.008025,2.751525,4.522334,1.643573
372,4.561034,1.653226,1.009897,2.758869,4.516334,1.637024
373,4.552853,1.647836,1.026427,2.762929,4.435634,1.605410
374,4.547364,1.642475,1.030367,2.768605,4.413346,1.594069
375,4.550476,1.647619,1.044762,2.761850,4.355515,1.577028
376,4.548822,1.666033,1.048632,2.730331,4.337862,1.588768
377,4.547177,1.661614,1.060061,2.736602,4.289544,1.567471
378,4.545540,1.658163,1.068594,2.741311,4.253758,1.551724
379,4.542970,1.658500,1.081794,2.739205,4.199477,1.533101
380,4.555451,1.656015,1.093985,2.750851,4.164089,1.513746
381,4.561305,1.651669,1.102362,2.761635,4.137755,1.498299
382,4.559648,1.650150,1.114435,2.763173,4.091443,1.480705
383,4.548676,1.641179,1.119918,2.771591,4.061615,1.465445
384,4.552641,1.675037,0.854725,2.717934,5.326442,1.959739
385,4.548237,1.667904,0.852505,2.726919,5.335147,1.956474
386,4.548483,1.663583,0.849371,2.734149,5.355120,1.958606
387,4.552418,1.659284,0.846253,2.743604,5.379498,1.960742
388,4.550810,1.654087,0.844072,2.751252,5.391494,1.959651
389,4.543702,1.647999,0.842820,2.757103,5.391068,1.955338
390,4.542125,1.647436,0.841575,2.757087,5.397171,1.957563
391,4.546036,1.658248,0.838235,2.741469,5.423341,1.978261
392,4.544962,1.671237,0.836097,2.719519,5.435927,1.998856
393,4.546756,1.666031,0.833969,2.729095,5.451945,1.997712
394,4.543782,1.663706,0.832805,2.731121,5.456000,1.997714
395,4.543671,1.659494,0.914241,2.737986,4.969886,1.815161
396,4.548295,1.660038,0.925189,2.739875,4.916070,1.794268
397,4.557620,1.656801,0.943640,2.750855,4.829830,1.755756
398,4.555590,1.654523,0.947864,2.753417,4.806163,1.745527
399,4.551692,1.655075,0.959586,2.750142,4.743389,1.724780
400,4.553438,1.675312,0.960000,2.717963,4.743164,1.745117
401,4.554239,1.671135,0.975374,2.725238,4.669223,1.713327
402,4.549440,1.669776,0.990672,2.724581,4.592279,1.685499
403,4.558623,1.666563,0.997519,2.735343,4.569963,1.670709
404,4.562191,1.660582,0.997834,2.747345,4.572093,1.664186
405,4.548148,1.656481,1.012037,2.745668,4.494053,1.636780
406,4.548953,1.651478,1.014163,2.754474,4.485428,1.628415
407,4.552518,1.663084,1.028256,2.737396,4.427419,1.617384
408,4.552390,1.677390,1.033088,2.713973,4.406584,1.623665
409,4.557763,1.675122,1.045232,2.720854,4.360526,1.602632
410,4.553915,1.671374,1.057125,2.724654,4.307832,1.581056
411,4.558202,1.667307,1.065117,2.733871,4.279531,1.565374
412,4.557678,1.665176,1.069239,2.737054,4.262545,1.557348
413,4.560979,1.664968,1.080031,2.739380,4.223009,1.541593
414,4.568078,1.660946,1.092677,2.750287,4.180628,1.520070
415,4.574192,1.662651,1.100507,2.751144,4.156439,1.510804
416,4.574582,1.687120,0.858742,2.711474,5.327072,1.964641
417,4.559826,1.676448,0.855736,2.719932,5.328540,1.959071
418,4.557416,1.676215,0.854634,2.718873,5.332597,1.961326
419,4.568208,1.674099,0.852594,2.728756,5.358011,1.963536
420,4.571429,1.671053,0.851504,2.735658,5.368653,1.962472
421,4.567133,1.667083,0.849481,2.739595,5.376380,1.962472
422,4.559117,1.660327,0.846533,2.745915,5.385635,1.961326
423,4.566069,1.679731,0.848264,2.718333,5.382838,1.980198
424,4.567403,1.685079,0.843471,2.710497,5.415011,1.997792
425,4.565944,1.683901,0.842415,2.711528,5.420066,1.998897
426,4.565419,1.679948,0.841364,2.717595,5.426211,1.996696
427,4.563971,1.673240,0.915198,2.727624,4.986869,1.828283
428,4.565298,1.670253,0.929661,2.733297,4.910714,1.796627
429,4.568458,1.670040,0.939455,2.735537,4.862880,1.777669
430,4.563341,1.669829,0.950122,2.732820,4.802899,1.757488
431,4.591220,1.677861,0.963488,2.736354,4.765209,1.741445
432,4.603588,1.699460,0.963542,2.708854,4.777778,1.763764
433,4.591994,1.693610,0.977675,2.711364,4.696850,1.732283
434,4.591974,1.688748,0.985983,2.719159,4.657254,1.712756
435,4.590996,1.685824,0.995211,2.723295,4.613090,1.693936
436,4.599580,1.683869,1.001529,2.731555,4.592557,1.681298
437,4.598589,1.681922,1.014493,2.734127,4.532895,1.657895
438,4.595700,1.679985,1.017884,2.735561,4.514953,1.650467
439,4.602316,1.681853,1.030752,2.736456,4.465009,1.631676
440,4.595644,1.700758,1.033144,2.702116,4.448213,1.646196
441,4.604119,1.699735,1.048753,2.708727,4.390090,1.620721
442,4.602187,1.697775,1.053922,2.710716,4.366726,1.610912
443,4.600263,1.711813,1.062829,2.687363,4.328319,1.610619
444,4.596471,1.689189,1.068881,2.721111,4.300263,1.580334
445,4.597378,1.685393,1.076779,2.727778,4.269565,1.565217
446,4.602018,1.680680,1.087444,2.738188,4.231959,1.545533
447,4.598248,1.676920,1.096197,2.742079,4.194728,1.529762
448,4.605655,1.703869,0.868676,2.703057,5.301927,1.961456
449,4.600965,1.698218,0.865813,2.709290,5.314041,1.961415
450,4.597222,1.696296,0.862963,2.710153,5.327253,1.965665
451,4.602735,1.694383,0.863821,2.716467,5.328342,1.961497
452,4.607301,1.689712,0.860066,2.726678,5.356913,1.964630
453,4.602649,1.684143,0.858168,2.732933,5.363344,1.962487
454,4.595264,1.678598,0.854442,2.737562,5.378088,1.964554
455,4.599817,1.692308,0.854396,2.718074,5.383708,1.980707
456,4.600426,1.700851,0.851393,2.704778,5.403409,1.997727
457,4.597117,1.699060,0.850496,2.705682,5.405221,1.997730
458,4.594786,1.696314,0.849602,2.708688,5.408163,1.996599
459,4.591503,1.691657,0.915033,2.714205,5.017857,1.848739
460,4.592072,1.688939,0.930307,2.718910,4.936082,1.815464
461,4.594551,1.687189,0.941687,2.723199,4.879065,1.791667
462,4.597021,1.684492,0.947288,2.729025,4.852823,1.778226
463,4.595668,1.678948,0.951912,2.737230,4.827828,1.763764
464,4.576255,1.700051,0.955565,2.691834,4.789055,1.779104
465,4.586338,1.782732,1.047438,2.572645,4.378623,1.701993
466,4.754481,1.805415,1.060338,2.633456,4.483929,1.702679
467,4.749969,1.857287,1.055234,2.557477,4.501343,1.760072
468,4.576735,1.680807,0.983220,2.722939,4.654842,1.709492
469,4.566976,1.676282,0.998056,2.724467,4.575872,1.679548
470,4.573217,1.676471,1.003442,2.727884,4.557530,1.670720
471,4.572874,1.671975,1.010678,2.735014,4.524560,1.654310
472,4.570663,1.694604,1.016014,2.697187,4.498620,1.667893
473,4.571260,1.692886,1.025059,2.700275,4.459509,1.651501
474,4.570923,1.688384,1.035927,2.707277,4.412399,1.629829
475,4.568731,1.684830,1.042105,2.711687,4.384135,1.616756
476,4.569328,1.681290,1.047331,2.717751,4.362832,1.605310
477,4.572697,1.679615,1.055309,2.722467,4.333041,1.591586
478,4.568668,1.676101,1.066023,2.725771,4.285714,1.572294
479,4.568341,1.673523,1.072086,2.729774,4.261168,1.560997
480,4.569853,1.695772,0.862132,2.694851,5.300640,1.966951
481,4.575945,1.698667,0.875932,2.693844,5.224084,1.939267
482,4.727373,1.816649,0.906380,2.602248,5.215665,2.004292
483,4.736995,1.815800,0.938470,2.608765,5.047570,1.934850
484,4.771759,1.707451,0.859052,2.794668,5.554679,1.987599
485,4.577320,1.683634,0.855348,2.718714,5.351412,1.968362
486,4.577546,1.685957,0.854552,2.715103,5.356659,1.972912
487,4.588360,1.700783,0.854723,2.697793,5.368243,1.989865
488,4.582800,1.704022,0.852011,2.689402,5.378805,2.000000
489,4.572469,1.696702,0.850268,2.694915,5.377678,1.995490
490,4.575574,1.693240,0.846620,2.702260,5.404520,2.000000
491,4.564346,1.690746,0.911724,2.699605,5.006283,1.854450
492,4.576982,1.688262,0.926067,2.711061,4.942387,1.823045
493,4.581009,1.686739,0.935598,2.715896,4.896341,1.802846
494,4.576480,1.680478,0.935602,2.723320,4.891481,1.796146
495,4.574811,1.683712,0.947917,2.717098,4.826174,1.776224
496,4.579763,1.702999,0.950731,2.689234,4.817097,1.791252
497,4.579980,1.700516,0.966738,2.693289,4.737561,1.759024
498,4.583961,1.698042,0.971386,2.699557,4.718992,1.748062
499,4.586986,1.694639,1.029559,2.706763,4.455292,1.645985
500,4.705312,1.831875,1.042500,2.568577,4.513489,1.757194
501,4.713698,1.850674,1.045097,2.547017,4.510295,1.770815
502,4.782744,1.842318,1.036479,2.596047,4.614414,1.777477
503,4.586854,1.683027,1.007393,2.725360,4.553191,1.670675
504,4.586124,1.704799,1.010975,2.690125,4.536339,1.686293
505,4.579827,1.700495,1.021968,2.693231,4.481381,1.663942
506,4.581892,1.700840,1.030138,2.693900,4.447842,1.651079
507,4.578402,1.697485,1.036428,2.697168,4.417484,1.637823
508,4.579540,1.694144,1.043615,2.703159,4.388152,1.623342
509,4.585278,1.688973,1.050774,2.714831,4.363716,1.607362
510,4.584559,1.687500,1.059743,2.716776,4.326106,1.592368
511,4.579256,1.685115,1.064090,2.717474,4.303448,1.583621
512,4.585876,1.706543,0.866089,2.687232,5.294926,1.970402
