n,scalar_ns,simd_ns,scalar_ns_per_limb,simd_ns_per_limb,speedup
3664,1476.847656,1070.395952,0.403069775,0.292138633,1.379721
3672,1482.755859,1072.398793,0.403800615,0.292047601,1.382653
3680,1487.057617,1076.798295,0.404091744,0.292608232,1.380999
3688,1488.400298,1077.441406,0.403579256,0.292147887,1.381421
3696,1491.619544,1078.335129,0.403576716,0.291757340,1.383262
3704,1490.354663,1075.928267,0.402363570,0.290477394,1.385180
3712,1491.440972,1079.146911,0.401789055,0.290718457,1.382056
3720,1494.526290,1081.460129,0.401754379,0.290715089,1.381952
3728,1495.066468,1086.061063,0.401037143,0.291325392,1.376595
3736,1500.210813,1085.289152,0.401555357,0.290494955,1.382314
3744,1503.315476,1089.013649,0.401526569,0.290869030,1.380438
3752,1507.998016,1089.807471,0.401918448,0.290460413,1.383729
3760,1510.805556,1093.166788,0.401809988,0.290735848,1.382045
3768,1512.633569,1093.878997,0.401442030,0.290307589,1.382816
3776,1517.149698,1098.257267,0.401787526,0.290852031,1.381416
3784,1518.223286,1098.875363,0.401221799,0.290400466,1.381616
3792,1525.093246,1103.538971,0.402187037,0.291017661,1.382002
3800,1528.106855,1103.792279,0.402133383,0.290471652,1.384415
3808,1530.818548,1106.571691,0.402000669,0.290591305,1.383388
3816,1535.128024,1107.435662,0.402287218,0.290208507,1.386201
3824,1539.116291,1114.788603,0.402488570,0.291524216,1.380635
3832,1540.981045,1113.872794,0.402134928,0.290676616,1.383444
3840,1548.173156,1118.119420,0.403170093,0.291176932,1.384622
3848,1545.919570,1116.467634,0.401746250,0.290142317,1.384652
3856,1560.673156,1119.596354,0.404738889,0.290351752,1.393961
3864,1553.009221,1122.813988,0.401917500,0.290583330,1.383140
3872,1558.731557,1133.936370,0.402564968,0.292855468,1.374620
3880,1567.127604,1131.056099,0.403898867,0.291509304,1.385544
3888,1565.617708,1131.357304,0.402679452,0.290986961,1.383840
3896,1571.830729,1026.958220,0.403447312,0.263592972,1.530569
3904,1587.038542,1152.455793,0.406516020,0.295198717,1.377093
3912,1596.814089,1155.371189,0.408183561,0.295340283,1.382079
3920,1601.972987,1161.787809,0.408666578,0.296374441,1.378886
3928,1605.378178,1159.809028,0.408701165,0.295267064,1.384175
3936,1605.568856,1161.070216,0.407918917,0.294987352,1.382835
3944,1607.597458,1161.467978,0.407605846,0.294489853,1.384108
3952,1611.400424,1168.778549,0.407743022,0.295743560,1.378705
3960,1620.282866,1170.368056,0.409162340,0.295547489,1.384422
3968,1622.507543,1173.982422,0.408898070,0.295862506,1.382054
3976,1626.403556,1176.271484,0.409055220,0.295842929,1.382677
3984,1600.617055,1151.530107,0.401761309,0.289038681,1.389991
3992,1588.434375,1150.222561,0.397904403,0.288131904,1.380980
4000,1591.824682,1153.183689,0.397956171,0.288295922,1.380374
4008,1598.779131,1155.645960,0.398896989,0.288334820,1.383451
4016,1604.621292,1160.059799,0.399557095,0.288859512,1.383223
4024,1604.848517,1162.092978,0.398819214,0.288790502,1.380998
4032,1608.656780,1192.213212,0.398972416,0.295687801,1.349303
4040,1608.942797,1164.666281,0.398253167,0.288283733,1.381463
4048,1611.675847,1167.837577,0.398141267,0.288497425,1.380051
4056,1616.695043,1188.708465,0.398593452,0.293074079,1.360043
4064,1623.752694,1194.060522,0.399545446,0.293814105,1.359858
4072,1625.396013,1195.223101,0.399164050,0.293522373,1.359910
4080,1627.524246,1197.569225,0.398903001,0.293521869,1.359023
4088,1630.692349,1198.027690,0.398897346,0.293059611,1.361147
4096,1641.424569,1203.010817,0.400738420,0.293703813,1.364430
