n,scalar_ns,simd_ns,scalar_ns_per_limb,simd_ns_per_limb,speedup
768,312.889063,230.524800,0.407407633,0.300162500,1.357290
776,315.595113,233.368004,0.406694734,0.300731964,1.352350
784,319.840030,235.475799,0.407959222,0.300351784,1.358271
792,322.666989,237.927611,0.407407814,0.300413650,1.356156
800,324.613430,240.287324,0.405766787,0.300359155,1.350939
808,328.195476,242.385820,0.406182520,0.299982451,1.354021
816,331.666851,245.064866,0.406454474,0.300324591,1.353384
824,334.246552,247.216694,0.405639020,0.300020260,1.352039
832,338.922044,249.726978,0.407358226,0.300152618,1.357170
840,341.463182,251.872068,0.406503788,0.299847700,1.355701
848,343.981799,254.269563,0.405638914,0.299846183,1.352823
856,348.743611,257.185445,0.407410760,0.300450286,1.356001
864,351.107160,259.244216,0.406374027,0.300051176,1.354349
872,354.670401,261.649983,0.406732111,0.300057319,1.355515
880,357.274834,263.704793,0.405994129,0.299664537,1.354829
888,360.702524,265.962730,0.406196536,0.299507579,1.356215
896,363.533794,268.695827,0.405729680,0.299883736,1.352957
904,367.920956,271.039108,0.406992208,0.299822022,1.357446
912,370.604620,273.608418,0.406364714,0.300009231,1.354507
920,373.223462,275.990349,0.405677676,0.299989510,1.352306
928,376.111875,278.220048,0.405292969,0.299806086,1.351850
936,379.891827,280.708739,0.405867336,0.299902499,1.353331
944,382.854082,283.768410,0.405565764,0.300602129,1.349178
952,386.393390,286.016101,0.405875410,0.300437081,1.350950
960,389.714082,288.334452,0.405952169,0.300348387,1.351604
968,393.734963,290.545182,0.406750995,0.300149981,1.355159
976,398.206435,292.081873,0.407998397,0.299264214,1.363338
984,400.369016,295.671678,0.406879081,0.300479348,1.354100
992,404.056465,296.988232,0.407314984,0.299383298,1.360513
1000,407.366748,299.366541,0.407366748,0.299366541,1.360762
1008,409.402975,302.178959,0.406153745,0.299780713,1.354836
1016,413.710765,304.073119,0.407195635,0.299284566,1.360563
1024,417.124306,306.887766,0.407347955,0.299695084,1.359208
1032,419.692383,309.533313,0.406678666,0.299935381,1.355888
1040,423.747889,311.650228,0.407449893,0.299663681,1.359691
1048,426.351562,313.838315,0.406824010,0.299464041,1.358507
1056,429.250143,316.216856,0.406486878,0.299447780,1.357455
1064,433.263969,318.546081,0.407202978,0.299385414,1.360130
1072,437.589390,321.955801,0.408199057,0.300331903,1.359160
1080,439.889749,323.644935,0.407305323,0.299671236,1.359174
1088,443.889298,325.956489,0.407986487,0.299592361,1.361805
1096,446.911458,328.489401,0.407765929,0.299716607,1.360505
1104,450.745944,330.425286,0.408284369,0.299298266,1.364139
1112,454.330465,333.884008,0.408570562,0.300255403,1.360743
1120,457.927591,336.327845,0.408863921,0.300292719,1.361551
1128,460.965839,338.262702,0.408657659,0.299878282,1.362745
1136,463.715363,340.737659,0.408200144,0.299945122,1.360916
1144,466.325031,342.092614,0.407626775,0.299032005,1.363154
1152,469.455625,344.358402,0.407513563,0.298922224,1.363276
1160,472.651539,347.254051,0.407458223,0.299356940,1.361112
1168,476.847240,350.353895,0.408259623,0.299960526,1.361044
1176,479.783960,353.402843,0.407979558,0.300512622,1.357612
1184,483.228365,354.857901,0.408132065,0.299711065,1.361752
1192,486.292908,357.217799,0.407963849,0.299679362,1.361334
1200,488.990072,359.239104,0.407491726,0.299365920,1.361183
1208,492.973658,362.231660,0.408090777,0.299860646,1.360935
1216,495.663651,365.934460,0.407618134,0.300932944,1.354515
1224,499.149767,366.747437,0.407802097,0.299630259,1.361018
1232,502.088068,368.716299,0.407539016,0.299282710,1.361719
1240,505.155410,371.863142,0.407383395,0.299889631,1.358444
1248,508.639358,373.686006,0.407563588,0.299427889,1.361141
1256,511.578635,376.533007,0.407307830,0.299787426,1.358655
1264,516.474073,378.378906,0.408602906,0.299350401,1.364965
1272,518.022272,380.034793,0.407250214,0.298769491,1.363092
1280,521.332639,383.588648,0.407291124,0.299678631,1.359093
1288,524.971194,385.903421,0.407586331,0.299614457,1.360369
1296,527.857268,388.126937,0.407297275,0.299480661,1.360012
1304,531.201448,390.514134,0.407363073,0.299474029,1.360262
1312,534.132635,392.518959,0.407113289,0.299176036,1.360782
1320,537.281250,394.698661,0.407031250,0.299014137,1.361244
1328,540.268499,398.150821,0.406828689,0.299812365,1.356944
1336,545.053107,400.801950,0.407973882,0.300001459,1.359906
1344,547.573401,402.711239,0.407420685,0.299636339,1.359717
1352,550.945724,405.721175,0.407504233,0.300089626,1.357942
1360,554.326103,407.766984,0.407592723,0.299828664,1.359419
1368,556.770525,409.283152,0.406995998,0.299183591,1.360355
1376,560.640811,411.408306,0.407442450,0.298988594,1.362736
1384,563.313061,413.809884,0.407018108,0.298995581,1.361285
1392,566.683923,416.430448,0.407100520,0.299159805,1.360813
1400,569.035038,418.247917,0.406453598,0.298748512,1.360521
1408,572.459032,420.760230,0.406576017,0.298835390,1.360535
1416,576.135928,423.155265,0.406875655,0.298838464,1.361524
1424,579.150270,425.779836,0.406706650,0.299002694,1.360211
1432,582.093750,427.949432,0.406490049,0.298847369,1.360193
1440,585.738548,430.721760,0.406762881,0.299112334,1.359900
1448,588.735352,433.082517,0.406585188,0.299090136,1.359407
1456,591.801297,434.909578,0.406456935,0.298701633,1.360746
1464,595.380736,437.496366,0.406680830,0.298836316,1.360882
1472,598.488256,440.565581,0.406581696,0.299297270,1.358454
1480,601.611579,442.122066,0.406494310,0.298731125,1.360736
1488,605.352016,444.476600,0.406822591,0.298707392,1.361944
1496,607.678427,447.655506,0.406202157,0.299234964,1.357469
1504,611.317979,449.441537,0.406461422,0.298830809,1.360172
1512,615.154208,451.836689,0.406848021,0.298833789,1.361453
1520,617.661390,453.346165,0.406356178,0.298254056,1.362450
1528,620.555921,455.898817,0.406122985,0.298363100,1.361170
1536,623.951780,458.659299,0.406218607,0.298606314,1.360382
1544,627.034375,461.180300,0.406110347,0.298691904,1.359630
1552,631.433305,462.816349,0.406851357,0.298206410,1.364328
1560,635.307221,466.541511,0.407248219,0.299065071,1.361738
1568,636.975296,469.853906,0.406234245,0.299651726,1.355688
1576,640.215774,471.378141,0.406228283,0.299097805,1.358179
1584,642.952697,473.351916,0.405904480,0.298833280,1.358297
1592,646.092680,474.983428,0.405837110,0.298356425,1.360243
1600,650.339440,478.433514,0.406462150,0.299020946,1.359310
1608,653.043620,483.499678,0.406121654,0.300683879,1.350660
1616,658.130463,483.773357,0.407258950,0.299364701,1.360411
1624,660.491857,487.933128,0.406706809,0.300451434,1.353652
1632,664.730414,489.551595,0.407310303,0.299970340,1.357835
1640,666.587988,493.959704,0.406456090,0.301194941,1.349478
1648,671.061384,494.115954,0.407197442,0.299827642,1.358105
1656,673.155134,497.094081,0.406494646,0.300177585,1.354181
1664,676.858138,498.415179,0.406765708,0.299528353,1.358021
1672,679.527853,501.869151,0.406416180,0.300160976,1.353994
1680,682.446784,504.758905,0.406218324,0.300451729,1.352025
1688,686.070940,506.121472,0.406440130,0.299834995,1.355546
1696,689.353171,510.265795,0.406458238,0.300864266,1.350969
1704,693.286765,510.316746,0.406858430,0.299481658,1.358542
1712,694.885417,511.549762,0.405891014,0.298802431,1.358393
1720,698.487269,513.076503,0.406097249,0.298300292,1.361371
1728,701.642957,516.134100,0.406043378,0.298688715,1.359420
1736,704.222015,518.512604,0.405657843,0.298682375,1.358158
1744,708.067434,520.957639,0.406001969,0.298714242,1.359165
1752,712.110559,523.078993,0.406455798,0.298561069,1.361382
1760,714.392756,528.268083,0.405904975,0.300152320,1.352330
1768,718.682013,531.526306,0.406494351,0.300637051,1.352110
1776,721.852163,533.580433,0.406448290,0.300439433,1.352846
1784,726.025000,534.264027,0.406964686,0.299475351,1.358925
1792,728.884448,537.463214,0.406743553,0.299923669,1.356157
1800,732.910610,541.186063,0.407172561,0.300658924,1.354267
1808,736.795410,541.220366,0.407519585,0.299347548,1.361359
1816,739.351624,543.436597,0.407131952,0.299249227,1.360511
1824,741.273376,546.029251,0.406399877,0.299358142,1.357571
1832,744.951637,548.449379,0.406632990,0.299371932,1.358287
1840,748.225446,553.578125,0.406644264,0.300857677,1.351617
