65536,6,140,60160
68438,6,140,62720
71468,6,140,65536
74632,7,164,58368
77936,7,164,60928
81386,7,164,63744
84990,8,188,58112
88752,8,188,60672
92682,8,188,63232
96785,5,116,107008
101070,5,116,111616
105545,5,116,116480
110218,5,116,121856
115098,5,116,127232
120194,6,140,110080
125515,6,140,114944
131072,6,140,120064
136875,6,140,125184
142935,6,140,130816
149263,7,164,116736
155872,7,164,121856
162773,7,164,127232
169979,8,188,115968
177505,8,188,121088
185364,8,188,126208
193571,5,112,221440
202141,5,112,231168
211090,5,112,241408
220436,5,112,252160
230195,6,140,210688
240387,6,140,219904
251030,6,140,229632
262144,6,140,239872
273750,6,140,250368
285870,6,140,261376
298527,7,164,233216
311744,7,164,243456
325546,7,164,254208
339959,8,188,231680
355010,8,188,241920
370728,8,188,252416
387141,5,112,442624
404281,5,112,462080
422180,5,112,482560
440872,5,112,504064
460391,6,140,421120
480774,6,140,439808
502060,6,140,459264
524288,6,140,479488
547500,6,140,500736
571740,6,140,522752
597053,7,164,466176
623487,7,164,486656
651091,7,164,508416
679917,8,188,463104
710020,8,188,483584
741455,8,188,504832
774282,5,112,884992
808563,5,112,924160
844361,5,112,965120
881744,5,112,1007872
920782,6,136,866816
961548,6,136,905216
1004120,6,136,945152
1048576,6,136,987136
1095000,6,136,1030656
1143480,7,164,892672
1194106,7,164,932096
1246974,7,164,973312
1302182,7,164,1016576
1359835,8,188,925952
1420040,8,188,966912
1482910,8,188,1009664
1548564,5,112,1769984
1617125,5,112,1848320
1688722,5,112,1929984
1763488,5,112,2015488
1841564,6,136,1733376
1923097,6,136,1810176
2008240,6,136,1890304
2097152,6,136,1974016
2190001,6,136,2061312
2286960,7,164,1785088
2388213,7,164,1864192
2493948,7,160,1995264
2604365,7,160,2083584
2719670,8,188,1851904
2840080,8,188,1933824
2965821,8,188,2019328
3097129,5,112,3539712
3234251,5,112,3696384
3377443,5,112,3859968
3526975,5,112,4030976
3683128,6,136,3466496
3846194,6,136,3620096
4016479,6,136,3780352
4194304,6,136,3947776
