an,bn,ratio,gmp_ns,simd_ns,speedup
148,118,0.8000,2844.3,899.2,3.1633
148,148,1.0000,3485.8,1051.5,3.3151
149,19,0.1250,826.3,186.6,4.4285
149,30,0.2000,1392.9,259.6,5.3652
149,37,0.2500,1437.4,308.0,4.6673
149,50,0.3333,1888.6,389.2,4.8527
149,60,0.4000,2007.8,453.6,4.4262
149,75,0.5000,2130.8,554.1,3.8456
149,97,0.6500,2653.9,694.9,3.8193
149,119,0.8000,2863.6,917.6,3.1207
149,149,1.0000,3529.2,1049.8,3.3618
150,19,0.1250,832.1,189.7,4.3856
150,30,0.2000,1283.0,265.3,4.8354
150,38,0.2500,1462.1,314.8,4.6453
150,50,0.3333,1820.0,388.8,4.6810
150,60,0.4000,2011.7,456.3,4.4091
150,75,0.5000,2136.6,555.5,3.8463
150,98,0.6500,2670.7,827.2,3.2285
150,120,0.8000,2885.3,917.7,3.1440
150,150,1.0000,3522.2,1058.4,3.3277
151,19,0.1250,836.2,194.6,4.2970
151,30,0.2000,1274.7,267.3,4.7687
151,38,0.2500,1465.7,318.8,4.5977
151,50,0.3333,1845.9,394.8,4.6761
151,60,0.4000,2019.2,459.8,4.3917
151,76,0.5000,2155.7,565.5,3.8117
151,98,0.6500,2717.1,828.9,3.2781
151,121,0.8000,2957.7,921.3,3.2104
151,151,1.0000,3628.2,1066.2,3.4030
152,19,0.1250,840.8,194.6,4.3211
152,30,0.2000,1286.4,266.4,4.8293
152,38,0.2500,1462.3,320.7,4.5595
152,51,0.3333,1912.9,403.3,4.7432
152,61,0.4000,2037.8,473.7,4.3020
152,76,0.5000,2150.2,571.1,3.7652
152,99,0.6500,2736.6,845.1,3.2383
152,122,0.8000,2983.7,942.9,3.1645
152,152,1.0000,3641.1,1085.4,3.3544
153,19,0.1250,846.5,194.5,4.3522
153,31,0.2000,1445.3,278.4,5.1912
153,38,0.2500,1491.6,321.8,4.6351
153,51,0.3333,1907.6,407.4,4.6822
153,61,0.4000,2090.7,474.2,4.4089
153,77,0.5000,2212.4,579.0,3.8213
153,99,0.6500,2768.4,845.6,3.2738
153,122,0.8000,2995.9,941.5,3.1820
153,153,1.0000,3675.4,1098.0,3.3475
154,19,0.1250,853.9,194.5,4.3897
154,31,0.2000,1451.4,280.0,5.1837
154,39,0.2500,1564.3,330.4,4.7342
154,51,0.3333,1919.9,411.2,4.6691
154,62,0.4000,2111.6,483.5,4.3673
154,77,0.5000,2233.3,583.5,3.8277
154,100,0.6500,2795.8,863.1,3.2392
154,123,0.8000,3025.3,950.5,3.1828
154,154,1.0000,3730.4,1106.1,3.3725
155,19,0.1250,857.5,195.0,4.3982
155,31,0.2000,1339.4,281.1,4.7646
155,39,0.2500,1565.6,332.1,4.7150
155,52,0.3333,1982.3,413.0,4.7998
155,62,0.4000,2116.9,485.0,4.3649
155,78,0.5000,2258.3,589.5,3.8309
155,101,0.6500,2847.3,846.4,3.3639
155,124,0.8000,3107.5,944.6,3.2899
155,155,1.0000,3773.3,1083.3,3.4832
156,20,0.1250,909.2,203.6,4.4647
156,31,0.2000,1344.4,282.2,4.7648
156,39,0.2500,1565.5,331.4,4.7243
156,52,0.3333,1950.9,418.2,4.6655
156,62,0.4000,2121.4,487.2,4.3541
156,78,0.5000,2250.2,592.8,3.7960
156,101,0.6500,2872.2,817.6,3.5129
156,125,0.8000,3126.7,924.1,3.3834
156,156,1.0000,3798.5,1036.6,3.6643
157,20,0.1250,913.1,207.9,4.3912
157,31,0.2000,1355.3,283.4,4.7815
157,39,0.2500,1574.0,335.2,4.6954
157,52,0.3333,1975.5,424.5,4.6533
157,63,0.4000,2179.8,496.4,4.3911
157,79,0.5000,2322.4,611.6,3.7974
157,102,0.6500,2946.8,844.4,3.4898
157,126,0.8000,3155.3,954.7,3.3050
157,157,1.0000,3875.4,1086.0,3.5684
158,20,0.1250,923.5,210.4,4.3898
158,32,0.2000,1536.2,291.3,5.2728
158,40,0.2500,1585.3,349.0,4.5422
158,53,0.3333,2052.7,433.6,4.7346
158,63,0.4000,2188.1,498.9,4.3863
158,79,0.5000,2329.9,612.6,3.8034
158,103,0.6500,2961.4,870.6,3.4014
158,126,0.8000,3156.5,974.8,3.2382
158,158,1.0000,3905.7,1130.0,3.4563
159,20,0.1250,928.4,209.0,4.4415
159,32,0.2000,1539.1,293.2,5.2497
159,40,0.2500,1589.9,351.1,4.5288
159,53,0.3333,2016.8,434.3,4.6433
159,64,0.4000,2204.4,508.7,4.3330
159,80,0.5000,2336.2,621.4,3.7598
159,103,0.6500,2986.3,881.2,3.3889
159,127,0.8000,3252.2,1006.0,3.2328
159,159,1.0000,3923.1,1147.6,3.4186
160,20,0.1250,928.7,209.1,4.4419
160,32,0.2000,1377.0,294.9,4.6692
160,40,0.2500,1585.4,350.5,4.5238
160,53,0.3333,2025.1,435.3,4.6526
160,64,0.4000,2212.1,509.2,4.3440
160,80,0.5000,2333.3,621.3,3.7556
160,104,0.6500,2999.4,928.3,3.2311
160,128,0.8000,3274.1,1063.7,3.0779
160,160,1.0000,3914.6,1169.4,3.3475
161,20,0.1250,939.8,208.7,4.5024
161,32,0.2000,1396.4,296.5,4.7093
161,40,0.2500,1645.0,353.1,4.6593
161,54,0.3333,2144.0,445.7,4.8102
161,64,0.4000,2281.8,515.3,4.4279
161,81,0.5000,2422.9,636.1,3.8088
161,105,0.6500,3028.9,911.4,3.3234
161,129,0.8000,3285.3,1035.2,3.1737
161,161,1.0000,3948.0,1179.2,3.3481
162,20,0.1250,944.5,208.4,4.5319
162,32,0.2000,1400.0,296.7,4.7182
162,41,0.2500,1717.9,362.2,4.7427
162,54,0.3333,2067.1,448.4,4.6102
162,65,0.4000,2306.1,522.8,4.4108
162,81,0.5000,2433.5,640.8,3.7973
162,105,0.6500,3054.8,918.7,3.3252
162,130,0.8000,3406.3,1043.4,3.2647
162,162,1.0000,3957.1,1179.9,3.3539
163,20,0.1250,948.8,215.2,4.4095
