ratio,an,bn,ns_call
1.0000,924,924,9008.8
1.0000,928,928,9008.7
1.0000,932,932,9013.1
1.0000,936,936,9017.7
1.0000,940,940,9002.9
1.0000,944,944,8993.9
1.0000,948,948,8999.1
1.0000,952,952,8993.0
1.0000,956,956,8995.1
1.0000,960,960,8984.5
1.0000,964,964,9006.1
1.0000,968,968,9003.9
1.0000,972,972,9017.4
1.0000,976,976,9025.8
1.0000,980,980,9003.9
1.0000,984,984,9015.9
1.0000,988,988,9000.7
1.0000,992,992,8993.4
1.0000,996,996,9000.9
1.0000,1000,1000,8991.2
1.0000,1004,1004,9003.4
1.0000,1008,1008,9003.4
1.0000,1012,1012,8994.1
1.0000,1016,1016,8996.7
1.0000,1020,1020,8996.1
1.0000,1024,1024,8991.1
1.0000,1028,1028,12203.9
1.0000,1032,1032,12216.2
1.0000,1036,1036,12221.8
1.0000,1040,1040,12298.3
1.0000,1044,1044,12223.1
1.0000,1048,1048,12214.0
1.0000,1052,1052,12229.1
1.0000,1056,1056,12246.5
1.0000,1060,1060,12214.6
1.0000,1064,1064,12219.6
1.0000,1068,1068,12220.4
1.0000,1072,1072,12220.6
1.0000,1076,1076,12236.4
1.0000,1080,1080,12232.0
1.0000,1084,1084,12227.7
1.0000,1088,1088,12227.7
1.0000,1092,1092,12235.4
1.0000,1096,1096,12231.9
1.0000,1100,1100,12233.0
1.0000,1104,1104,12230.3
1.0000,1108,1108,12234.2
1.0000,1112,1112,12229.3
1.0000,1116,1116,12244.1
1.0000,1120,1120,12240.1
1.0000,1124,1124,12233.8
1.0000,1128,1128,12240.4
1.0000,1132,1132,12235.4
1.0000,1136,1136,12249.7
1.0000,1140,1140,12238.1
1.0000,1144,1144,12241.4
1.0000,1148,1148,12244.0
1.0000,1152,1152,12253.5
1.0000,1156,1156,12249.1
1.0000,1160,1160,12247.9
1.0000,1164,1164,12264.8
1.0000,1168,1168,12239.4
1.0000,1172,1172,12238.6
1.0000,1176,1176,12263.1
1.0000,1180,1180,12249.3
1.0000,1184,1184,12249.1
1.0000,1188,1188,12241.9
1.0000,1192,1192,12245.8
1.0000,1196,1196,12267.0
1.0000,1200,1200,12245.5
1.0000,1204,1204,12256.4
1.0000,1208,1208,12255.6
1.0000,1212,1212,12246.7
1.0000,1216,1216,12242.9
1.0000,1220,1220,12246.0
1.0000,1224,1224,12265.6
1.0000,1228,1228,12274.2
1.0000,1232,1232,12255.9
1.0000,1236,1236,12256.2
1.0000,1240,1240,12261.6
1.0000,1244,1244,12265.0
1.0000,1248,1248,12269.6
1.0000,1252,1252,12263.5
1.0000,1256,1256,12251.9
1.0000,1260,1260,12271.5
1.0000,1264,1264,12280.4
1.0000,1268,1268,12275.2
1.0000,1272,1272,12270.7
1.0000,1276,1276,12274.5
1.0000,1280,1280,12293.6
1.0000,1284,1284,14785.6
1.0000,1288,1288,14792.2
1.0000,1292,1292,14785.0
1.0000,1296,1296,14788.0
1.0000,1300,1300,14792.9
1.0000,1304,1304,14807.5
1.0000,1308,1308,14801.8
1.0000,1312,1312,14783.5
1.0000,1316,1316,14797.5
1.0000,1320,1320,14796.7
1.0000,1324,1324,14804.7
1.0000,1328,1328,14810.2
1.0000,1332,1332,14785.1
1.0000,1336,1336,14791.7
1.0000,1340,1340,14805.3
1.0000,1344,1344,14819.9
1.0000,1348,1348,14813.6
1.0000,1352,1352,14818.0
1.0000,1356,1356,14815.1
1.0000,1360,1360,14801.2
1.0000,1364,1364,14780.7
1.0000,1368,1368,14791.0
1.0000,1372,1372,14812.1
1.0000,1376,1376,14785.3
1.0000,1380,1380,14792.6
1.0000,1384,1384,14814.6
1.0000,1388,1388,14808.8
1.0000,1392,1392,14812.1
1.0000,1396,1396,14824.9
1.0000,1400,1400,14808.6
1.0000,1404,1404,14801.5
1.0000,1408,1408,14819.1
1.0000,1412,1412,14821.1
1.0000,1416,1416,14816.7
1.0000,1420,1420,14817.8
