n,ns_limb
2048,19.7475
2139,22.0848
2233,21.1946
2332,20.9788
2435,20.4329
2543,21.3462
2656,21.0205
2774,20.7674
2896,20.5982
3025,20.4054
3158,20.6033
3298,20.4128
3444,20.4689
3597,19.6169
3756,19.6496
3922,19.7486
4096,20.1473
4277,22.4432
4467,22.6172
4664,22.0044
4871,21.5955
5087,21.7275
5312,21.4176
5547,21.2566
5793,21.0555
6049,20.8772
6317,21.0610
6597,20.9381
6889,20.8990
7194,20.5758
7512,20.6073
7845,20.2940
8192,20.4126
8555,23.5055
8933,23.1957
9329,22.9895
9742,22.4604
10173,22.2521
10624,22.3148
11094,22.1131
11585,21.8530
12098,21.5960
12634,22.0868
13193,21.6198
13777,21.5711
14387,21.4683
15024,21.2078
15689,21.1377
16384,20.9282
17109,24.0198
17867,23.6996
18658,23.4943
19484,23.1436
20347,22.9258
21247,23.0614
22188,22.7343
23170,22.4562
24196,22.2082
25268,22.5128
26386,22.2505
27554,22.0803
28774,22.2102
30048,21.9522
31379,21.7341
32768,22.0913
34219,25.2526
35734,24.9426
37316,24.8321
38968,24.5304
40693,24.2969
42495,24.1608
44376,23.9255
46341,23.7053
48393,23.4409
50535,23.7008
52773,23.4383
55109,23.2458
57549,23.2454
60097,22.9674
62757,22.8380
65536,22.7397
68438,26.2443
71468,25.8703
74632,25.6696
77936,25.4368
81386,25.0875
84990,24.9982
88752,24.7749
92682,24.6438
96785,24.3933
101070,24.8066
105545,24.5261
110218,24.4947
115098,24.4696
120194,24.0936
125515,23.9373
131072,23.5600
136875,29.0045
142935,28.6544
149263,28.3567
155872,28.1162
162773,27.9176
169979,27.8734
177505,27.6974
185364,27.4671
193571,27.2953
202141,27.7455
211090,27.0928
220436,26.9303
230195,27.1890
240387,26.9766
251030,26.4663
262144,27.0803
273750,35.8981
285870,35.4627
298527,35.4174
311744,34.7199
325546,34.1462
339959,33.8066
355010,32.9029
370728,32.5098
387141,32.1328
404281,32.3157
422180,31.6268
440872,31.5739
460391,31.3360
480774,30.9074
502060,30.5070
524288,29.9620
547500,38.0635
571740,37.4272
597053,36.6606
623487,35.9833
651091,35.3895
679917,34.9672
710020,34.7929
741455,34.3232
774282,33.6453
808563,33.6771
844361,33.1888
881744,32.6793
920782,32.5565
961548,31.9458
1004120,31.7068
1048576,30.5546
1095000,41.2483
1143480,40.4473
1194106,39.7873
1246974,39.1211
1302182,38.3421
1359835,37.9552
1420040,37.3340
1482910,36.8934
1548564,36.3581
1617125,36.7022
1688722,35.7646
1763488,35.3416
1841564,35.1599
1923097,34.4398
2008240,34.3801
2097152,33.0087
