shape,an52,bn52,u52_ns,ref_core_ns,ref_full_ns,u52_ns_per_digit_product,ref_core_ns_per_digit_product,ref_full_ns_per_digit_product
an=1bn,134,134,940.850312,1057.275983,1207.952324,0.052397545,0.058881487,0.067272907
an=1bn,136,136,955.018624,1078.212284,1223.465503,0.051633792,0.058294349,0.066147573
an=1bn,138,138,976.285116,1110.168382,1259.530833,0.051264709,0.058294916,0.066137935
an=1bn,140,140,1005.017952,1147.172256,1293.781250,0.051276426,0.058529197,0.066009247
an=1bn,142,142,1042.456597,1163.607639,1319.695312,0.051698899,0.057707183,0.065448091
an=1bn,144,144,1068.308594,1197.417722,1353.894196,0.051519512,0.057745839,0.065291965
an=1bn,146,146,1093.381904,1238.615954,1401.347481,0.051293953,0.058107335,0.065741578
an=1bn,148,148,1125.442336,1264.561250,1418.441698,0.051380676,0.057731978,0.064757199
an=1bn,150,150,1159.286265,1290.988870,1453.415865,0.051523834,0.057377283,0.064596261
an=1bn,152,152,1176.595313,1323.029049,1488.796131,0.050926044,0.057264069,0.064438891
an=1bn,154,154,1215.844151,1376.048007,1590.577331,0.051266830,0.058021926,0.067067690
an=1bn,156,156,1290.894692,1444.162500,1612.157839,0.053044654,0.059342641,0.066245802
an=1bn,158,158,1345.082589,1480.469238,1647.654057,0.053880892,0.059304168,0.066001204
an=1bn,160,160,1373.129982,1511.502976,1673.185307,0.053637890,0.059043085,0.065358801
an=1bn,162,162,1411.726679,1559.613217,1715.652273,0.053792359,0.059427420,0.065373124
an=1bn,164,164,1443.791346,1579.752083,1754.688079,0.053680523,0.058735577,0.065239741
an=1bn,166,166,1477.108398,1617.793642,1790.052476,0.053603876,0.058709306,0.064960534
an=1bn,168,168,1468.356445,1608.947034,1784.239387,0.052025101,0.057006343,0.063217098
an=1bn,170,170,1482.866699,1657.228070,1819.322716,0.051310266,0.057343532,0.062952343
an=1bn,172,172,1517.970262,1682.617188,1861.730392,0.051310515,0.056875919,0.062930313
an=1bn,174,174,1555.882172,1717.639205,1897.230000,0.051389952,0.056732699,0.062664487
an=1bn,176,176,1603.041314,1779.572524,1961.194010,0.051751075,0.057450043,0.063313340
an=1bn,178,178,1700.654018,1843.705270,2017.124335,0.053675483,0.058190420,0.063663816
an=1bn,180,180,1722.825000,1865.180147,2050.329484,0.053173611,0.057567288,0.063281774
an=1bn,182,182,1783.902712,1912.133750,2092.232639,0.053855293,0.057726535,0.063163647
an=1bn,184,184,1805.245192,1953.288411,2129.658333,0.053321278,0.057694010,0.062903424
an=1bn,186,186,1825.632812,2001.376330,2184.601744,0.052770055,0.057849934,0.063146079
an=1bn,188,188,1899.328125,2035.523936,2217.192587,0.053738347,0.057591782,0.062731796
