ratio,an,bn,ns_call
1.0000,924,924,8779.3
1.0000,928,928,8781.7
1.0000,932,932,8777.8
1.0000,936,936,8805.3
1.0000,940,940,8812.4
1.0000,944,944,8808.3
1.0000,948,948,8808.2
1.0000,952,952,8787.1
1.0000,956,956,8780.5
1.0000,960,960,8777.2
1.0000,964,964,8788.8
1.0000,968,968,8816.3
1.0000,972,972,8803.8
1.0000,976,976,8799.9
1.0000,980,980,8802.9
1.0000,984,984,8791.7
1.0000,988,988,8778.2
1.0000,992,992,8795.9
1.0000,996,996,8798.9
1.0000,1000,1000,8815.9
1.0000,1004,1004,8822.8
1.0000,1008,1008,8825.8
1.0000,1012,1012,8828.2
1.0000,1016,1016,8809.3
1.0000,1020,1020,8797.9
1.0000,1024,1024,8811.2
1.0000,1028,1028,11990.9
1.0000,1032,1032,11928.4
1.0000,1036,1036,11936.5
1.0000,1040,1040,11941.9
1.0000,1044,1044,11937.5
1.0000,1048,1048,11937.8
1.0000,1052,1052,11930.2
1.0000,1056,1056,11918.9
1.0000,1060,1060,11971.8
1.0000,1064,1064,11957.4
1.0000,1068,1068,11955.9
1.0000,1072,1072,11961.8
1.0000,1076,1076,11941.1
1.0000,1080,1080,11948.4
1.0000,1084,1084,11945.4
1.0000,1088,1088,11947.8
1.0000,1092,1092,11957.4
1.0000,1096,1096,11967.2
1.0000,1100,1100,11982.8
1.0000,1104,1104,11985.8
1.0000,1108,1108,11977.2
1.0000,1112,1112,11985.8
1.0000,1116,1116,11989.5
1.0000,1120,1120,11974.6
1.0000,1124,1124,11962.9
1.0000,1128,1128,11990.2
1.0000,1132,1132,11986.3
1.0000,1136,1136,11990.8
1.0000,1140,1140,11993.5
1.0000,1144,1144,11995.2
1.0000,1148,1148,11990.1
1.0000,1152,1152,11992.3
1.0000,1156,1156,11999.4
1.0000,1160,1160,11992.5
1.0000,1164,1164,11999.1
1.0000,1168,1168,11999.7
1.0000,1172,1172,11994.7
1.0000,1176,1176,11997.3
1.0000,1180,1180,11998.3
1.0000,1184,1184,12006.1
1.0000,1188,1188,12003.8
1.0000,1192,1192,11995.7
1.0000,1196,1196,12000.9
1.0000,1200,1200,11995.2
1.0000,1204,1204,11999.3
1.0000,1208,1208,11973.0
1.0000,1212,1212,11967.2
1.0000,1216,1216,11965.7
1.0000,1220,1220,12004.4
1.0000,1224,1224,11999.8
1.0000,1228,1228,12004.7
1.0000,1232,1232,12008.4
1.0000,1236,1236,12010.9
1.0000,1240,1240,12019.0
1.0000,1244,1244,12010.2
1.0000,1248,1248,12026.1
1.0000,1252,1252,12018.8
1.0000,1256,1256,12017.7
1.0000,1260,1260,12020.7
1.0000,1264,1264,12012.9
1.0000,1268,1268,12009.8
1.0000,1272,1272,12005.6
1.0000,1276,1276,11993.8
1.0000,1280,1280,12006.5
1.0000,1284,1284,14362.9
1.0000,1288,1288,14349.9
1.0000,1292,1292,14362.8
1.0000,1296,1296,14371.5
1.0000,1300,1300,14372.1
1.0000,1304,1304,14369.6
1.0000,1308,1308,14381.3
1.0000,1312,1312,14391.3
1.0000,1316,1316,14353.6
1.0000,1320,1320,14352.4
1.0000,1324,1324,14362.4
1.0000,1328,1328,14370.3
1.0000,1332,1332,14372.8
1.0000,1336,1336,14359.9
1.0000,1340,1340,14366.8
1.0000,1344,1344,14373.0
1.0000,1348,1348,14402.6
1.0000,1352,1352,14376.6
1.0000,1356,1356,14376.4
1.0000,1360,1360,14367.9
1.0000,1364,1364,14375.1
1.0000,1368,1368,14357.1
1.0000,1372,1372,14369.0
1.0000,1376,1376,14358.8
1.0000,1380,1380,14391.1
1.0000,1384,1384,14366.0
1.0000,1388,1388,14386.6
1.0000,1392,1392,14390.6
1.0000,1396,1396,14363.2
1.0000,1400,1400,14357.0
1.0000,1404,1404,14384.3
1.0000,1408,1408,14372.3
1.0000,1412,1412,14385.0
1.0000,1416,1416,14400.5
1.0000,1420,1420,14400.4
1.0000,1424,1424,14385.1
1.0000,1428,1428,14368.1
1.0000,1432,1432,14381.3
1.0000,1436,1436,14375.8
1.0000,1440,1440,14404.9
1.0000,1444,1444,14377.3
1.0000,1448,1448,14361.8
1.0000,1452,1452,14378.6
1.0000,1456,1456,14379.5
1.0000,1460,1460,14375.8
1.0000,1464,1464,14372.9
1.0000,1468,1468,14372.2
1.0000,1472,1472,14368.4
1.0000,1476,1476,14388.1
1.0000,1480,1480,14402.9
1.0000,1484,1484,14415.3
1.0000,1488,1488,14402.1
1.0000,1492,1492,14389.2
1.0000,1496,1496,14376.7
1.0000,1500,1500,14401.5
1.0000,1504,1504,14407.8
1.0000,1508,1508,14417.1
1.0000,1512,1512,14404.4
1.0000,1516,1516,14395.8
1.0000,1520,1520,14378.0
1.0000,1524,1524,14410.1
1.0000,1528,1528,14394.3
1.0000,1532,1532,14404.7
1.0000,1536,1536,14424.4
1.0000,1540,1540,16984.1
1.0000,1544,1544,17015.0
1.0000,1548,1548,16991.7
1.0000,1552,1552,17005.0
1.0000,1556,1556,16978.4
1.0000,1560,1560,17018.4
1.0000,1564,1564,16986.6
1.0000,1568,1568,16983.1
1.0000,1572,1572,16996.6
1.0000,1576,1576,17008.9
1.0000,1580,1580,17008.4
1.0000,1584,1584,16998.7
1.0000,1588,1588,16995.4
1.0000,1592,1592,17000.3
1.0000,1596,1596,16989.8
1.0000,1600,1600,16996.5
1.0000,1604,1604,16998.9
1.0000,1608,1608,16997.8
1.0000,1612,1612,17019.9
1.0000,1616,1616,16999.3
1.0000,1620,1620,16996.6
1.0000,1624,1624,17005.7
1.0000,1628,1628,17001.5
1.0000,1632,1632,17002.9
1.0000,1636,1636,17006.5
1.0000,1640,1640,17007.2
1.0000,1644,1644,17011.3
1.0000,1648,1648,17012.1
1.0000,1652,1652,16992.6
1.0000,1656,1656,17017.3
1.0000,1660,1660,17015.0
1.0000,1664,1664,17002.4
1.0000,1668,1668,16999.2
1.0000,1672,1672,17010.2
1.0000,1676,1676,17019.4
1.0000,1680,1680,17042.2
1.0000,1684,1684,17020.5
1.0000,1688,1688,17020.0
1.0000,1692,1692,17015.9
1.0000,1696,1696,17031.7
1.0000,1700,1700,17022.8
1.0000,1704,1704,17020.5
1.0000,1708,1708,17035.1
1.0000,1712,1712,17018.0
1.0000,1716,1716,17034.9
1.0000,1720,1720,17025.2
1.0000,1724,1724,17045.2
1.0000,1728,1728,17034.1
1.0000,1732,1732,17037.1
1.0000,1736,1736,17026.1
1.0000,1740,1740,17038.5
1.0000,1744,1744,17011.3
1.0000,1748,1748,17038.8
1.0000,1752,1752,17037.4
1.0000,1756,1756,17049.9
1.0000,1760,1760,17030.9
1.0000,1764,1764,17031.8
1.0000,1768,1768,17064.6
1.0000,1772,1772,17067.9
1.0000,1776,1776,17073.1
1.0000,1780,1780,17052.4
1.0000,1784,1784,17091.6
1.0000,1788,1788,17071.0
1.0000,1792,1792,17077.6
1.0000,1796,1796,18302.3
1.0000,1800,1800,18299.5
1.0000,1804,1804,18290.6
1.0000,1808,1808,18321.8
1.0000,1812,1812,18316.1
1.0000,1816,1816,18300.0
1.0000,1820,1820,18329.1
1.0000,1824,1824,18311.4
1.0000,1828,1828,18345.3
1.0000,1832,1832,18307.0
1.0000,1836,1836,18319.6
1.0000,1840,1840,18314.8
1.0000,1844,1844,18309.6
1.0000,1848,1848,18330.6
1.0000,1852,1852,18335.3
1.0000,1856,1856,18325.4
1.0000,1860,1860,18333.8
1.0000,1864,1864,18346.0
1.0000,1868,1868,18353.4
1.0000,1872,1872,18413.6
1.0000,1876,1876,18349.4
1.0000,1880,1880,18284.8
1.0000,1884,1884,18341.7
1.0000,1888,1888,18293.7
1.0000,1892,1892,18348.0
1.0000,1896,1896,18299.9
1.0000,1900,1900,18314.8
1.0000,1904,1904,18303.4
1.0000,1908,1908,18311.2
1.0000,1912,1912,18285.2
1.0000,1916,1916,18310.1
1.0000,1920,1920,18613.0
1.0000,1924,1924,18421.0
1.0000,1928,1928,18346.4
1.0000,1932,1932,18323.5
1.0000,1936,1936,18326.4
1.0000,1940,1940,18306.6
1.0000,1944,1944,18332.8
1.0000,1948,1948,18327.6
1.0000,1952,1952,18295.0
1.0000,1956,1956,18298.6
1.0000,1960,1960,18320.1
1.0000,1964,1964,18338.2
1.0000,1968,1968,18355.4
1.0000,1972,1972,18316.1
1.0000,1976,1976,18319.3
1.0000,1980,1980,18302.0
1.0000,1984,1984,18300.6
1.0000,1988,1988,18317.1
1.0000,1992,1992,18318.0
1.0000,1996,1996,18343.8
1.0000,2000,2000,18326.7
1.0000,2004,2004,18323.2
1.0000,2008,2008,18350.3
1.0000,2012,2012,18313.5
1.0000,2016,2016,18316.8
1.0000,2020,2020,18341.2
1.0000,2024,2024,18298.3
1.0000,2028,2028,18343.2
1.0000,2032,2032,18327.1
1.0000,2036,2036,18357.8
1.0000,2040,2040,18284.5
1.0000,2044,2044,18327.6
1.0000,2048,2048,18301.7
1.0000,2052,2052,25001.7
1.0000,2056,2056,24963.2
1.0000,2060,2060,24983.3
1.0000,2064,2064,25042.9
1.0000,2068,2068,25012.5
1.0000,2072,2072,25034.3
1.0000,2076,2076,24959.2
1.0000,2080,2080,25010.6
1.0000,2084,2084,24993.4
1.0000,2088,2088,25041.9
1.0000,2092,2092,25038.6
1.0000,2096,2096,25013.7
1.0000,2100,2100,25019.8
1.0000,2104,2104,25015.0
1.0000,2108,2108,24998.3
