an52,bn52,total_ns,ns_per_limb
104,5,18.638137,0.035842572
112,5,20.032993,0.035773201
120,5,21.592649,0.035987749
128,5,22.604347,0.035319293
136,5,23.912993,0.035166166
144,5,25.294979,0.035131915
152,5,26.712260,0.035147710
160,5,27.838852,0.034798566
168,5,29.150658,0.034703165
176,5,30.734605,0.034925688
184,5,32.195449,0.034995054
192,5,33.246243,0.034631503
200,5,34.852878,0.034852878
208,5,36.170320,0.034779154
216,5,37.521271,0.034741918
224,5,38.663744,0.034521200
232,5,39.926445,0.034419349
240,5,41.263481,0.034386234
248,5,42.891247,0.034589715
256,5,43.888368,0.034287787
264,5,44.917250,0.034028220
272,5,46.666371,0.034313508
280,5,47.963813,0.034259867
288,5,49.208776,0.034172761
296,5,50.193469,0.033914506
304,5,51.641295,0.033974536
312,5,53.204028,0.034105146
320,5,54.066663,0.033791664
328,5,55.690447,0.033957590
336,5,56.952812,0.033900483
344,5,58.213280,0.033844930
352,5,59.469285,0.033789366
360,5,60.753459,0.033751922
368,5,62.120970,0.033761397
376,5,63.641197,0.033851700
384,5,64.528866,0.033608784
392,5,65.905724,0.033625369
400,5,67.521396,0.033760698
8,6,3.136221,0.065337928
16,6,4.483980,0.046708130
24,6,6.471882,0.044943626
32,6,8.055147,0.041953888
40,6,9.526507,0.039693778
48,6,11.049697,0.038367005
56,6,12.584629,0.037454253
64,6,14.226033,0.037046960
72,6,15.930444,0.036876028
80,6,17.668845,0.036810095
88,6,19.474630,0.036883769
96,6,20.996432,0.036452139
104,6,22.372204,0.035852891
112,6,23.876218,0.035530086
120,6,25.455950,0.035355486
128,6,26.968211,0.035114858
136,6,28.474414,0.034895115
144,6,29.894150,0.034599711
152,6,31.458973,0.034494487
160,6,33.004818,0.034380019
168,6,34.708900,0.034433432
176,6,36.201425,0.034281653
184,6,37.932228,0.034358903
192,6,39.355621,0.034162866
200,6,41.083196,0.034235997
208,6,42.586725,0.034123978
216,6,44.124074,0.034046354
224,6,45.678695,0.033987124
232,6,47.260527,0.033951528
240,6,48.886572,0.033949009
248,6,50.539025,0.033964398
256,6,51.786372,0.033715086
264,6,53.369081,0.033692601
272,6,54.934479,0.033660833
280,6,56.392286,0.033566837
288,6,58.097526,0.033621253
296,6,59.522160,0.033514730
304,6,61.060608,0.033476210
312,6,62.804154,0.033549228
320,6,64.008627,0.033337827
328,6,65.730502,0.033399645
336,6,67.177240,0.033322044
344,6,68.789629,0.033328309
352,6,69.172221,0.032751998
360,6,73.424076,0.033992628
368,6,75.102443,0.034013788
376,6,76.713925,0.034004399
384,6,78.056967,0.033878892
392,6,79.859455,0.033953850
400,6,81.589925,0.033995802
8,7,3.578104,0.063894706
16,7,5.738541,0.051236972
24,7,7.563203,0.045019068
32,7,9.385670,0.041900313
40,7,11.002915,0.039296125
48,7,12.754450,0.037959672
56,7,14.646014,0.037362280
64,7,16.474647,0.036773767
72,7,18.366205,0.036440883
80,7,20.312033,0.036271487
88,7,22.332746,0.036254457
96,7,24.090861,0.035849495
104,7,25.773830,0.035403613
112,7,27.629941,0.035242272
120,7,29.332434,0.034919565
128,7,31.093346,0.034702395
136,7,32.943131,0.034604129
144,7,34.770474,0.034494518
152,7,36.561659,0.034362462
160,7,38.408592,0.034293386
168,7,41.000901,0.034864712
176,7,43.118405,0.034998705
184,7,45.155438,0.035058570
192,7,45.011106,0.033490406
200,7,46.993797,0.033566998
208,7,48.752291,0.033483717
216,7,50.625354,0.033482377
224,7,52.549212,0.033513528
232,7,54.318956,0.033447633
240,7,55.916704,0.033283752
248,7,58.074965,0.033453321
256,7,59.709387,0.033319970
264,7,61.461014,0.033258125
272,7,63.364562,0.033279707
280,7,65.117643,0.033223287
288,7,67.064579,0.033266160
296,7,68.675850,0.033144715
304,7,70.529068,0.033143359
312,7,72.420211,0.033159437
320,7,73.969932,0.033022291
328,7,76.100745,0.033144924
336,7,77.843361,0.033096667
344,7,79.607745,0.033059695
352,7,81.314692,0.033001092
360,7,83.236951,0.033030536
368,7,84.832063,0.032931701
376,7,86.784713,0.032972915
384,7,88.564713,0.032948182
392,7,90.513638,0.032986020
400,7,92.264657,0.032951663
8,8,3.717757,0.058089959
16,8,5.608607,0.043817239
24,8,7.501553,0.039070587
32,8,9.572234,0.037391539
40,8,11.361857,0.035505803
48,8,13.442581,0.035006720
56,8,15.377798,0.034325441
64,8,17.489105,0.034158409
72,8,19.491058,0.033838642
80,8,21.687782,0.033887159
88,8,23.921600,0.033979546
96,8,25.719495,0.033488926
104,8,27.598935,0.033171797
112,8,29.787708,0.033245210
120,8,31.589867,0.032906112
128,8,33.608468,0.032820769
136,8,35.669826,0.032784767
144,8,37.545281,0.032591389
152,8,39.549897,0.032524587
160,8,41.478241,0.032404876
168,8,43.495176,0.032362482
176,8,45.590698,0.032379757
184,8,47.655631,0.032374749
192,8,49.628323,0.032310106
200,8,51.717820,0.032323638
208,8,53.792330,0.032327121
216,8,62.088728,0.035930977
224,8,58.630804,0.032718083
232,8,62.017423,0.033414560
240,8,63.766993,0.033211976
248,8,65.834671,0.033182798
256,8,67.550418,0.032983603
264,8,69.599666,0.032954387
272,8,71.598041,0.032903511
280,8,73.475425,0.032801529
288,8,75.555329,0.032793112
296,8,77.587391,0.032764946
304,8,79.861049,0.032837602
312,8,81.690356,0.032728508
320,8,84.191616,0.032887350
328,8,85.798545,0.032697616
336,8,87.857005,0.032684898
344,8,89.855154,0.032650856
352,8,92.292312,0.032774259
360,8,94.286333,0.032738310
368,8,95.878738,0.032567506
376,8,98.334021,0.032690832
384,8,100.274139,0.032641321
392,8,102.077260,0.032550147
400,8,104.040386,0.032512621
