an,bn,ratio,gmp_ns,simd_ns,speedup
112,22,0.2000,720.7,158.8,4.5386
112,28,0.2500,941.5,190.8,4.9356
112,37,0.3333,1081.2,230.4,4.6919
112,45,0.4000,1223.7,276.2,4.4306
112,56,0.5000,1303.9,327.5,3.9811
112,73,0.6500,1562.2,461.8,3.3831
112,90,0.8000,2004.4,518.5,3.8658
112,112,1.0000,2112.8,591.9,3.5694
113,14,0.1250,465.5,121.2,3.8409
113,23,0.2000,761.0,164.2,4.6342
113,28,0.2500,932.4,192.6,4.8423
113,38,0.3333,1205.6,241.3,4.9960
113,45,0.4000,1267.7,276.5,4.5857
113,57,0.5000,1369.4,338.2,4.0494
113,73,0.6500,1569.8,471.6,3.3289
113,90,0.8000,2007.1,522.2,3.8437
113,113,1.0000,2143.4,609.7,3.5158
114,14,0.1250,470.1,121.5,3.8696
114,23,0.2000,767.1,167.4,4.5825
114,29,0.2500,990.6,194.4,5.0965
114,38,0.3333,1095.2,239.3,4.5764
114,46,0.4000,1276.5,281.5,4.5349
114,57,0.5000,1378.2,339.1,4.0643
114,74,0.6500,1602.9,503.1,3.1860
114,91,0.8000,2055.7,523.3,3.9281
114,114,1.0000,2176.6,619.1,3.5158
115,14,0.1250,472.7,121.8,3.8816
115,23,0.2000,772.1,168.0,4.5962
115,29,0.2500,996.2,197.1,5.0540
115,38,0.3333,1118.1,241.9,4.6220
115,46,0.4000,1288.7,283.0,4.5540
115,58,0.5000,1370.6,344.5,3.9787
115,75,0.6500,1637.6,485.7,3.3718
115,92,0.8000,2066.4,539.4,3.8310
115,115,1.0000,2227.7,622.6,3.5782
116,15,0.1250,511.4,128.5,3.9810
116,23,0.2000,780.5,168.8,4.6247
116,29,0.2500,993.3,198.0,5.0168
116,39,0.3333,1229.7,246.7,4.9839
116,46,0.4000,1320.0,284.4,4.6408
116,58,0.5000,1413.8,347.9,4.0640
116,75,0.6500,1689.6,488.0,3.4624
116,93,0.8000,2172.1,548.3,3.9612
116,116,1.0000,2269.8,631.9,3.5921
117,15,0.1250,515.4,128.2,4.0214
117,23,0.2000,787.9,168.9,4.6643
117,29,0.2500,1008.5,199.0,5.0666
117,39,0.3333,1164.8,247.8,4.7002
117,47,0.4000,1351.6,290.9,4.6453
117,59,0.5000,1468.5,355.2,4.1340
117,76,0.6500,1706.9,482.5,3.5378
117,94,0.8000,2159.0,538.3,4.0107
117,117,1.0000,2265.9,607.2,3.7315
118,15,0.1250,518.4,131.5,3.9439
118,24,0.2000,826.6,174.2,4.7457
118,30,0.2500,1014.3,205.3,4.9414
118,39,0.3333,1177.3,252.5,4.6618
118,47,0.4000,1350.7,295.9,4.5656
118,59,0.5000,1451.6,361.5,4.0155
118,77,0.6500,1689.7,502.6,3.3621
118,94,0.8000,2164.2,587.8,3.6820
118,118,1.0000,2304.4,640.3,3.5988
119,15,0.1250,523.5,131.1,3.9943
119,24,0.2000,835.5,175.7,4.7563
119,30,0.2500,1023.2,206.1,4.9639
119,40,0.3333,1280.7,263.2,4.8667
119,48,0.4000,1363.9,304.8,4.4747
119,60,0.5000,1466.4,364.2,4.0266
119,77,0.6500,1717.2,554.0,3.0996
119,95,0.8000,2193.5,582.0,3.7690
119,119,1.0000,2334.9,650.8,3.5877
120,15,0.1250,526.6,131.3,4.0108
120,24,0.2000,838.9,178.5,4.7011
120,30,0.2500,1021.4,209.4,4.8767
120,40,0.3333,1196.1,266.2,4.4930
120,48,0.4000,1376.5,306.5,4.4915
120,60,0.5000,1459.6,370.3,3.9421
120,78,0.6500,1746.3,516.3,3.3825
120,96,0.8000,2227.7,584.3,3.8125
120,120,1.0000,2336.3,656.3,3.5597
121,15,0.1250,532.0,130.7,4.0706
121,24,0.2000,848.5,179.4,4.7298
121,30,0.2500,1008.2,211.0,4.7778
121,40,0.3333,1215.4,265.0,4.5863
121,48,0.4000,1408.0,307.8,4.5743
121,61,0.5000,1518.1,377.5,4.0212
121,79,0.6500,1795.7,571.6,3.1418
121,97,0.8000,2049.2,617.0,3.3214
121,121,1.0000,2430.5,669.1,3.6328
122,15,0.1250,537.9,133.8,4.0216
122,24,0.2000,855.8,182.0,4.7018
122,31,0.2500,1055.5,222.7,4.7394
122,41,0.3333,1348.2,272.5,4.9482
122,49,0.4000,1422.2,316.3,4.4964
122,61,0.5000,1516.9,383.6,3.9547
122,79,0.6500,1812.9,564.8,3.2097
122,98,0.8000,2063.4,621.2,3.3216
122,122,1.0000,2444.9,679.1,3.6001
123,15,0.1250,542.4,134.8,4.0243
123,25,0.2000,899.2,187.3,4.8019
123,31,0.2500,1063.8,226.5,4.6961
123,41,0.3333,1273.3,274.8,4.6333
123,49,0.4000,1430.0,323.8,4.4171
123,62,0.5000,1534.5,394.1,3.8937
123,80,0.6500,1844.8,539.2,3.4211
123,98,0.8000,2072.2,620.5,3.3397
123,123,1.0000,2473.8,682.9,3.6226
124,16,0.1250,579.8,139.4,4.1599
124,25,0.2000,905.2,185.1,4.8902
124,31,0.2500,1057.0,222.5,4.7498
124,41,0.3333,1283.2,276.7,4.6374
124,50,0.4000,1452.3,325.4,4.4626
124,62,0.5000,1536.9,392.1,3.9197
124,81,0.6500,1870.2,588.1,3.1803
124,99,0.8000,2090.4,625.7,3.3406
124,124,1.0000,2532.6,693.3,3.6531
125,16,0.1250,583.3,141.4,4.1251
125,25,0.2000,911.4,189.7,4.8036
125,31,0.2500,1069.6,228.0,4.6908
125,42,0.3333,1446.9,283.4,5.1065
125,50,0.4000,1489.3,326.1,4.5678
125,63,0.5000,1591.2,397.2,4.0064
125,81,0.6500,1893.5,570.9,3.3169
125,100,0.8000,2181.4,623.1,3.5007
125,125,1.0000,2570.4,706.3,3.6394
126,16,0.1250,589.0,142.1,4.1440
126,25,0.2000,918.6,192.1,4.7809
126,32,0.2500,1089.4,233.0,4.6762
126,42,0.3333,1311.5,285.7,4.5898
126,50,0.4000,1494.6,331.7,4.5061
126,63,0.5000,1588.8,405.0,3.9232
126,82,0.6500,1903.4,581.4,3.2739
126,101,0.8000,2196.2,634.7,3.4604
126,126,1.0000,2582.4,721.8,3.5779
127,16,0.1250,592.9,142.9,4.1486
127,25,0.2000,924.8,192.4,4.8075
127,32,0.2500,1104.3,233.9,4.7222
127,42,0.3333,1339.6,286.9,4.6691
127,51,0.4000,1513.4,337.4,4.4861
127,64,0.5000,1627.4,410.4,3.9652
127,83,0.6500,1971.3,640.3,3.0787
127,102,0.8000,2219.2,681.7,3.2553
127,127,1.0000,2666.1,732.8,3.6380
128,16,0.1250,598.9,144.2,4.1539
128,26,0.2000,970.4,197.0,4.9254
128,32,0.2500,1106.0,235.4,4.6993
128,43,0.3333,1435.4,294.4,4.8757
128,51,0.4000,1518.5,339.3,4.4757
128,64,0.5000,1623.5,413.8,3.9233
128,83,0.6500,1982.5,593.6,3.3397
128,102,0.8000,2226.1,653.9,3.4046
128,128,1.0000,2685.2,734.3,3.6566
129,16,0.1250,603.8,144.5,4.1781
129,26,0.2000,977.6,197.9,4.9400
129,32,0.2500,1126.3,235.9,4.7737
129,43,0.3333,1396.1,295.0,4.7323
129,52,0.4000,1569.7,345.7,4.5403
129,65,0.5000,1662.3,419.4,3.9632
129,84,0.6500,2019.8,598.9,3.3724
129,103,0.8000,2273.0,632.2,3.5953
129,129,1.0000,2707.2,745.8,3.6298
130,16,0.1250,608.0,146.1,4.1605
130,26,0.2000,985.5,198.2,4.9721
