n,simple_ns,vtail_ns,mul_ns
8,7.020,7.092,2.800
9,6.902,6.205,5.589
10,5.845,6.630,6.039
11,6.175,9.374,6.639
12,6.855,7.033,7.294
13,7.618,7.046,8.465
14,7.132,11.010,9.224
15,12.808,7.904,10.051
16,11.338,13.075,10.437
17,11.907,12.091,11.918
18,12.522,12.723,13.090
19,13.148,13.389,13.732
20,13.783,13.990,14.837
21,14.462,14.620,16.068
22,15.022,15.018,17.266
23,16.282,15.811,18.421
24,21.997,21.956,19.293
25,22.401,22.189,20.953
26,23.207,23.119,22.541
27,24.289,24.179,23.653
28,25.194,24.982,25.369
29,25.950,25.880,26.811
30,26.734,26.659,28.614
31,27.814,27.661,30.064
32,35.785,32.537,31.472
33,36.773,36.635,33.636
34,38.190,37.907,35.910
35,39.209,39.231,37.225
36,40.429,40.519,39.454
37,41.433,41.529,41.200
38,42.636,42.575,43.567
39,43.789,43.844,45.294
40,54.067,50.962,47.355
41,55.015,55.064,49.613
42,56.505,56.380,52.392
43,57.847,58.033,54.079
44,59.354,59.417,57.048
45,60.671,60.689,59.146
46,61.881,62.019,61.966
47,63.418,63.428,64.038
48,75.861,70.585,66.553
49,77.026,77.000,69.195
50,78.991,78.696,72.433
51,80.264,80.421,74.408
52,81.869,81.954,77.957
53,83.255,83.447,80.303
54,85.025,84.958,83.847
55,86.441,86.429,86.330
56,101.223,94.157,89.283
57,102.619,102.421,92.272
58,104.599,104.539,95.994
59,106.626,106.183,98.205
60,108.418,108.564,102.342
61,109.625,109.764,104.967
62,111.626,111.841,109.087
63,113.575,113.414,111.920
64,130.217,123.446,115.371
65,133.022,132.253,118.823
66,134.934,134.462,123.227
67,137.138,136.502,125.548
68,138.945,139.615,130.291
69,145.276,141.276,132.942
70,147.200,143.720,137.826
71,144.504,146.008,140.790
72,162.879,155.486,145.047
73,165.602,166.368,148.762
74,168.257,169.199,153.894
75,169.949,171.518,156.453
76,172.969,173.510,161.531
77,173.771,175.114,164.594
78,176.665,177.939,170.110
79,178.818,179.913,178.777
80,199.629,189.802,182.822
81,202.575,203.943,182.291
82,205.131,206.935,187.656
83,207.575,209.093,190.427
84,210.102,210.721,196.285
85,211.647,214.727,199.788
86,213.643,217.287,205.915
87,217.125,219.755,209.363
88,239.602,230.433,215.279
89,242.030,244.613,218.910
90,245.079,247.505,225.411
91,248.254,250.128,228.114
92,250.773,252.224,234.938
93,254.156,253.793,238.078
94,256.531,257.763,245.800
95,260.783,259.605,249.147
96,285.068,278.646,254.872
97,286.887,287.984,259.780
98,290.033,291.545,266.646
99,293.154,293.970,269.317
100,295.409,296.619,276.251
101,298.491,297.993,280.875
102,301.425,302.690,288.042
103,303.999,303.968,292.520
104,330.915,324.583,298.903
105,337.596,335.598,304.155
106,338.842,341.500,311.400
107,342.138,343.666,315.554
108,344.460,346.812,322.887
109,347.363,348.587,329.014
110,351.049,353.681,336.610
111,354.072,355.752,339.590
112,382.834,376.916,346.268
113,387.783,387.966,351.475
114,391.643,393.222,359.277
115,393.987,395.691,362.468
116,396.641,399.184,370.932
117,398.822,411.484,375.597
118,402.238,415.624,384.302
119,418.015,406.966,389.698
120,437.378,440.845,396.355
121,440.429,442.416,402.396
122,444.278,446.099,411.096
123,448.713,448.713,415.028
124,452.050,453.938,423.924
125,454.309,454.915,428.953
126,457.665,461.650,437.784
127,462.036,464.224,443.063
128,495.366,486.775,451.842
