an52,bn52,variant,total_ns,ns_per_limb
87,1,generic,10.977860,0.126182304
87,1,special,7.121888,0.081860780
88,1,generic,11.659106,0.132489838
88,1,special,7.835587,0.089040761
89,1,generic,12.277725,0.137951965
89,1,special,9.232709,0.103738299
90,1,generic,11.273640,0.125262671
90,1,special,8.944333,0.099381479
91,1,generic,11.838861,0.130097377
91,1,special,9.137774,0.100415100
92,1,generic,11.947714,0.129866452
92,1,special,8.767593,0.095299923
93,1,generic,11.735554,0.126188757
93,1,special,8.653075,0.093043815
94,1,generic,11.166008,0.118787319
94,1,special,8.963086,0.095351980
95,1,generic,10.700499,0.112636827
95,1,special,8.921701,0.093912643
96,1,generic,11.318304,0.117899002
96,1,special,8.446596,0.087985378
97,1,generic,12.555058,0.129433585
97,1,special,11.116498,0.114603077
98,1,generic,12.219104,0.124684738
98,1,special,10.232554,0.104413812
99,1,generic,12.312389,0.124367568
99,1,special,10.527187,0.106335224
100,1,generic,12.355571,0.123555707
100,1,special,11.413118,0.114131184
8,2,generic,9.277864,0.579866522
8,2,special,3.066428,0.191651732
9,2,generic,5.319665,0.295536939
9,2,special,3.432996,0.190721999
10,2,generic,5.312112,0.265605612
10,2,special,5.209967,0.260498364
11,2,generic,8.908807,0.404945757
11,2,special,3.459773,0.157262386
12,2,generic,5.276713,0.219863025
12,2,special,4.683552,0.195148008
13,2,generic,5.362780,0.206260765
13,2,special,3.407814,0.131069771
14,2,generic,5.346107,0.190932406
14,2,special,3.461789,0.123635322
15,2,generic,5.336227,0.177874232
15,2,special,3.523966,0.117465536
16,2,generic,5.318014,0.166187940
16,2,special,3.485373,0.108917920
17,2,generic,7.403807,0.217759025
17,2,special,4.491113,0.132091563
18,2,generic,7.559998,0.209999941
18,2,special,4.370704,0.121408435
19,2,generic,7.511168,0.197662308
19,2,special,4.317694,0.113623525
20,2,generic,7.400522,0.185013061
20,2,special,4.316803,0.107920084
21,2,generic,7.578784,0.180447244
21,2,special,4.471240,0.106458099
22,2,generic,7.645907,0.173770619
22,2,special,4.459577,0.101354033
23,2,generic,7.579872,0.164779827
23,2,special,4.467999,0.097130423
24,2,generic,7.589295,0.158110322
24,2,special,4.351539,0.090657054
25,2,generic,6.859409,0.137188186
25,2,special,4.739909,0.094798176
26,2,generic,6.849229,0.131715939
26,2,special,4.737272,0.091101378
27,2,generic,6.888204,0.127559332
27,2,special,4.741244,0.087800817
28,2,generic,6.997852,0.124961640
28,2,special,4.737895,0.084605270
29,2,generic,6.861738,0.118305836
29,2,special,4.708388,0.081179108
30,2,generic,6.858521,0.114308687
30,2,special,4.711608,0.078526795
31,2,generic,6.760336,0.109037670
31,2,special,4.687345,0.075602344
32,2,generic,6.818192,0.106534256
32,2,special,4.679532,0.073117686
33,2,generic,8.929705,0.135298566
33,2,special,5.856210,0.088730457
34,2,generic,9.037079,0.132898219
34,2,special,5.130484,0.075448289
35,2,generic,9.036996,0.129099941
35,2,special,5.266404,0.075234349
36,2,generic,9.127911,0.126776548
36,2,special,5.249396,0.072908284
37,2,generic,9.053511,0.122344738
37,2,special,5.303998,0.071675649
38,2,generic,9.349452,0.123019108
38,2,special,5.228060,0.068790266
39,2,generic,9.017131,0.115604240
39,2,special,5.258902,0.067421824
40,2,generic,9.065192,0.113314897
40,2,special,5.265262,0.065815772
41,2,generic,8.608876,0.104986289
41,2,special,5.743987,0.070048617
42,2,generic,8.404116,0.100048996
42,2,special,5.738885,0.068320062
43,2,generic,8.593080,0.099919533
43,2,special,5.725581,0.066576518
