n,basecase_ns,toom22_ns,toom33_ns
8,10.40,45.34,104.50
9,6.68,38.85,87.06
10,7.07,40.60,104.07
11,7.50,41.33,89.53
12,8.16,41.84,90.93
13,8.92,41.65,107.16
14,9.85,42.68,95.37
15,10.66,54.28,101.47
16,11.05,47.82,94.35
17,12.03,44.47,100.60
18,13.07,52.80,104.17
19,13.67,53.22,110.97
20,15.16,51.52,116.25
21,16.14,54.84,119.18
22,17.31,54.96,129.25
23,18.40,56.02,121.21
24,19.18,54.11,128.96
25,20.74,57.39,114.80
26,22.47,58.89,125.52
27,23.48,61.23,119.01
28,25.34,60.69,133.41
29,26.85,85.15,135.22
30,28.35,85.91,137.24
31,29.88,89.32,140.34
32,31.28,77.91,145.42
33,33.35,59.82,131.18
34,35.56,69.92,139.04
35,36.89,70.43,129.63
36,39.32,71.13,141.81
37,40.83,75.91,151.00
38,43.15,76.90,140.44
39,44.97,77.40,153.19
40,46.94,76.08,152.51
41,49.39,82.06,143.63
42,52.05,83.87,157.15
43,53.58,86.94,154.24
44,56.73,87.18,156.13
45,58.80,87.43,156.90
46,61.93,88.24,171.68
47,63.95,90.42,172.39
48,66.45,85.81,174.58
49,69.21,87.69,181.02
50,72.22,98.06,177.87
51,74.21,97.86,178.19
52,77.99,98.83,180.13
53,80.16,106.45,180.41
54,83.56,107.21,183.92
55,86.05,110.32,184.62
56,89.17,109.86,174.80
57,91.74,112.49,189.90
58,95.75,115.67,183.99
59,97.82,119.86,183.94
60,102.23,119.93,198.13
61,104.44,134.72,204.86
62,108.35,136.13,207.62
63,111.09,139.16,223.15
64,114.91,131.44,212.86
65,118.16,121.65,214.92
66,122.78,137.69,206.48
67,124.88,143.38,205.41
68,129.84,145.75,219.06
69,132.72,146.48,209.25
70,137.16,149.60,237.18
71,140.47,153.93,225.33
72,144.19,155.25,234.76
73,148.02,161.98,251.59
74,152.97,163.24,232.86
75,155.47,163.70,250.87
76,161.13,165.18,252.09
77,164.26,168.44,254.03
78,169.52,170.61,242.80
79,172.74,175.15,258.57
