an,bn,ratio,gmp_ns,simd_ns,speedup
8,1,0.1250,3.5,19.8,0.1789
8,2,0.2000,6.2,21.2,0.2931
8,2,0.2500,6.2,21.2,0.2924
8,3,0.3333,8.7,22.0,0.3950
8,3,0.4000,8.7,22.1,0.3938
8,4,0.5000,11.3,22.8,0.4963
8,5,0.6500,14.0,18.8,0.7450
8,6,0.8000,16.6,23.9,0.6932
8,8,1.0000,22.1,25.7,0.8596
9,1,0.1250,3.6,20.1,0.1791
9,2,0.2000,6.6,21.3,0.3109
9,2,0.2500,6.6,21.1,0.3147
9,3,0.3333,9.3,20.2,0.4620
9,4,0.4000,12.2,17.9,0.6832
9,5,0.5000,15.3,23.9,0.6398
9,6,0.6500,18.3,23.9,0.7624
9,7,0.8000,21.2,25.4,0.8360
9,9,1.0000,27.3,24.9,1.0966
10,1,0.1250,4.0,20.1,0.2013
10,2,0.2000,7.1,19.6,0.3615
10,3,0.2500,10.2,17.1,0.5961
10,3,0.3333,10.3,17.2,0.5947
10,4,0.4000,13.7,22.8,0.5978
10,5,0.5000,16.8,23.8,0.7048
10,7,0.6500,23.6,25.3,0.9303
10,8,0.8000,26.9,25.9,1.0405
10,10,1.0000,33.6,26.9,1.2497
11,1,0.1250,4.4,18.8,0.2312
11,2,0.2000,7.7,16.4,0.4724
11,3,0.2500,11.2,22.4,0.5027
11,4,0.3333,14.8,22.9,0.6451
11,4,0.4000,14.9,22.9,0.6492
11,6,0.5000,22.1,23.8,0.9265
11,7,0.6500,25.6,25.5,1.0026
11,9,0.8000,32.8,26.5,1.2373
11,11,1.0000,40.1,27.7,1.4470
12,2,0.1250,8.2,21.7,0.3785
12,2,0.2000,8.2,21.8,0.3772
12,3,0.2500,11.9,22.3,0.5342
12,4,0.3333,15.8,23.0,0.6900
12,5,0.4000,19.7,23.8,0.8259
12,6,0.5000,23.7,23.8,0.9966
12,8,0.6500,31.6,25.9,1.2213
12,10,0.8000,39.5,27.3,1.4464
12,12,1.0000,47.3,28.5,1.6589
13,2,0.1250,8.6,21.7,0.3971
13,3,0.2000,12.7,22.1,0.5769
13,3,0.2500,12.7,22.1,0.5748
13,4,0.3333,17.0,22.5,0.7555
13,5,0.4000,21.2,23.5,0.9026
13,7,0.5000,29.4,25.9,1.1362
13,8,0.6500,33.7,26.0,1.2951
13,10,0.8000,42.1,27.2,1.5460
13,13,1.0000,54.5,28.1,1.9381
14,2,0.1250,9.2,22.7,0.4035
14,3,0.2000,13.7,23.5,0.5829
14,4,0.2500,18.1,24.2,0.7486
14,5,0.3333,22.8,22.0,1.0362
14,6,0.4000,27.1,25.5,1.0630
14,7,0.5000,31.5,28.2,1.1168
14,9,0.6500,40.4,28.6,1.4142
14,11,0.8000,49.4,27.3,1.8073
14,14,1.0000,62.8,32.3,1.9435
15,2,0.1250,9.7,22.5,0.4328
15,3,0.2000,14.5,23.4,0.6199
15,4,0.2500,19.3,22.0,0.8772
15,5,0.3333,24.2,25.1,0.9640
15,6,0.4000,29.0,25.2,1.1541
15,8,0.5000,38.5,28.0,1.3739
15,10,0.6500,48.0,27.6,1.7396
15,12,0.8000,57.5,29.8,1.9288
15,15,1.0000,71.9,32.8,2.1890
16,2,0.1250,10.2,22.5,0.4542
16,3,0.2000,15.3,21.2,0.7225
16,4,0.2500,20.3,25.1,0.8105
16,5,0.3333,25.5,25.1,1.0168
16,6,0.4000,30.6,25.2,1.2117
16,8,0.5000,40.6,28.3,1.4364
16,10,0.6500,50.7,27.4,1.8506
16,13,0.8000,65.9,30.8,2.1396
16,16,1.0000,81.0,32.6,2.4849
17,2,0.1250,10.6,20.6,0.5135
17,3,0.2000,15.9,23.7,0.6716
17,4,0.2500,21.3,25.0,0.8511
17,6,0.3333,32.1,25.2,1.2742
17,7,0.4000,37.3,28.0,1.3337
17,9,0.5000,48.1,27.2,1.7692
17,11,0.6500,58.8,30.9,1.9048
17,14,0.8000,74.8,33.0,2.2698
17,17,1.0000,91.0,35.7,2.5523
18,2,0.1250,11.4,22.7,0.5023
18,4,0.2000,22.7,25.1,0.9031
18,5,0.2500,28.2,25.3,1.1112
18,6,0.3333,33.8,25.4,1.3300
18,7,0.4000,39.4,26.6,1.4819
18,9,0.5000,50.9,30.1,1.6915
18,12,0.6500,67.7,33.1,2.0464
18,14,0.8000,79.1,31.2,2.5349
18,18,1.0000,101.6,38.4,2.6452
19,2,0.1250,11.9,22.4,0.5301
19,4,0.2000,23.7,24.6,0.9630
19,5,0.2500,29.7,25.1,1.1833
19,6,0.3333,35.7,24.0,1.4855
19,8,0.4000,47.5,28.9,1.6439
19,10,0.5000,59.4,31.3,1.8979
19,12,0.6500,71.2,32.9,2.1620
19,15,0.8000,88.9,34.6,2.5658
19,19,1.0000,112.6,38.4,2.9296
20,3,0.1250,18.6,24.7,0.7538
20,4,0.2000,24.9,25.4,0.9826
20,5,0.2500,31.2,25.2,1.2377
20,7,0.3333,43.6,30.8,1.4190
20,8,0.4000,49.8,30.9,1.6103
20,10,0.5000,62.2,31.9,1.9472
20,13,0.6500,80.8,33.6,2.4079
20,16,0.8000,99.5,37.1,2.6826
20,20,1.0000,124.3,42.7,2.9105
21,3,0.1250,19.5,25.0,0.7811
21,4,0.2000,26.0,25.2,1.0323
21,5,0.2500,32.5,24.8,1.3097
21,7,0.3333,45.6,30.8,1.4813
21,8,0.4000,52.3,31.1,1.6815
21,11,0.5000,71.8,30.9,2.3268
21,14,0.6500,91.2,37.0,2.4678
21,17,0.8000,110.7,38.3,2.8898
21,21,1.0000,136.8,44.6,3.0648
22,3,0.1250,20.4,22.5,0.9076
22,4,0.2000,27.2,23.1,1.1800
22,6,0.2500,40.6,28.2,1.4390
22,7,0.3333,47.7,30.7,1.5532
22,9,0.4000,61.1,31.6,1.9377
22,11,0.5000,74.8,34.3,2.1817
