n,ns_limb
128,5.5696
130,5.4610
132,5.6904
134,5.7715
136,5.8360
138,5.8879
140,6.0149
142,5.9907
144,6.1083
146,6.1528
148,6.2345
150,6.2490
152,6.3572
154,6.3742
156,6.2889
158,6.5370
160,6.6414
162,6.9101
164,6.9410
166,7.0028
168,6.9289
170,7.0857
172,7.1399
174,7.2473
176,7.1553
178,7.1780
180,7.1969
182,6.8685
184,7.2539
186,7.3600
188,7.3663
190,7.3488
192,7.4201
194,7.4195
196,7.4922
198,7.5062
200,7.5742
202,7.6110
204,7.6464
206,7.6865
208,7.3896
210,7.7750
212,7.8871
214,7.8561
216,7.9599
218,8.0117
220,8.0035
222,8.0786
224,8.0628
226,8.1641
228,8.2032
230,8.2153
232,8.2823
234,7.9879
236,8.3813
238,8.4811
240,8.4453
242,8.5423
244,8.5648
246,8.5826
248,8.6825
250,8.6133
252,8.7665
254,8.8096
256,8.8509
258,8.9035
260,8.5540
262,8.9654
264,9.0764
266,9.0447
268,9.1038
270,9.1715
272,9.1650
274,9.2167
276,9.2134
278,9.3939
280,9.3455
282,9.3629
284,9.3971
286,9.1366
288,9.4352
290,9.5443
292,9.5659
294,9.6142
296,9.6853
298,9.6993
300,9.7439
302,9.7682
304,9.8704
306,9.8738
308,9.9510
310,9.9957
312,9.7519
314,10.0024
316,10.1589
318,10.1650
320,10.2168
322,10.6036
324,10.2306
326,10.8180
328,10.6876
330,10.8077
332,10.8612
334,10.8387
336,10.8284
338,10.5481
340,10.8757
342,10.9460
344,10.9771
346,11.0653
348,11.0681
350,11.0072
352,11.1142
354,11.1157
356,11.2007
358,11.2270
360,11.1978
362,11.1463
364,10.6758
366,10.9847
368,11.1591
370,11.3312
372,11.4554
374,11.5153
376,11.5026
378,11.6266
380,11.6265
382,11.7384
384,11.5242
386,11.5779
388,11.5502
390,11.3740
392,11.6122
394,11.6491
396,11.6321
398,11.6403
400,11.7092
402,11.7059
404,11.7483
406,11.7302
408,11.8206
410,11.8455
412,11.8966
414,11.7824
416,11.4170
418,11.7663
420,11.9290
422,12.0661
424,12.1556
426,12.2332
428,12.1864
430,12.2875
432,12.2305
434,12.2544
436,12.3105
438,12.3640
440,12.3698
442,12.1638
444,12.4021
446,12.4887
448,12.5440
450,12.5381
452,12.5513
454,12.5574
456,12.7155
458,12.6886
460,12.7615
462,12.7425
464,12.7729
466,12.6753
468,12.3073
470,12.6577
472,12.7897
474,12.9575
476,13.0501
478,13.0960
480,13.0798
482,13.0781
484,13.0151
486,13.0612
488,13.1334
490,13.2747
492,13.2050
494,12.9833
496,13.2197
498,13.2512
500,13.2887
502,13.6198
504,13.5787
506,13.6609
508,13.8110
510,13.6328
512,13.7674
