ratio,an,bn,ns_call
1.0000,924,924,17306.5
1.0000,928,928,17156.8
1.0000,932,932,17115.6
1.0000,936,936,17399.3
1.0000,940,940,17760.7
1.0000,944,944,18175.4
1.0000,948,948,18556.9
1.0000,952,952,18788.0
1.0000,956,956,19021.6
1.0000,960,960,19093.7
1.0000,964,964,18964.7
1.0000,968,968,19153.6
1.0000,972,972,19337.0
1.0000,976,976,19436.2
1.0000,980,980,19609.0
1.0000,984,984,19565.7
1.0000,988,988,19752.9
1.0000,992,992,19955.9
1.0000,996,996,20063.8
1.0000,1000,1000,20167.9
1.0000,1004,1004,20184.1
1.0000,1008,1008,20303.5
1.0000,1012,1012,20145.7
1.0000,1016,1016,20326.8
1.0000,1020,1020,20496.9
1.0000,1024,1024,20545.7
1.0000,1028,1028,20739.2
1.0000,1032,1032,20831.7
1.0000,1036,1036,21224.5
1.0000,1040,1040,21086.7
1.0000,1044,1044,21425.9
1.0000,1048,1048,21662.7
1.0000,1052,1052,21454.1
1.0000,1056,1056,21607.6
1.0000,1060,1060,21660.0
1.0000,1064,1064,21901.6
1.0000,1068,1068,21982.6
1.0000,1072,1072,22024.6
1.0000,1076,1076,22371.9
1.0000,1080,1080,22211.0
1.0000,1084,1084,22142.8
1.0000,1088,1088,21987.3
1.0000,1092,1092,21820.0
1.0000,1096,1096,22087.1
1.0000,1100,1100,22434.8
1.0000,1104,1104,22930.4
1.0000,1108,1108,23315.9
1.0000,1112,1112,23573.1
1.0000,1116,1116,23459.4
1.0000,1120,1120,23591.7
1.0000,1124,1124,23822.8
1.0000,1128,1128,23643.3
1.0000,1132,1132,23926.1
1.0000,1136,1136,23897.9
1.0000,1140,1140,24013.0
1.0000,1144,1144,24382.7
1.0000,1148,1148,24619.5
1.0000,1152,1152,24495.9
1.0000,1156,1156,24568.4
1.0000,1160,1160,24897.6
1.0000,1164,1164,24775.6
1.0000,1168,1168,24819.1
1.0000,1172,1172,25021.8
1.0000,1176,1176,25220.9
1.0000,1180,1180,25326.6
1.0000,1184,1184,25475.0
1.0000,1188,1188,25584.4
1.0000,1192,1192,25842.9
1.0000,1196,1196,25845.6
1.0000,1200,1200,26166.0
1.0000,1204,1204,26262.0
1.0000,1208,1208,26365.0
1.0000,1212,1212,26587.8
1.0000,1216,1216,26595.4
1.0000,1220,1220,26665.1
1.0000,1224,1224,26671.2
1.0000,1228,1228,26875.7
1.0000,1232,1232,26743.9
1.0000,1236,1236,26776.3
1.0000,1240,1240,27082.5
1.0000,1244,1244,26841.3
1.0000,1248,1248,26598.0
1.0000,1252,1252,26966.9
1.0000,1256,1256,27237.9
1.0000,1260,1260,27852.7
1.0000,1264,1264,28170.9
1.0000,1268,1268,28433.2
1.0000,1272,1272,28651.0
1.0000,1276,1276,28540.5
1.0000,1280,1280,28721.7
1.0000,1284,1284,28711.6
1.0000,1288,1288,29231.0
1.0000,1292,1292,29225.5
1.0000,1296,1296,29177.3
1.0000,1300,1300,29484.9
1.0000,1304,1304,29316.7
1.0000,1308,1308,29744.1
1.0000,1312,1312,29578.3
1.0000,1316,1316,29721.1
1.0000,1320,1320,29884.1
1.0000,1324,1324,29645.4
1.0000,1328,1328,30160.9
1.0000,1332,1332,30242.7
1.0000,1336,1336,30653.5
1.0000,1340,1340,30687.8
1.0000,1344,1344,30832.4
1.0000,1348,1348,31147.5
1.0000,1352,1352,31186.4
1.0000,1356,1356,31439.0
1.0000,1360,1360,31564.1
1.0000,1364,1364,31431.9
1.0000,1368,1368,31724.6
1.0000,1372,1372,31749.6
1.0000,1376,1376,32121.8
1.0000,1380,1380,32142.8
1.0000,1384,1384,31960.5
1.0000,1388,1388,32284.1
1.0000,1392,1392,32488.5
1.0000,1396,1396,32305.6
1.0000,1400,1400,31950.2
1.0000,1404,1404,31824.7
1.0000,1408,1408,32470.2
1.0000,1412,1412,32779.7
1.0000,1416,1416,33072.5
1.0000,1420,1420,33655.4
1.0000,1424,1424,33806.7
1.0000,1428,1428,33883.9
1.0000,1432,1432,34016.6
1.0000,1436,1436,34275.9
1.0000,1440,1440,34108.3
1.0000,1444,1444,34467.0
1.0000,1448,1448,34421.7
1.0000,1452,1452,34580.6
1.0000,1456,1456,34942.6
1.0000,1460,1460,34902.7
1.0000,1464,1464,35330.7
1.0000,1468,1468,35231.1
1.0000,1472,1472,35362.8
1.0000,1476,1476,35543.9
1.0000,1480,1480,35435.9
1.0000,1484,1484,35815.3
1.0000,1488,1488,35772.0
1.0000,1492,1492,36134.9
1.0000,1496,1496,36446.0
1.0000,1500,1500,36785.1
1.0000,1504,1504,36791.6
1.0000,1508,1508,36972.8
1.0000,1512,1512,37015.1
1.0000,1516,1516,37050.0
1.0000,1520,1520,36881.8
1.0000,1524,1524,37275.6
1.0000,1528,1528,37142.9
1.0000,1532,1532,37422.9
1.0000,1536,1536,37737.6
1.0000,1540,1540,37702.6
1.0000,1544,1544,38195.7
1.0000,1548,1548,38118.8
1.0000,1552,1552,38383.2
1.0000,1556,1556,38242.0
1.0000,1560,1560,38564.3
1.0000,1564,1564,38656.4
1.0000,1568,1568,38915.6
1.0000,1572,1572,39468.1
1.0000,1576,1576,39350.1
1.0000,1580,1580,39590.2
1.0000,1584,1584,39652.0
1.0000,1588,1588,39589.6
1.0000,1592,1592,39695.1
1.0000,1596,1596,39826.1
1.0000,1600,1600,39867.1
1.0000,1604,1604,40041.0
1.0000,1608,1608,40003.8
1.0000,1612,1612,40180.2
1.0000,1616,1616,39934.0
1.0000,1620,1620,40065.8
1.0000,1624,1624,40115.8
1.0000,1628,1628,39908.4
1.0000,1632,1632,40001.2
1.0000,1636,1636,40173.3
1.0000,1640,1640,40566.9
1.0000,1644,1644,40518.7
1.0000,1648,1648,40981.6
1.0000,1652,1652,41180.9
1.0000,1656,1656,41839.7
1.0000,1660,1660,42316.6
1.0000,1664,1664,42339.6
1.0000,1668,1668,42547.0
1.0000,1672,1672,42392.6
1.0000,1676,1676,42514.8
1.0000,1680,1680,42962.2
1.0000,1684,1684,42784.4
1.0000,1688,1688,43305.7
1.0000,1692,1692,43187.3
1.0000,1696,1696,43173.4
1.0000,1700,1700,43622.8
1.0000,1704,1704,43605.1
1.0000,1708,1708,43622.4
1.0000,1712,1712,44104.6
1.0000,1716,1716,44144.6
1.0000,1720,1720,44444.9
1.0000,1724,1724,44536.4
1.0000,1728,1728,44656.5
1.0000,1732,1732,44809.2
1.0000,1736,1736,44812.3
1.0000,1740,1740,44861.2
1.0000,1744,1744,44494.3
1.0000,1748,1748,44817.3
1.0000,1752,1752,44869.3
1.0000,1756,1756,45388.9
1.0000,1760,1760,45552.9
1.0000,1764,1764,45445.7
1.0000,1768,1768,45824.4
1.0000,1772,1772,46211.7
1.0000,1776,1776,46163.7
1.0000,1780,1780,46827.4
1.0000,1784,1784,46431.0
1.0000,1788,1788,46583.6
1.0000,1792,1792,46584.4
1.0000,1796,1796,46831.9
1.0000,1800,1800,47139.7
1.0000,1804,1804,47117.4
1.0000,1808,1808,47393.1
1.0000,1812,1812,47609.9
1.0000,1816,1816,47714.7
1.0000,1820,1820,47880.8
1.0000,1824,1824,47486.6
1.0000,1828,1828,47830.5
1.0000,1832,1832,48208.6
1.0000,1836,1836,48572.2
1.0000,1840,1840,48648.4
1.0000,1844,1844,48522.5
1.0000,1848,1848,48853.5
1.0000,1852,1852,48458.2
1.0000,1856,1856,48349.3
1.0000,1860,1860,48106.1
1.0000,1864,1864,48311.5
1.0000,1868,1868,48115.7
1.0000,1872,1872,48419.5
1.0000,1876,1876,49139.0
1.0000,1880,1880,49016.5
1.0000,1884,1884,49473.8
1.0000,1888,1888,50325.0
1.0000,1892,1892,50924.0
1.0000,1896,1896,51018.6
1.0000,1900,1900,50861.4
1.0000,1904,1904,51608.5
1.0000,1908,1908,51297.8
1.0000,1912,1912,51668.9
1.0000,1916,1916,51998.5
1.0000,1920,1920,51310.7
1.0000,1924,1924,51723.4
1.0000,1928,1928,51634.8
1.0000,1932,1932,52080.2
1.0000,1936,1936,52233.9
1.0000,1940,1940,52111.1
1.0000,1944,1944,52927.4
1.0000,1948,1948,52296.7
1.0000,1952,1952,52904.2
1.0000,1956,1956,53227.3
1.0000,1960,1960,53548.6
1.0000,1964,1964,53597.0
1.0000,1968,1968,53675.9
1.0000,1972,1972,53539.5
1.0000,1976,1976,53790.1
1.0000,1980,1980,54450.9
1.0000,1984,1984,54093.1
1.0000,1988,1988,53890.4
1.0000,1992,1992,54296.4
1.0000,1996,1996,54610.0
1.0000,2000,2000,54308.8
1.0000,2004,2004,54940.2
1.0000,2008,2008,54441.0
1.0000,2012,2012,55062.3
1.0000,2016,2016,55200.3
1.0000,2020,2020,55629.3
1.0000,2024,2024,55802.3
1.0000,2028,2028,56044.5
1.0000,2032,2032,56433.4
1.0000,2036,2036,56089.4
1.0000,2040,2040,56648.8
1.0000,2044,2044,57239.7
1.0000,2048,2048,56819.4
1.0000,2052,2052,57235.5
1.0000,2056,2056,57138.4
1.0000,2060,2060,57386.3
1.0000,2064,2064,57503.0
1.0000,2068,2068,57693.6
1.0000,2072,2072,57585.7
1.0000,2076,2076,57742.6
1.0000,2080,2080,57673.6
1.0000,2084,2084,57974.6
1.0000,2088,2088,57720.7
1.0000,2092,2092,58049.3
1.0000,2096,2096,57459.6
1.0000,2100,2100,57528.5
1.0000,2104,2104,57456.3
1.0000,2108,2108,58668.4
1.0000,2112,2112,58483.5
1.0000,2116,2116,59030.9
1.0000,2120,2120,59202.3
1.0000,2124,2124,59619.9
1.0000,2128,2128,60287.9
1.0000,2132,2132,60330.0
1.0000,2136,2136,60742.1
1.0000,2140,2140,60532.2
1.0000,2144,2144,60510.1
1.0000,2148,2148,61269.6
1.0000,2152,2152,61168.2
1.0000,2156,2156,61159.6
1.0000,2160,2160,61097.3
1.0000,2164,2164,61694.2
1.0000,2168,2168,62210.5
1.0000,2172,2172,61875.1
1.0000,2176,2176,62091.3
1.0000,2180,2180,61925.8
1.0000,2184,2184,62403.8
1.0000,2188,2188,62688.9
1.0000,2192,2192,62652.1
1.0000,2196,2196,62793.1
1.0000,2200,2200,63079.9
1.0000,2204,2204,63275.6
1.0000,2208,2208,63402.5
1.0000,2212,2212,63003.4
1.0000,2216,2216,63268.1
1.0000,2220,2220,63447.1
1.0000,2224,2224,63886.2
1.0000,2228,2228,64230.7
1.0000,2232,2232,63964.0
1.0000,2236,2236,64701.2
1.0000,2240,2240,64842.6
1.0000,2244,2244,64799.7
1.0000,2248,2248,64867.5
1.0000,2252,2252,65400.2
1.0000,2256,2256,65110.5
1.0000,2260,2260,65297.2
1.0000,2264,2264,65978.0
1.0000,2268,2268,66021.7
1.0000,2272,2272,66515.1
1.0000,2276,2276,66344.9
1.0000,2280,2280,66279.5
1.0000,2284,2284,66712.0
1.0000,2288,2288,67262.3
1.0000,2292,2292,66971.4
1.0000,2296,2296,67743.1
1.0000,2300,2300,67047.9
1.0000,2304,2304,67963.0
1.0000,2308,2308,67729.9
1.0000,2312,2312,67988.5
1.0000,2316,2316,68059.2
1.0000,2320,2320,67786.9
1.0000,2324,2324,68109.1
1.0000,2328,2328,67440.9
1.0000,2332,2332,67597.4
1.0000,2336,2336,68047.4
1.0000,2340,2340,67790.3
1.0000,2344,2344,68527.8
1.0000,2348,2348,68813.1
1.0000,2352,2352,68946.8
1.0000,2356,2356,69501.2
1.0000,2360,2360,70381.8
1.0000,2364,2364,71341.0
1.0000,2368,2368,70621.2
1.0000,2372,2372,71275.6
1.0000,2376,2376,71498.2
1.0000,2380,2380,71604.4
1.0000,2384,2384,71380.6
1.0000,2388,2388,71343.7
1.0000,2392,2392,72201.9
1.0000,2396,2396,71867.7
1.0000,2400,2400,72313.6
1.0000,2404,2404,72459.5
1.0000,2408,2408,72087.2
1.0000,2412,2412,72699.8
1.0000,2416,2416,72209.5
1.0000,2420,2420,73323.1
1.0000,2424,2424,73718.8
1.0000,2428,2428,73396.5
1.0000,2432,2432,73813.9
1.0000,2436,2436,74250.0
1.0000,2440,2440,74316.8
1.0000,2444,2444,74192.1
1.0000,2448,2448,73866.2
1.0000,2452,2452,74598.6
1.0000,2456,2456,74092.5
1.0000,2460,2460,74776.1
1.0000,2464,2464,75157.8
1.0000,2468,2468,74922.5
1.0000,2472,2472,75454.9
1.0000,2476,2476,75248.6
1.0000,2480,2480,76403.4
1.0000,2484,2484,75878.8
1.0000,2488,2488,76336.8
1.0000,2492,2492,76832.6
1.0000,2496,2496,76600.8
1.0000,2500,2500,77432.2
1.0000,2504,2504,77282.9
1.0000,2508,2508,77055.4
1.0000,2512,2512,77392.7
1.0000,2516,2516,77516.1
1.0000,2520,2520,77427.0
