n,ns_limb
128,5.7462
130,5.3754
132,5.5972
134,5.6656
136,6.0785
138,6.0823
140,5.8876
142,5.9847
144,6.1080
146,6.1612
148,6.2373
150,6.2757
152,6.3700
154,6.3864
156,6.3028
158,6.7810
160,6.9693
162,6.9083
164,7.0043
166,6.9014
168,6.7942
170,6.9187
172,6.9981
174,7.0739
176,6.9651
178,7.0119
180,7.0798
182,6.7065
184,7.1078
186,7.2257
188,7.2031
190,7.1975
192,7.2552
194,7.2512
196,7.3297
198,7.3271
200,7.4197
202,7.4296
204,7.4658
206,7.5279
208,7.2116
210,7.5684
212,7.6704
214,7.6547
216,7.7769
218,7.8327
220,7.8272
222,7.8751
224,7.8507
226,7.9448
228,7.9966
230,8.0023
232,8.0867
234,7.7911
236,8.1669
238,8.3447
240,8.2347
242,8.3291
244,8.3868
246,8.4010
248,8.4817
250,8.4039
252,8.5553
254,8.6149
256,8.6679
258,8.7489
260,8.3796
262,8.7543
264,8.8331
266,8.8296
268,8.8550
270,8.9165
272,8.9286
274,8.9802
276,8.9793
278,9.1414
280,9.1027
282,9.1365
284,9.1718
286,8.8927
288,9.1922
290,9.3065
292,9.3265
294,9.3988
296,9.4718
298,9.4545
300,9.4917
302,9.5173
304,9.6210
306,9.6419
308,9.6843
310,9.6157
312,9.5102
314,9.9081
316,10.2328
318,10.4689
320,10.3917
322,10.4741
324,10.4049
326,10.6103
328,10.5241
330,10.5968
332,10.6668
334,10.6069
336,10.5919
338,10.3091
340,10.6071
342,10.6867
344,10.7263
346,10.7789
348,10.7894
350,10.7123
352,10.8439
354,10.8475
356,10.9193
358,10.9802
360,10.9806
362,10.8799
364,10.4348
366,10.6718
368,10.8703
370,11.0546
372,11.1299
374,11.1927
376,11.2342
378,11.3772
380,11.3445
382,11.5047
384,11.3461
386,11.3420
388,11.2943
390,11.1055
392,11.3756
394,11.4156
396,11.3975
398,11.4017
400,11.4654
402,11.4789
404,11.5587
406,11.5563
408,11.6083
410,11.6005
412,11.6563
414,11.5642
416,11.1038
418,11.5028
420,11.6551
422,11.8072
424,11.9251
426,12.0139
428,11.9676
430,12.0024
432,11.9679
434,11.9872
436,12.0960
438,12.1307
440,12.1475
442,11.9458
444,12.1479
446,12.2388
448,12.2798
450,12.2409
452,12.2665
454,12.2507
456,12.4268
458,12.4109
460,12.4690
462,12.4706
464,12.5443
466,12.3813
468,11.9974
470,12.4181
472,12.5314
474,12.6915
476,12.7578
478,12.8306
480,12.8088
482,12.8012
484,12.7627
486,12.8068
488,12.8651
490,13.0351
492,12.9431
494,12.7211
496,12.9257
498,12.9724
500,12.9965
502,13.3761
504,13.2819
506,13.3937
508,13.5043
510,13.3515
512,13.4554
