n,basecase_ns,toom22_ns,toom33_ns
230,1474.70,1072.77,1133.86
231,1485.17,1081.60,1137.62
232,1500.80,1109.55,1142.48
233,1511.22,1112.46,1145.88
234,1529.39,1118.69,1158.50
235,1531.89,1130.45,1130.47
236,1553.33,1119.89,1136.58
237,1558.43,1129.73,1170.24
238,1576.66,1122.86,1174.84
239,1586.94,1133.53,1177.02
240,1599.16,1156.76,1207.97
241,1612.36,1165.33,1219.07
242,1627.84,1167.16,1267.94
243,1635.86,1179.89,1235.21
244,1660.11,1179.20,1258.59
245,1668.12,1202.67,1241.73
246,1684.18,1207.16,1253.55
247,1695.33,1227.02,1278.51
248,1714.82,1211.69,1282.25
249,1727.31,1220.87,1281.44
250,1739.71,1228.49,1308.08
251,1747.11,1228.09,1312.08
252,1771.46,1224.22,1316.84
253,1778.88,1239.88,1321.42
254,1795.87,1253.84,1327.97
255,1807.05,1236.24,1331.84
256,1826.51,1232.69,1344.37
257,1838.08,1260.91,1352.95
258,1857.75,1279.26,1358.65
259,1861.46,1308.71,1361.07
260,1885.31,1322.10,1363.76
261,1892.03,1340.06,1360.60
262,1914.85,1351.48,1395.13
263,1927.11,1367.56,1394.04
264,1945.25,1363.38,1441.22
265,1951.79,1371.37,1396.83
266,1972.44,1375.50,1391.35
267,1979.07,1392.15,1399.00
268,1999.58,1378.63,1465.36
269,2008.73,1390.66,1462.87
270,2032.94,1401.70,1459.19
271,2040.88,1403.02,1427.76
272,2063.89,1426.76,1434.22
273,2078.27,1435.75,1458.05
274,2089.63,1439.21,1493.72
275,2099.35,1454.90,1506.45
276,2121.62,1446.83,1479.59
277,2131.92,1465.62,1498.75
278,2152.76,1473.78,1490.86
279,2162.35,1492.34,1477.96
280,2182.74,1492.78,1484.58
281,2197.94,1490.17,1491.57
282,2212.29,1502.87,1546.20
283,2220.19,1516.91,1452.24
284,2246.24,1509.37,1457.53
285,2255.15,1526.46,1463.34
286,2283.18,1534.77,1545.20
287,2300.91,1535.67,1512.29
288,2318.73,1546.60,1541.98
289,2339.99,1562.83,1588.26
290,2362.97,1580.77,1575.81
291,2362.20,1631.06,1623.27
292,2382.47,1624.14,1641.30
293,2383.77,1631.59,1637.32
294,2414.25,1639.82,1651.69
295,2425.49,1653.27,1653.47
296,2447.42,1665.10,1661.68
297,2458.34,1667.05,1680.45
298,2475.34,1672.25,1695.83
299,2486.48,1687.94,1722.51
300,2517.06,1680.57,1713.18
301,2526.63,1695.62,1664.25
302,2552.35,1708.99,1708.97
303,2559.25,1714.92,1714.51
304,2577.39,1731.41,1739.78
305,2591.24,1736.10,1754.11
306,2608.87,1744.45,1761.56
307,2623.24,1764.31,1755.20
308,2643.24,1761.67,1725.54
309,2650.11,1775.11,1765.49
310,2678.89,1784.42,1818.35
311,2689.96,1797.59,1825.13
312,2713.05,1798.12,1851.45
313,2726.01,1800.53,1842.54
314,2739.45,1812.39,1838.50
315,2753.01,1837.05,1844.22
316,2779.89,1829.77,1844.12
317,2795.84,1846.52,1839.47
318,2820.54,1858.38,1870.17
319,2828.75,1848.48,1887.21
320,2858.46,1849.79,1855.94
321,2866.54,1866.78,1910.40
322,2887.92,1884.43,1939.42
323,2897.70,1919.26,1933.27
324,2923.55,1939.60,1937.44
325,2952.96,1955.18,1941.99
326,2968.96,1956.83,1908.70
327,2981.80,1966.56,1943.95
328,2999.37,1973.35,1958.43
329,3014.34,1993.03,1895.45
330,3031.86,1991.05,1965.45
331,3041.40,2013.58,1883.39
332,3068.14,1992.68,1929.86
333,3079.30,2016.39,1935.87
334,3105.18,2029.16,1915.47
335,3124.93,2043.44,1959.33
336,3142.51,2064.43,1967.24
337,3162.35,2087.35,2032.58
338,3185.01,2088.09,2023.18
339,3193.03,2114.34,1989.43
340,3226.59,2094.59,2034.51
341,3239.81,2123.31,2049.67
342,3264.02,2138.57,2080.81
343,3291.57,2164.49,2037.52
344,3300.31,2166.93,2092.73
345,3321.66,2174.16,2055.41
346,3337.04,2191.27,2135.41
347,3348.88,2209.93,2192.97
348,3381.19,2198.73,2131.20
349,3392.12,2236.92,2080.45
350,3421.48,2248.56,2112.07
351,3443.58,2205.20,2122.43
352,3454.06,2223.11,2175.89
353,3466.80,2242.40,2161.63
354,3492.80,2274.83,2130.87
355,3500.48,2300.15,2120.50
356,3532.77,2310.75,2127.59
357,3535.30,2320.69,2173.86
358,3570.80,2341.44,2231.32
359,3582.32,2347.94,2193.88
360,3620.50,2361.46,2184.54
361,3633.49,2345.51,2231.13
362,3657.26,2367.59,2190.26
363,3663.01,2361.01,2225.33
364,3699.95,2353.94,2254.99
365,3710.31,2388.15,2243.25
366,3744.71,2383.89,2256.66
367,3759.22,2416.29,2276.06
368,3780.86,2410.36,2244.90
