an52,bn52,total_ns,ns_per_limb
104,5,18.057445,0.034725856
112,5,19.495438,0.034813283
120,5,20.677042,0.034461737
128,5,21.880620,0.034188469
136,5,23.881947,0.035120510
144,5,24.630832,0.034209488
152,5,25.871456,0.034041389
160,5,27.043063,0.033803829
168,5,28.429176,0.033844257
176,5,29.789196,0.033851360
184,5,31.027003,0.033725003
192,5,32.286835,0.033632120
200,5,33.577705,0.033577705
208,5,34.993254,0.033647359
216,5,36.321429,0.033630952
224,5,37.366973,0.033363369
232,5,38.727463,0.033385744
240,5,40.085617,0.033404681
248,5,41.421647,0.033404554
256,5,42.572151,0.033259493
264,5,44.157707,0.033452808
272,5,45.407157,0.033387616
280,5,47.105939,0.033647100
288,5,47.820002,0.033208335
296,5,49.262648,0.033285573
304,5,50.465575,0.033201036
312,5,51.820519,0.033218282
320,5,52.988189,0.033117618
328,5,54.396087,0.033168346
336,5,55.988763,0.033326645
344,5,57.422420,0.033385128
352,5,58.195240,0.033065477
360,5,59.550417,0.033083565
368,5,60.877736,0.033085726
376,5,62.281312,0.033128358
384,5,63.354441,0.032997105
392,5,64.883104,0.033103625
400,5,66.126255,0.033063128
8,6,3.066035,0.063875727
16,6,4.449463,0.046348578
24,6,5.978854,0.041519818
32,6,7.481286,0.038965031
40,6,9.071907,0.037799611
48,6,10.586117,0.036757352
56,6,12.083833,0.035963788
64,6,13.652905,0.035554441
72,6,15.229456,0.035253370
80,6,16.770001,0.034937501
88,6,18.227897,0.034522533
96,6,19.746269,0.034281717
104,6,21.270791,0.034087806
112,6,22.857890,0.034014718
120,6,24.348885,0.033817896
128,6,25.969892,0.033814964
136,6,27.400772,0.033579378
144,6,28.919895,0.033472100
152,6,30.474750,0.033415296
160,6,32.037878,0.033372789
168,6,33.597879,0.033331229
176,6,35.177411,0.033311943
184,6,36.613986,0.033164842
192,6,38.263349,0.033214713
200,6,39.695749,0.033079791
208,6,41.707417,0.033419404
216,6,43.366722,0.033461977
224,6,46.001700,0.034227456
232,6,47.193015,0.033903028
240,6,47.574058,0.033037540
248,6,50.328955,0.033823223
256,6,52.050593,0.033887105
264,6,53.854722,0.033999193
272,6,55.203759,0.033825833
280,6,56.895852,0.033866579
288,6,58.568411,0.033893756
296,6,59.973479,0.033768851
304,6,61.630598,0.033788705
312,6,62.901597,0.033601280
320,6,64.815476,0.033758061
328,6,66.549003,0.033815550
336,6,67.992391,0.033726385
344,6,69.478264,0.033661950
352,6,71.323106,0.033770410
360,6,72.707631,0.033660940
368,6,73.740198,0.033396829
376,6,75.674712,0.033543756
384,6,77.513691,0.033643095
392,6,79.065420,0.033616250
400,6,80.435170,0.033514654
8,7,3.530840,0.063050722
16,7,5.235472,0.046745284
24,7,7.612541,0.045312745
32,7,9.470521,0.042279111
40,7,11.300920,0.040360427
48,7,12.658187,0.037673174
56,7,14.473626,0.036922514
64,7,16.412352,0.036634715
72,7,18.146891,0.036005737
80,7,19.498928,0.034819514
88,7,21.195064,0.034407571
96,7,23.066121,0.034324585
104,7,24.901071,0.034204767
112,7,26.717067,0.034077892
120,7,28.455329,0.033875391
128,7,30.361863,0.033886008
136,7,32.281250,0.033908876
144,7,33.810709,0.033542370
152,7,35.628452,0.033485388
160,7,37.397092,0.033390261
168,7,39.239609,0.033367015
176,7,41.146258,0.033397937
184,7,42.846190,0.033265676
192,7,44.670848,0.033237238
200,7,46.391274,0.033136624
208,7,48.308395,0.033178842
216,7,50.336554,0.033291372
224,7,52.087344,0.033218969
232,7,54.166378,0.033353681
240,7,55.938450,0.033296697
248,7,57.341571,0.033030859
256,7,59.176926,0.033022838
264,7,61.036804,0.033028574
272,7,62.641345,0.032899866
280,7,64.396091,0.032855148
288,7,66.357949,0.032915649
296,7,67.992391,0.032814861
304,7,69.964905,0.032878245
312,7,71.692015,0.032826014
320,7,73.374193,0.032756336
328,7,75.374774,0.032828734
336,7,77.094905,0.032778446
344,7,78.854455,0.032746867
352,7,80.598260,0.032710333
360,7,82.483262,0.032731453
368,7,84.247557,0.032704797
376,7,87.345234,0.033185879
384,7,87.621411,0.032597251
392,7,89.450625,0.032598624
400,7,91.362700,0.032629536
8,8,3.575758,0.055871219
