n,simple_ns,vtail_ns,mul_ns
8,7.720,6.815,2.806
9,6.407,15.462,5.536
10,5.622,16.269,5.981
11,5.803,9.625,6.622
12,7.655,7.035,7.296
13,7.246,7.052,8.207
14,6.799,10.882,9.011
15,9.611,7.673,9.815
16,11.357,12.395,10.254
17,11.849,21.159,11.849
18,12.433,22.238,13.002
19,13.175,13.419,13.767
20,13.884,14.006,14.886
21,14.678,14.660,16.069
22,15.214,15.117,17.269
23,15.971,15.844,18.407
24,21.969,22.023,19.320
25,22.273,28.159,20.921
26,23.106,30.205,22.529
27,24.370,24.316,23.719
28,25.201,25.192,25.459
29,25.955,25.891,26.933
30,26.742,26.737,28.737
31,27.749,27.749,30.187
32,35.923,32.574,31.717
33,36.802,39.748,33.520
34,38.186,42.111,35.947
35,39.241,39.300,37.284
36,40.471,40.727,39.515
37,41.528,41.524,41.326
38,42.713,42.391,43.703
39,43.908,43.888,45.368
40,54.044,49.400,47.419
41,55.119,54.698,49.638
42,56.635,57.996,52.541
43,57.850,57.917,54.155
44,59.624,59.365,57.013
45,60.611,60.967,59.669
46,61.853,62.271,62.568
47,63.599,63.547,64.406
48,75.940,71.722,66.942
49,77.067,76.993,69.348
50,79.143,80.015,72.644
51,80.475,80.440,74.524
52,82.085,82.062,77.966
53,83.457,83.435,81.817
54,85.018,85.160,85.529
55,86.673,86.503,87.596
56,101.245,94.215,90.854
57,102.862,104.162,92.333
58,104.838,107.005,96.150
59,106.557,106.716,98.347
60,108.715,108.612,102.562
61,110.184,110.069,104.982
62,111.969,111.751,109.183
63,113.709,113.495,112.281
64,130.194,122.096,115.920
65,133.172,129.329,118.775
66,135.164,133.694,123.477
67,137.363,136.753,125.745
68,139.312,140.288,130.418
69,145.290,142.099,133.078
70,147.657,144.048,137.738
71,145.155,145.983,141.339
72,163.499,155.290,145.073
73,166.070,161.220,148.918
74,168.371,166.189,153.995
75,170.497,171.229,156.649
76,173.326,173.867,161.778
77,174.070,175.241,164.913
78,176.896,178.273,170.434
79,179.549,179.954,179.303
80,199.821,190.300,183.502
81,202.929,197.058,182.265
82,205.459,202.861,187.871
83,208.190,208.818,190.935
84,210.528,211.738,197.150
85,212.064,213.073,200.066
86,214.484,215.646,206.582
87,217.827,218.246,210.106
88,240.142,230.344,215.251
89,242.697,237.070,219.258
90,245.700,242.741,225.540
91,249.038,249.439,228.503
92,251.405,250.887,235.427
93,253.647,254.138,238.850
94,256.605,258.560,245.500
95,261.183,260.005,249.466
96,285.487,278.691,255.318
97,286.338,282.072,259.406
98,290.809,288.172,266.977
99,292.559,294.331,269.986
100,295.872,297.002,276.814
101,298.222,299.101,281.038
102,302.011,303.668,287.929
103,304.702,304.744,292.864
104,331.475,320.970,299.290
105,337.694,326.877,304.853
106,338.556,336.066,311.495
107,342.144,342.782,315.070
108,344.850,346.168,322.039
109,347.511,347.647,327.529
110,351.097,353.043,334.922
111,354.391,354.906,340.013
112,381.404,370.450,346.449
113,386.410,379.435,351.443
114,390.110,388.875,358.662
115,394.987,394.921,363.482
116,396.614,397.952,371.809
117,398.958,412.267,375.720
118,402.487,415.818,385.389
119,418.832,407.064,389.170
120,437.450,436.582,396.599
121,441.223,433.181,404.594
122,445.781,440.882,412.311
123,449.361,450.331,416.841
124,452.676,454.756,426.178
125,455.568,456.336,429.814
126,459.488,462.290,438.723
127,463.406,465.642,443.720
128,495.928,482.622,451.614
