n,nt,p30,p50,ntsqr
808562,31.6915,31.6236,40.4609,23.4403
844360,31.1707,31.6373,40.0422,23.3265
881743,31.0124,31.0377,39.1415,22.9534
920781,31.1814,31.2746,39.5920,23.3065
961548,30.9807,30.8109,38.5356,22.8904
1004119,30.6423,30.5776,38.2562,22.7774
1048576,30.3765,30.1940,37.3948,22.3704
1095000,34.7493,34.4929,37.3204,26.0877
1143480,34.6185,34.2446,36.8789,25.7601
1194106,33.9818,33.8786,36.3623,26.0985
1246974,34.0687,34.0144,35.8940,25.3169
1302182,33.5306,33.6455,36.1163,25.0259
1359834,34.0750,34.0116,35.6569,25.5732
1420039,33.7820,33.6981,34.9012,25.2894
1482910,33.5077,33.5368,49.8494,25.0765
1548564,33.3843,33.0765,48.1882,24.9226
1617125,33.6461,33.5980,46.7335,24.9115
1688721,33.1618,32.9921,45.9242,24.5041
1763487,33.0127,32.8568,44.8950,24.3353
1841563,33.0595,32.9753,44.1643,24.5620
1923096,32.4869,32.8121,43.1211,24.2239
2008239,32.4405,32.3721,42.5940,24.0407
