n,add_ns,gmp_add_ns,sub_ns,gmp_sub_ns,add_ns_per_limb,gmp_add_ns_per_limb,sub_ns_per_limb,gmp_sub_ns_per_limb,reps
108,15.595430833,21.588092454,15.037233564,21.537548341,0.144402137342,0.199889744948,0.139233644113,0.199421743895,11111
109,15.509990917,21.691874716,15.039578794,21.549836601,0.142293494655,0.199008024920,0.137977787105,0.197704922948,11009
110,15.588817599,22.097983501,14.974518790,22.133131757,0.141716523623,0.200890759103,0.136131989001,0.201210288703,10909
111,15.588735781,22.109467456,15.064250716,22.189569077,0.140439061090,0.199184391492,0.135713970419,0.199906027722,10810
112,15.130073715,22.406754361,14.767780474,22.397201493,0.135089943881,0.200060306798,0.131855182805,0.199975013326,10714
113,15.287597702,22.513032841,14.836344815,22.547645951,0.135288475241,0.199230379123,0.131295086855,0.199536689832,10619
114,15.381526486,22.903256432,14.975876152,22.787939221,0.134925670927,0.200905758177,0.131367334663,0.199894203695,10526
115,15.517442975,22.980162913,14.987829420,22.870210728,0.134934286738,0.199827503594,0.130328951480,0.198871397635,10434
116,16.427784755,23.168438346,15.867459397,23.202976996,0.141618834096,0.199727916772,0.136788443075,0.200025663758,10344
117,16.465678627,23.299805068,15.943453251,23.350911395,0.140732295959,0.199143633062,0.136268831209,0.199580439272,10256
118,16.444979841,23.589952812,15.859769889,23.634299754,0.139364235938,0.199914854336,0.134404829567,0.200290675884,10169
119,16.446449821,23.774078478,15.910767400,23.686527213,0.138205460685,0.199782172084,0.133703927734,0.199046447170,10084
120,16.054389122,23.975507348,15.741555067,23.983613110,0.133786576018,0.199795894565,0.131179625558,0.199863442579,10000
121,16.472034667,24.114694618,15.930867681,24.051098569,0.136132517909,0.199294996843,0.131660063481,0.198769409660,9917
122,16.580707461,24.402114251,16.086010573,24.336245429,0.135907438204,0.200017329925,0.131852545684,0.199477421547,9836
123,16.737241238,24.498104702,16.158364084,24.469425382,0.136075132016,0.199171582946,0.131368813688,0.198938417736,9756
124,17.675134242,24.679235537,17.061163343,24.711363636,0.142541405178,0.199026093042,0.137590026962,0.199285190616,9677
125,17.692724055,24.937239800,17.002187500,24.790235270,0.141541792443,0.199497918401,0.136017500000,0.198321882157,9600
126,17.765848027,25.158673523,16.962624672,25.220193115,0.140998793864,0.199672012087,0.134624005333,0.200160262818,9523
127,17.712063492,25.445385267,17.031428571,25.265072985,0.139465066867,0.200357364305,0.134105736783,0.198937582559,9448
128,17.006931855,25.596822350,16.443164854,25.483582090,0.132866655114,0.199975174611,0.128462225421,0.199090485075,9375
129,17.196839389,25.585124678,16.662653193,25.622246104,0.133308832476,0.198334299826,0.129167854208,0.198622062824,9302
130,17.376882245,26.040407323,16.790425647,26.085732843,0.133668324959,0.200310825563,0.129157120363,0.200659483405,9230
131,17.562991266,26.237092021,17.003928844,26.027598996,0.134068635621,0.200283145195,0.129800983544,0.198683961805,9160
132,18.428005720,26.253847845,17.849967026,26.340594059,0.139606103939,0.198892786706,0.135227022922,0.199549954995,9090
133,18.422177911,26.449628727,17.867339022,26.642912557,0.138512615870,0.198869388922,0.134340894906,0.200322650803,9022
134,18.435476669,26.628166499,17.775879397,26.639437563,0.137578184096,0.198717660442,0.132655816395,0.198801772857,8955
135,18.142423220,26.854974705,17.577100439,26.533273381,0.134388320146,0.198925738555,0.130200743990,0.196542765787,8888
