n,scalar_cycles_per_limb,auto_cycles_per_limb,hand_cycles_per_limb,auto_speedup,hand_speedup,hand_vs_auto
93,4.222874,1.184934,1.705462,3.563805,2.476088,0.694788
94,4.212216,1.180301,1.747982,3.568765,2.409759,0.675236
95,4.215422,1.233782,1.792840,3.416667,2.351254,0.688172
96,4.236213,1.292279,0.738051,3.278094,5.739726,1.750934
97,4.236009,1.277614,0.729934,3.315562,5.803279,1.750315
98,4.228547,1.265060,0.722892,3.342566,5.849490,1.750000
99,4.243348,1.253695,0.716925,3.384672,5.918814,1.748711
100,4.262963,1.243519,0.709259,3.428146,6.010444,1.753264
101,4.242758,1.233040,0.704987,3.440892,6.018205,1.749025
102,4.246324,1.226103,0.711397,3.463268,5.968992,1.723514
103,4.267543,1.243394,0.729999,3.432172,5.845960,1.703283
104,4.258506,1.329512,0.737796,3.203060,5.771930,1.802005
105,4.271978,1.318681,0.760073,3.239583,5.620482,1.734940
106,4.266418,1.306665,0.825165,3.265120,5.170379,1.583519
107,4.270167,1.296729,0.941650,3.293030,4.534770,1.377081
108,4.274074,1.283333,1.020370,3.330447,4.188748,1.257713
109,4.287156,1.274312,1.059633,3.364291,4.045887,1.202597
110,4.276106,1.263206,1.083538,3.385120,3.946429,1.165816
111,4.277120,1.276379,1.118104,3.350979,3.825331,1.141556
112,4.298557,1.363136,1.127385,3.153432,3.812856,1.209113
113,4.295723,1.350479,1.171645,3.180887,3.666404,1.152636
114,4.292068,1.340808,1.206449,3.201106,3.557604,1.111367
115,4.299755,1.329149,1.238212,3.234969,3.472552,1.073442
116,4.320813,1.319889,1.256158,3.273618,3.439706,1.050735
117,4.302198,1.311355,1.297619,3.280726,3.315455,1.010586
118,4.319270,1.301584,1.317244,3.318471,3.279021,0.988112
119,4.318154,1.329090,1.354115,3.248954,3.188912,0.981520
120,4.328125,1.394301,1.372243,3.104153,3.154052,1.016075
121,4.333292,1.381214,1.408042,3.137307,3.077530,0.980946
122,4.317959,1.370810,1.429533,3.149933,3.020539,0.958922
123,4.326497,1.361789,1.466186,3.177069,2.950851,0.928796
124,4.331928,1.352639,1.491019,3.202575,2.905347,0.907191
125,4.337538,1.340308,1.512000,3.236226,2.868742,0.886447
126,4.325092,1.331502,1.542125,3.248281,2.804632,0.863420
127,4.324865,1.344427,1.559424,3.216884,2.773373,0.862130
128,4.346924,1.418152,0.768127,3.065203,5.659118,1.846246
129,4.348468,1.408269,0.763197,3.087811,5.697703,1.845224
130,4.337912,1.399267,0.756410,3.100131,5.734867,1.849879
131,4.346528,1.388820,0.752586,3.129654,5.775460,1.845399
132,4.385997,1.383798,0.748717,3.169536,5.858017,1.848225
133,4.345803,1.366326,0.741403,3.180650,5.861596,1.842893
134,4.341816,1.357047,0.735870,3.199459,5.900249,1.844140
135,4.358333,1.374074,0.732407,3.171833,5.950695,1.876106
136,4.355699,1.440257,0.731618,3.024250,5.953518,1.968593
137,4.363788,1.432636,0.755289,3.045984,5.777641,1.896806
138,4.362564,1.424097,0.771923,3.063389,5.651551,1.844869
139,4.370504,1.414041,0.950757,3.090789,4.596869,1.487280
140,4.374384,1.403941,0.984606,3.115789,4.442777,1.425891
141,4.379127,1.395818,1.025312,3.137319,4.271020,1.361360
142,4.368977,1.387139,1.027613,3.149633,4.251578,1.349865
143,4.367869,1.406883,1.069194,3.104644,4.085198,1.315835
144,4.383371,1.460193,1.080729,3.001911,4.055938,1.351119
145,4.383621,1.453818,1.120382,3.015248,3.912613,1.297609
146,4.378364,1.442025,1.136558,3.036260,3.852300,1.268765
147,4.380334,1.432282,1.174397,3.058290,3.729858,1.219589
148,4.394042,1.424447,1.173833,3.084735,3.743328,1.213501
149,4.378262,1.417785,1.219239,3.088100,3.590979,1.162844
150,4.589815,1.822222,1.340741,2.518801,3.423343,1.359116
151,7.720751,2.471486,2.179912,3.123930,3.541772,1.133755
152,7.702023,2.603029,2.212016,2.958870,3.481902,1.176768
153,7.702553,2.568442,2.280799,2.998920,3.377129,1.126115
154,4.399657,1.464715,1.320448,3.003764,3.331942,1.109255
155,4.393921,1.452543,1.335298,3.024984,3.290592,1.087805
156,4.397189,1.442308,1.352626,3.048718,3.250854,1.066302
157,4.404091,1.434958,1.380757,3.069142,3.189621,1.039255
158,4.395011,1.426843,1.405436,3.080235,3.127152,1.015232
159,4.398816,1.423418,1.428968,3.090318,3.078317,0.996117
160,4.412684,1.498162,0.794118,2.945399,5.556713,1.886574
161,4.418944,1.485093,0.789130,2.975533,5.599764,1.881936
162,4.405556,1.476852,0.785185,2.983072,5.610849,1.880896
163,4.414417,1.469632,0.781288,3.003757,5.650177,1.881037
164,4.427576,1.469948,0.778372,3.012063,5.688249,1.888489
165,4.413729,1.451763,0.770872,3.040256,5.725632,1.883273
166,4.404659,1.446705,0.768072,3.044614,5.734694,1.883553
167,4.414029,1.486619,0.763473,2.969174,5.781513,1.947179
168,4.415923,1.509487,0.758929,2.925447,5.818627,1.988971
169,4.424001,1.503328,0.757212,2.942804,5.842491,1.985348
170,4.422794,1.497243,0.760110,2.953959,5.818622,1.969770
171,4.427025,1.488429,0.944382,2.974295,4.687747,1.576087
172,4.430047,1.479775,0.974146,2.993730,4.547619,1.519048
173,4.429344,1.469376,0.999877,3.014438,4.429889,1.469557
174,4.421313,1.462766,1.769076,3.022571,2.499222,0.826853
175,7.732919,2.550000,1.808385,3.032517,4.276146,1.410098
176,7.771430,2.668911,1.824975,2.911836,4.258376,1.462437
177,4.434414,1.515291,1.076824,2.926444,4.118050,1.407186
178,4.427821,1.508610,1.091842,2.935033,4.055369,1.381711
179,4.432961,1.499069,1.119181,2.957143,3.960899,1.339434
180,4.443519,1.501852,1.135185,2.958693,3.914356,1.323002
181,4.430018,1.485267,1.156538,2.982641,3.830414,1.284236
182,4.427656,1.477106,1.168498,2.997520,3.789185,1.264107
183,4.434613,1.482861,1.187593,2.990578,3.734118,1.248627
184,4.435524,1.535017,1.205225,2.889559,3.680246,1.273636
185,4.441953,1.525799,1.231880,2.911232,3.605834,1.238594
186,4.444648,1.524010,1.250916,2.916416,3.553114,1.218315
187,4.444410,1.514737,1.266634,2.934113,3.508837,1.195876
188,4.446747,1.503897,1.279379,2.956817,3.475707,1.175489
189,4.447213,1.499631,1.301218,2.965538,3.417730,1.152482
190,4.441248,1.490820,1.321909,2.979064,3.359722,1.127778
191,4.448392,1.484667,1.338818,2.996222,3.322626,1.108939
192,4.450335,1.544829,0.810082,2.880795,5.493685,1.907003
193,4.449482,1.534049,0.806810,2.900483,5.514908,1.901376
194,4.444035,1.528903,0.803571,2.906683,5.530355,1.902635
195,4.449634,1.522894,0.800366,2.921828,5.559497,1.902746
196,4.460241,1.513813,0.797038,2.946363,5.596019,1.899297
197,4.448743,1.512628,0.792064,2.941068,5.616647,1.909730
198,4.447524,1.498522,0.788064,2.967941,5.643611,1.901524
199,4.452752,1.521326,0.784103,2.926888,5.678781,1.940211
200,4.455000,1.557187,0.780937,2.860927,5.704682,1.993998
201,4.459888,1.550373,0.777985,2.876655,5.732614,1.992806
202,4.455446,1.543626,0.774134,2.886350,5.755396,1.994005
203,4.459360,1.537869,0.922722,2.899700,4.832833,1.666667
204,4.465993,1.533088,0.964154,2.913070,4.632031,1.590086
205,4.472795,1.525328,0.984053,2.932349,4.545281,1.550048
206,4.456684,1.516057,0.994212,2.939655,4.482629,1.524883
207,4.460238,1.520810,1.020067,2.932804,4.372495,1.490893
208,4.542345,1.630917,1.119638,2.785147,4.056978,1.456647
209,4.654950,1.712367,1.155686,2.718431,4.027866,1.481688
210,4.749084,1.750000,1.233516,2.713762,3.850037,1.418708
211,4.709716,1.863308,1.091606,2.527610,4.314482,1.706941
212,4.483615,1.789350,1.093905,2.505723,4.098723,1.635745
213,4.466271,1.537250,1.117494,2.905365,3.996683,1.375622
214,4.463847,1.526377,1.133485,2.924471,3.938161,1.346623
215,4.487148,1.548654,1.144737,2.897451,3.919808,1.352847
216,4.469782,1.574700,1.158971,2.838498,3.856680,1.358704
217,4.474405,1.568377,1.180720,2.852889,3.789557,1.328323
218,4.469688,1.562113,1.198549,2.861310,3.729247,1.303336
219,4.471492,1.556831,1.216216,2.872176,3.676560,1.280061
220,4.483415,1.551597,1.230037,2.889549,3.644944,1.261423
221,4.484224,1.544576,1.240981,2.903207,3.613452,1.244642
222,4.476351,1.541854,1.260323,2.903226,3.551750,1.223380
223,4.476831,1.535874,1.278961,2.914842,3.500365,1.200877
224,4.486607,1.608073,0.824033,2.790052,5.444695,1.951467
225,4.480556,1.575926,0.817593,2.843126,5.480181,1.927520
226,4.479167,1.569875,0.814897,2.853200,5.496606,1.926471
