an,bn,ratio,gmp_ns,simd_ns,speedup
8,1,0.1250,3.7,20.3,0.1803
8,2,0.2000,6.1,21.1,0.2911
8,2,0.2500,6.1,21.0,0.2891
8,3,0.3333,8.6,21.7,0.3990
8,3,0.4000,8.6,21.7,0.3971
8,4,0.5000,11.3,22.7,0.4998
8,5,0.6500,14.0,18.6,0.7541
8,6,0.8000,16.8,23.8,0.7039
8,8,1.0000,22.0,25.6,0.8600
9,1,0.1250,3.7,20.1,0.1837
9,2,0.2000,6.6,21.3,0.3084
9,2,0.2500,6.5,21.2,0.3064
9,3,0.3333,9.3,20.3,0.4578
9,4,0.4000,12.2,17.5,0.6961
9,5,0.5000,15.2,23.9,0.6361
9,6,0.6500,18.3,23.8,0.7674
9,7,0.8000,21.2,25.5,0.8307
9,9,1.0000,27.3,24.9,1.0945
10,1,0.1250,4.1,20.1,0.2023
10,2,0.2000,7.1,19.6,0.3646
10,3,0.2500,10.3,16.8,0.6163
10,3,0.3333,10.4,16.8,0.6153
10,4,0.4000,13.6,23.2,0.5872
10,5,0.5000,16.9,23.8,0.7105
10,7,0.6500,23.6,25.6,0.9225
10,8,0.8000,27.1,25.9,1.0443
10,10,1.0000,33.8,26.9,1.2537
11,1,0.1250,4.3,18.8,0.2312
11,2,0.2000,7.7,16.3,0.4750
11,3,0.2500,11.2,22.7,0.4936
11,4,0.3333,14.8,23.4,0.6321
11,4,0.4000,14.8,23.3,0.6329
11,6,0.5000,22.1,23.8,0.9300
11,7,0.6500,25.8,25.7,1.0024
11,9,0.8000,32.9,26.6,1.2397
11,11,1.0000,40.3,27.6,1.4589
12,2,0.1250,8.2,21.8,0.3772
12,2,0.2000,8.2,21.8,0.3781
12,3,0.2500,12.2,22.6,0.5385
12,4,0.3333,15.9,23.2,0.6873
12,5,0.4000,19.8,23.8,0.8312
12,6,0.5000,23.8,23.8,1.0022
12,8,0.6500,31.6,26.0,1.2144
12,10,0.8000,39.4,27.1,1.4532
12,12,1.0000,47.2,28.5,1.6587
13,2,0.1250,8.7,21.7,0.4004
13,3,0.2000,12.7,22.3,0.5700
13,3,0.2500,12.8,22.4,0.5693
13,4,0.3333,16.9,22.9,0.7381
13,5,0.4000,21.2,23.6,0.9010
13,7,0.5000,29.5,25.9,1.1404
13,8,0.6500,33.7,26.0,1.2977
13,10,0.8000,42.1,27.3,1.5435
13,13,1.0000,54.6,27.9,1.9574
14,2,0.1250,9.1,23.1,0.3944
14,3,0.2000,13.6,23.7,0.5733
14,4,0.2500,18.2,24.3,0.7486
14,5,0.3333,22.5,22.0,1.0222
14,6,0.4000,27.0,25.5,1.0594
14,7,0.5000,31.6,27.9,1.1333
14,9,0.6500,40.5,28.4,1.4293
14,11,0.8000,49.4,27.5,1.7989
14,14,1.0000,62.8,32.5,1.9325
15,2,0.1250,9.8,22.7,0.4293
15,3,0.2000,14.5,23.6,0.6125
15,4,0.2500,19.3,22.2,0.8683
15,5,0.3333,23.9,25.3,0.9476
15,6,0.4000,28.8,25.3,1.1377
15,8,0.5000,38.4,27.9,1.3765
15,10,0.6500,48.0,27.7,1.7348
15,12,0.8000,57.6,29.6,1.9436
15,15,1.0000,72.1,32.8,2.2003
16,2,0.1250,10.3,22.7,0.4517
16,3,0.2000,15.4,21.4,0.7189
16,4,0.2500,20.4,24.0,0.8483
16,5,0.3333,25.6,25.1,1.0200
16,6,0.4000,30.6,25.1,1.2211
16,8,0.5000,40.8,28.2,1.4467
16,10,0.6500,51.0,27.1,1.8797
16,13,0.8000,66.5,30.7,2.1619
16,16,1.0000,82.0,32.7,2.5041
