n,ns_limb
2048,16.3758
2138,16.4905
2233,16.3087
2332,15.9860
2435,15.9595
2543,16.0922
2655,16.0652
2773,15.8538
2896,19.3813
3024,19.2225
3158,18.9463
3298,18.6000
3444,18.5152
3596,18.3273
3756,18.0929
3922,17.8775
4096,17.7025
4277,17.7405
4466,17.5016
4664,17.3930
4870,17.2239
5086,17.1964
5311,17.0872
5547,16.8597
5792,20.1712
6049,19.9201
6316,19.6772
6596,19.3055
6888,19.1107
7193,18.9683
7512,18.6983
7844,18.5041
8192,18.2165
8554,18.6726
8933,18.5666
9328,18.2834
9741,18.3054
10173,17.6353
10623,17.4351
11094,17.3010
11585,20.0450
12098,19.8480
12633,19.5553
13193,19.4143
13777,19.1171
14387,19.1967
15024,18.9638
15689,18.8460
16384,18.5338
17109,18.6208
17866,18.3920
18657,18.2085
19483,18.0590
20346,18.1401
21247,17.9624
22188,17.8194
23170,22.1627
24196,21.7538
25267,21.4281
26386,21.2702
27554,21.0254
28774,20.8470
30048,20.5497
31378,20.4241
32768,20.1904
34218,20.1950
35733,19.9255
37315,19.8172
38967,19.5340
40693,19.3717
42494,19.2491
44376,19.0557
46340,22.3512
48392,22.0558
50535,21.7077
52772,21.5998
55108,21.2349
57548,21.1185
60096,20.9404
62757,20.6666
65536,20.5124
68437,21.0688
71467,20.7383
74631,20.6579
77935,20.4171
81386,20.4657
84989,20.3004
88752,20.3058
92681,27.1674
96785,26.7018
101070,26.2569
105545,26.3729
110217,26.3321
115097,26.4152
120193,26.0026
125514,25.8842
131072,25.6247
136875,25.5663
142935,25.8570
149263,25.5005
155871,25.2411
162772,25.3312
169979,25.0382
177504,24.9168
185363,35.7642
193570,35.1488
202140,34.4523
211090,34.1275
220435,33.7306
230195,32.7720
240387,32.8602
251029,32.0442
262144,31.5830
273750,31.9384
285870,31.4453
298526,31.0897
311743,30.3544
325545,30.5428
339958,30.2547
355009,29.7706
370727,38.3926
387141,37.6118
404281,36.3493
422180,35.8276
440871,35.3941
460390,35.2649
480774,34.9578
502059,34.5952
524288,33.9832
547500,33.6784
571740,33.1702
597053,33.4174
623487,32.8488
651091,32.6176
679917,32.1828
710019,31.1463
741455,41.4811
774282,40.5869
808562,40.0484
844360,39.6933
881743,39.0503
920781,39.2448
961548,38.3463
1004119,37.7669
1048576,37.4706
1095000,37.6943
1143480,36.7908
1194106,36.2935
1246974,35.8628
1302182,35.6791
1359834,35.4284
1420039,35.0495
1482910,49.2031
1548564,48.3363
1617125,46.7487
1688721,46.0504
1763487,45.3700
1841563,44.0582
1923096,43.2505
2008239,42.8370
