an,bn,ratio,gmp_ns,simd_ns,speedup
89,30,0.3333,892.6,168.0,5.3119
89,36,0.4000,933.6,195.3,4.7808
89,45,0.5000,991.6,228.4,4.3426
89,58,0.6500,1037.6,281.6,3.6844
89,71,0.8000,1303.1,333.1,3.9123
89,89,1.0000,1455.4,416.1,3.4975
90,11,0.1250,289.5,90.3,3.2045
90,18,0.2000,478.1,121.1,3.9491
90,23,0.2500,610.4,141.9,4.3009
90,30,0.3333,764.1,173.9,4.3950
90,36,0.4000,939.3,196.2,4.7871
90,45,0.5000,1001.0,230.3,4.3469
90,59,0.6500,1068.2,280.9,3.8031
90,72,0.8000,1319.5,332.7,3.9660
90,90,1.0000,1467.5,421.4,3.4826
91,11,0.1250,296.4,90.8,3.2656
91,18,0.2000,481.5,120.9,3.9813
91,23,0.2500,615.1,141.6,4.3440
91,30,0.3333,749.8,174.7,4.2912
91,36,0.4000,941.4,196.5,4.7914
91,46,0.5000,1014.6,234.5,4.3263
91,59,0.6500,1100.1,287.5,3.8263
91,73,0.8000,1493.2,346.0,4.3153
91,91,1.0000,1492.9,415.6,3.5924
92,12,0.1250,327.2,92.8,3.5268
92,18,0.2000,487.6,118.8,4.1050
92,23,0.2500,621.6,144.6,4.2994
92,31,0.3333,908.9,173.1,5.2494
92,37,0.4000,958.1,197.3,4.8571
92,46,0.5000,1023.8,240.2,4.2617
92,60,0.6500,1108.9,299.3,3.7053
92,74,0.8000,1489.2,356.0,4.1831
92,92,1.0000,1510.9,443.7,3.4048
93,12,0.1250,330.7,95.6,3.4598
93,19,0.2000,520.8,124.1,4.1954
93,23,0.2500,629.0,144.0,4.3667
93,31,0.3333,790.2,181.7,4.3500
93,37,0.4000,1006.1,199.7,5.0384
93,47,0.5000,1074.5,245.1,4.3845
93,60,0.6500,1141.1,300.4,3.7989
93,74,0.8000,1408.3,357.8,3.9365
93,93,1.0000,1548.2,449.3,3.4457
94,12,0.1250,334.1,95.6,3.4957
94,19,0.2000,525.1,130.0,4.0401
94,24,0.2500,661.0,151.1,4.3754
94,31,0.3333,793.7,182.8,4.3430
94,38,0.4000,1017.9,211.0,4.8237
94,47,0.5000,1085.0,248.1,4.3737
94,61,0.6500,1156.3,303.6,3.8086
94,75,0.8000,1424.3,361.6,3.9393
94,94,1.0000,1593.3,451.4,3.5299
95,12,0.1250,338.9,96.0,3.5312
95,19,0.2000,533.2,131.2,4.0650
95,24,0.2500,670.0,151.3,4.4282
95,32,0.3333,969.6,186.2,5.2071
95,38,0.4000,1022.2,210.8,4.8487
95,48,0.5000,1096.0,248.9,4.4038
95,62,0.6500,1166.8,315.1,3.7031
95,76,0.8000,1450.4,372.8,3.8903
95,95,1.0000,1608.5,460.8,3.4905
96,12,0.1250,340.2,97.6,3.4868
96,19,0.2000,537.2,131.9,4.0727
96,24,0.2500,676.5,152.8,4.4258
96,32,0.3333,827.8,189.1,4.3768
96,38,0.4000,1014.6,213.4,4.7550
96,48,0.5000,1093.6,258.9,4.2233
96,62,0.6500,1184.4,318.9,3.7141
96,77,0.8000,1586.6,381.8,4.1562
96,96,1.0000,1638.8,470.6,3.4821
97,12,0.1250,344.9,97.7,3.5317
97,19,0.2000,540.8,127.5,4.2417
97,24,0.2500,681.4,153.3,4.4454
97,32,0.3333,845.9,189.2,4.4702
97,39,0.4000,1078.9,213.8,5.0452
97,49,0.5000,1150.2,263.1,4.3715
97,63,0.6500,1233.6,324.6,3.7997
97,78,0.8000,1638.7,382.6,4.2826
97,97,1.0000,1658.7,473.2,3.5051
98,12,0.1250,349.0,97.3,3.5877
98,20,0.2000,576.8,140.1,4.1161
98,25,0.2500,719.8,151.9,4.7399
98,33,0.3333,1031.5,197.4,5.2243
98,39,0.4000,1081.5,219.8,4.9214
98,49,0.5000,1160.8,265.1,4.3793
98,64,0.6500,1247.4,325.0,3.8385
98,78,0.8000,1532.1,391.6,3.9128
98,98,1.0000,1672.1,484.7,3.4500
99,12,0.1250,352.6,104.8,3.3635
99,20,0.2000,583.5,141.4,4.1277
99,25,0.2500,726.6,160.0,4.5401
99,33,0.3333,877.5,198.5,4.4217
99,40,0.4000,1088.0,231.1,4.7089
99,50,0.5000,1171.2,266.2,4.3991
99,64,0.6500,1278.2,334.9,3.8171
99,79,0.8000,1561.3,403.8,3.8664
99,99,1.0000,1688.9,488.6,3.4564
100,13,0.1250,384.3,109.3,3.5147
100,20,0.2000,588.4,141.4,4.1611
100,25,0.2500,734.1,162.1,4.5292
100,33,0.3333,880.4,205.5,4.2850
100,40,0.4000,1096.5,233.7,4.6920
100,50,0.5000,1183.2,277.7,4.2603
100,65,0.6500,1308.6,342.0,3.8260
100,80,0.8000,1591.6,411.8,3.8646
100,100,1.0000,1771.5,500.6,3.5387
101,13,0.1250,387.4,110.6,3.5045
101,20,0.2000,594.1,142.1,4.1794
101,25,0.2500,741.1,163.5,4.5342
101,34,0.3333,1099.0,204.9,5.3637
101,40,0.4000,1140.4,233.7,4.8793
101,51,0.5000,1231.5,281.0,4.3820
101,66,0.6500,1299.0,351.1,3.6995
101,81,0.8000,1646.9,412.2,3.9957
101,101,1.0000,1787.9,511.0,3.4991
102,13,0.1250,391.5,109.9,3.5618
102,20,0.2000,598.3,142.5,4.1977
102,26,0.2500,777.1,166.6,4.6652
102,34,0.3333,904.1,205.3,4.4046
102,41,0.4000,1152.8,233.7,4.9332
102,51,0.5000,1239.0,284.5,4.3554
102,66,0.6500,1332.3,349.2,3.8158
102,82,0.8000,1666.6,459.9,3.6239
102,102,1.0000,1777.6,512.0,3.4718
103,13,0.1250,396.7,111.0,3.5738
103,21,0.2000,635.1,148.3,4.2833
103,26,0.2500,786.4,168.2,4.6747
103,34,0.3333,919.1,212.4,4.3279
103,41,0.4000,1156.4,241.7,4.7850
103,52,0.5000,1252.2,288.3,4.3436
103,67,0.6500,1372.0,359.8,3.8135
103,82,0.8000,1677.0,463.5,3.6177
103,103,1.0000,1825.3,519.8,3.5113
104,13,0.1250,398.5,106.0,3.7599
104,21,0.2000,641.2,148.0,4.3316
104,26,0.2500,791.2,164.2,4.8196
104,35,0.3333,1108.1,214.8,5.1580
104,42,0.4000,1167.8,246.9,4.7301
104,52,0.5000,1263.2,284.4,4.4416
104,68,0.6500,1400.9,367.3,3.8138
104,83,0.8000,1724.0,454.0,3.7970
104,104,1.0000,1836.4,515.2,3.5645
105,13,0.1250,403.7,111.7,3.6158
105,21,0.2000,648.6,150.9,4.2971
105,26,0.2500,799.9,171.7,4.6597
105,35,0.3333,963.5,219.1,4.3982
105,42,0.4000,1200.9,251.1,4.7822
105,53,0.5000,1293.8,304.2,4.2527
105,68,0.6500,1409.3,373.2,3.7760
105,84,0.8000,1754.8,476.9,3.6797
105,105,1.0000,1862.6,539.6,3.4518
106,13,0.1250,406.6,111.4,3.6512
106,21,0.2000,653.3,152.4,4.2854
106,27,0.2500,837.6,185.8,4.5072
106,35,0.3333,969.2,221.2,4.3806
106,42,0.4000,1205.6,251.0,4.8040
106,53,0.5000,1305.9,304.5,4.2885
106,69,0.6500,1422.8,371.3,3.8316
106,85,0.8000,1812.6,515.5,3.5164
106,106,1.0000,1916.3,548.4,3.4944
107,13,0.1250,410.9,115.7,3.5503
107,21,0.2000,656.5,152.4,4.3083
107,27,0.2500,841.4,187.1,4.4970
107,36,0.3333,1172.4,219.5,5.3420
107,43,0.4000,1231.4,258.1,4.7715
107,54,0.5000,1341.7,310.7,4.3179
107,70,0.6500,1444.8,389.0,3.7142
107,86,0.8000,1832.1,497.2,3.6847
107,107,1.0000,1938.8,552.0,3.5124
108,14,0.1250,446.5,122.8,3.6352
108,22,0.2000,697.0,155.6,4.4783
108,27,0.2500,852.3,187.6,4.5441
108,36,0.3333,1011.3,227.2,4.4520
108,43,0.4000,1224.6,257.8,4.7504
108,54,0.5000,1328.3,306.2,4.3383
108,70,0.6500,1438.0,391.0,3.6772
108,86,0.8000,1831.5,515.7,3.5514
108,108,1.0000,1971.2,559.4,3.5235
109,14,0.1250,447.4,117.4,3.8097
109,22,0.2000,700.9,163.6,4.2837
109,27,0.2500,859.3,182.8,4.6997
109,36,0.3333,1023.8,234.8,4.3605
109,44,0.4000,1206.3,270.5,4.4601
109,55,0.5000,1301.8,320.4,4.0626
109,71,0.6500,1511.7,400.5,3.7743
109,87,0.8000,1900.0,529.9,3.5859
109,109,1.0000,2044.7,569.3,3.5917
110,14,0.1250,451.5,125.8,3.5883
110,22,0.2000,707.0,163.0,4.3378
110,28,0.2500,900.9,196.4,4.5866
110,37,0.3333,1150.9,235.6,4.8854
110,44,0.4000,1213.9,273.1,4.4454
110,55,0.5000,1312.7,325.0,4.0390
110,72,0.6500,1532.0,402.2,3.8093
110,88,0.8000,1930.3,510.9,3.7779
110,110,1.0000,2045.8,572.8,3.5719
111,14,0.1250,455.3,121.7,3.7404
111,22,0.2000,714.7,166.1,4.3035
111,28,0.2500,905.5,197.9,4.5750
111,37,0.3333,1074.2,236.5,4.5419
111,44,0.4000,1216.1,267.3,4.5502
111,56,0.5000,1325.7,328.8,4.0322
111,72,0.6500,1560.1,412.4,3.7825
111,89,0.8000,1983.6,541.0,3.6667
111,111,1.0000,2080.8,597.3,3.4837
112,14,0.1250,462.1,122.9,3.7588
112,22,0.2000,722.4,165.8,4.3562
112,28,0.2500,906.2,200.3,4.5236
112,37,0.3333,1079.3,237.6,4.5427
112,45,0.4000,1228.0,281.2,4.3668
112,56,0.5000,1293.4,332.9,3.8855
112,73,0.6500,1545.6,419.5,3.6847
112,90,0.8000,1998.5,525.2,3.8052
112,112,1.0000,2107.2,607.6,3.4680
113,14,0.1250,466.0,122.9,3.7923
113,23,0.2000,763.2,165.3,4.6174
113,28,0.2500,948.8,202.4,4.6874
113,38,0.3333,1204.0,246.7,4.8800
113,45,0.4000,1265.4,283.6,4.4612
113,57,0.5000,1372.0,345.8,3.9676
113,73,0.6500,1568.0,424.2,3.6969
113,90,0.8000,2004.6,533.5,3.7577
113,113,1.0000,2143.5,622.9,3.4414
114,14,0.1250,469.6,123.1,3.8144
114,23,0.2000,767.4,173.6,4.4202
114,29,0.2500,1012.3,201.0,5.0361
114,38,0.3333,1106.9,252.1,4.3900
114,46,0.4000,1283.9,289.5,4.4343
114,57,0.5000,1388.4,345.7,4.0166
114,74,0.6500,1596.2,423.1,3.7728
114,91,0.8000,2060.8,558.6,3.6890
114,114,1.0000,2167.6,633.5,3.4215
115,14,0.1250,472.1,123.4,3.8251
115,23,0.2000,773.1,173.9,4.4458
115,29,0.2500,1022.1,209.0,4.8903
115,38,0.3333,1120.9,254.1,4.4113
115,46,0.4000,1281.4,292.2,4.3852
115,58,0.5000,1366.5,352.5,3.8768
115,75,0.6500,1653.9,442.5,3.7379
