n,basecase_ns,toom22_ns,toom33_ns
230,1451.95,1054.40,1118.52
231,1462.78,1061.45,1120.35
232,1478.84,1086.19,1128.42
233,1486.41,1090.18,1129.88
234,1504.23,1095.58,1139.18
235,1510.91,1103.28,1117.96
236,1527.05,1096.48,1125.99
237,1534.35,1107.24,1153.65
238,1557.87,1100.44,1160.75
239,1566.30,1110.94,1166.54
240,1582.74,1136.20,1189.00
241,1591.19,1154.57,1204.44
242,1608.40,1154.29,1229.80
243,1615.01,1161.13,1218.89
244,1631.64,1157.61,1229.56
245,1643.91,1177.54,1227.84
246,1660.97,1187.49,1237.16
247,1672.72,1209.35,1250.86
248,1688.37,1195.30,1273.36
249,1698.15,1213.79,1257.41
250,1717.65,1217.71,1294.74
251,1723.28,1214.96,1299.47
252,1742.86,1223.93,1304.23
253,1753.40,1223.73,1303.30
254,1768.04,1234.22,1308.61
255,1781.88,1223.35,1315.28
256,1801.97,1221.14,1326.07
257,1808.33,1243.89,1331.13
258,1826.86,1260.46,1338.12
259,1835.36,1288.48,1328.47
260,1852.02,1302.34,1337.10
261,1864.26,1321.64,1334.84
262,1882.77,1332.39,1383.21
263,1895.23,1344.58,1378.83
264,1913.53,1345.37,1414.92
265,1920.43,1352.61,1376.51
266,1941.31,1351.31,1370.66
267,1947.49,1365.58,1377.99
268,1967.92,1356.08,1432.49
269,1980.76,1371.21,1424.27
270,1999.54,1379.36,1424.21
271,2009.37,1383.13,1399.63
272,2027.33,1400.21,1403.10
273,2046.17,1414.42,1446.88
274,2056.17,1412.40,1460.75
275,2068.43,1433.99,1462.36
276,2088.57,1420.48,1476.32
277,2102.11,1441.88,1476.27
278,2118.70,1451.05,1481.24
279,2131.44,1471.78,1451.12
280,2145.16,1466.54,1465.54
281,2163.65,1469.97,1472.20
282,2183.32,1476.84,1516.16
283,2189.71,1504.09,1443.07
284,2211.70,1490.60,1445.98
285,2219.47,1504.02,1450.76
286,2240.92,1516.37,1521.72
287,2256.65,1508.58,1493.87
288,2276.77,1513.61,1510.68
289,2287.28,1527.62,1548.20
290,2307.53,1544.95,1534.62
291,2315.18,1585.24,1581.69
292,2334.75,1588.42,1609.95
293,2348.81,1602.24,1623.32
294,2370.72,1609.99,1619.13
295,2385.21,1618.60,1638.38
296,2412.38,1632.12,1642.75
297,2416.35,1634.20,1660.45
298,2437.11,1638.60,1675.35
299,2445.81,1650.97,1696.73
300,2464.50,1651.55,1684.03
301,2480.35,1668.05,1635.89
302,2503.03,1675.74,1676.42
303,2513.15,1681.87,1675.54
304,2534.83,1701.87,1727.12
305,2549.43,1708.35,1717.12
306,2570.76,1711.86,1724.85
307,2575.57,1736.37,1720.16
308,2601.21,1731.86,1687.80
309,2612.23,1743.42,1733.87
310,2634.94,1751.73,1770.18
311,2650.20,1770.57,1784.22
312,2676.44,1768.46,1809.19
313,2680.16,1777.93,1787.30
314,2707.02,1790.26,1784.70
315,2715.56,1823.04,1794.40
316,2742.46,1809.10,1804.18
317,2750.56,1816.97,1807.37
318,2775.47,1826.31,1819.13
319,2786.81,1814.59,1838.68
320,2810.45,1828.67,1806.47
321,2832.72,1838.89,1864.43
322,2841.48,1849.79,1874.53
323,2855.82,1882.88,1885.23
324,2877.04,1896.58,1875.98
325,2890.99,1911.18,1889.39
326,2917.14,1923.02,1853.99
327,2929.93,1932.57,1907.47
328,2960.71,1941.58,1920.16
329,2965.42,1958.33,1861.45
330,2992.65,1956.62,1927.25
331,2994.82,1974.26,1847.61
332,3024.63,1962.57,1891.23
333,3034.60,1986.01,1897.11
334,3060.68,1995.27,1874.16
335,3073.79,2005.60,1934.94
336,3101.56,2029.26,1944.57
337,3107.90,2046.06,2004.26
338,3135.44,2047.12,1993.46
339,3149.36,2074.56,1950.45
340,3175.44,2054.42,2006.43
341,3176.70,2084.79,2019.65
342,3217.86,2101.24,2017.32
343,3236.90,2118.05,1989.99
344,3256.60,2115.87,2059.14
345,3267.13,2123.52,2012.32
346,3296.35,2133.80,2096.63
347,3306.15,2148.26,2144.81
348,3331.40,2154.18,2115.75
349,3340.43,2198.18,2052.77
350,3368.49,2222.61,2095.66
351,3384.95,2177.52,2097.10
352,3408.87,2199.03,2155.21
353,3416.84,2240.85,2183.82
354,3438.98,2275.18,2126.09
355,3450.92,2289.74,2098.59
356,3477.48,2296.03,2108.25
357,3486.22,2303.00,2166.99
358,3519.66,2322.40,2205.31
359,3532.87,2327.11,2177.97
360,3561.71,2341.17,2148.04
361,3577.32,2307.39,2203.37
362,3615.34,2319.70,2161.04
363,3613.44,2318.28,2213.05
364,3642.42,2311.11,2237.17
365,3652.42,2330.22,2213.78
366,3682.35,2339.29,2228.23
367,3704.75,2359.66,2257.73
368,3725.79,2350.23,2229.83
369,3740.62,2401.14,2266.14
370,3764.10,2395.53,2297.97
371,3770.90,2421.02,2313.55
372,3799.91,2428.96,2273.22
373,3824.36,2436.80,2303.74
374,3842.93,2463.05,2270.07
375,3858.07,2469.09,2315.90
376,3895.05,2459.71,2287.88
377,3902.48,2460.59,2307.56
378,3928.05,2473.78,2347.68
379,3931.94,2486.81,2334.89
380,3958.48,2490.24,2330.60
381,3974.11,2468.51,2285.25
382,4007.01,2390.29,2326.99
383,4023.35,2332.35,2319.75
384,4051.42,2357.10,2393.97
385,4062.15,2399.92,2433.38
386,4084.72,2434.77,2445.18
387,4100.47,2467.05,2462.61
