n,ns_limb
128,5.4680
130,5.3953
132,5.6353
134,5.6741
136,5.7735
138,5.7488
140,5.8645
142,5.8778
144,6.0304
146,6.1357
148,6.1491
150,6.1833
152,6.3417
154,6.2929
156,6.2626
158,6.4305
160,6.4573
162,6.7804
164,6.8162
166,6.8996
168,6.8213
170,6.9652
172,7.0213
174,7.1328
176,6.9957
178,7.0308
180,7.0355
182,6.7011
184,7.1091
186,7.1804
188,7.1935
190,7.1841
192,7.2647
194,7.2700
196,7.3574
198,7.3704
200,7.4349
202,7.4916
204,7.5099
206,7.5363
208,7.2458
210,7.6110
212,7.7146
214,7.6963
216,7.7721
218,7.8270
220,7.8334
222,7.9071
224,7.8840
226,8.0328
228,8.0394
230,8.0514
232,8.1339
234,7.8175
236,8.2114
238,8.3223
240,8.2960
242,8.3622
244,8.3885
246,8.4215
248,8.4634
250,8.4264
252,8.5546
254,8.6008
256,8.6689
258,8.7130
260,8.3512
262,8.7509
264,8.8586
266,8.8354
268,8.8596
270,8.9331
272,8.9440
274,9.0098
276,9.0269
278,9.1267
280,9.1165
282,9.1589
284,9.1885
286,8.9124
288,9.2275
290,9.3380
292,9.3562
294,9.4212
296,9.4873
298,9.4796
300,9.5223
302,9.7122
304,9.8832
306,9.8779
308,9.9229
310,9.9894
312,9.7463
314,10.0329
316,10.1520
318,10.1692
320,10.2495
322,10.7402
324,10.4075
326,10.9890
328,10.8216
330,10.6345
332,10.6499
334,10.6497
336,10.6288
338,10.3420
340,10.6674
342,10.7304
344,10.7706
346,10.8075
348,10.8381
350,10.7887
352,10.8850
354,10.8776
356,10.9722
358,10.9875
360,11.0133
362,10.8983
364,10.4905
366,10.7566
368,10.9315
370,11.1069
372,11.2240
374,11.2777
376,11.2887
378,11.3780
380,11.3614
382,11.4764
384,11.3359
386,11.4064
388,11.3724
390,11.1690
392,11.4018
394,11.4396
396,11.4165
398,11.4004
400,11.4715
402,11.4839
404,11.5203
406,11.5152
408,11.5911
410,11.6426
412,11.6584
414,11.5669
416,11.1826
418,11.5450
420,11.6977
422,11.8083
424,11.9037
426,11.9922
428,11.9719
430,12.0142
432,11.9796
434,12.0184
436,12.0860
438,12.1154
440,12.1162
442,11.9529
444,12.1361
446,12.2309
448,12.2779
450,12.2790
452,12.3256
454,12.3054
456,12.4311
458,12.4244
460,12.4656
462,12.4478
464,12.4861
466,12.3860
468,12.0371
470,12.3600
472,12.5196
474,12.6755
476,12.7493
478,12.7856
480,12.7676
482,12.7751
484,12.7309
486,12.7665
488,12.8318
490,12.9614
492,12.8740
494,12.6751
496,12.9029
498,12.9328
500,12.9649
502,13.3469
504,13.2487
506,13.3536
508,13.5305
510,13.3495
512,13.4518
