n,ns_limb
2048,20.8646
2139,22.4736
2233,21.1322
2332,20.3845
2435,19.6028
2543,21.8471
2656,21.6073
2774,21.1389
2896,20.6209
3025,20.4679
3158,20.6416
3298,20.5562
3444,20.5052
3597,18.8921
3756,19.1292
3922,19.5338
4096,21.0614
4277,22.7933
4467,23.3587
4664,22.4409
4871,21.6294
5087,22.2737
5312,21.6156
5547,21.2900
5793,21.0856
6049,20.8584
6317,21.0083
6597,20.9541
6889,21.2125
7194,20.3668
7512,20.6299
7845,20.1453
8192,19.9957
8555,22.9864
8933,22.6784
9329,22.5117
9742,21.6946
10173,21.6212
10624,21.7995
11094,21.4259
11585,21.1201
12098,20.8763
12634,21.6434
13193,21.0061
13777,21.1327
14387,20.9502
15024,20.7302
15689,20.6034
16384,20.3312
17109,23.2102
17867,22.8585
18658,22.7138
19484,22.2858
20347,22.2318
21247,22.4294
22188,22.0319
23170,21.6978
24196,21.4829
25268,21.6992
26386,21.3981
27554,21.2534
28774,21.6166
30048,21.3129
31379,20.9920
32768,22.1755
34219,25.2084
35734,24.8733
37316,24.7974
38968,24.4902
40693,24.2222
42495,24.0604
44376,23.6975
46341,23.5004
48393,23.2179
50535,23.4146
52773,23.1317
55109,22.9720
57549,22.8659
60097,22.5994
62757,22.5279
65536,21.9747
68438,25.5562
71468,25.2215
74632,24.7975
77936,24.6644
81386,24.4690
84990,24.4566
88752,24.0866
92682,23.7529
96785,23.5058
101070,24.1395
105545,24.0835
110218,23.6949
115098,23.6812
120194,23.4426
125515,23.7529
131072,22.8393
136875,28.1516
142935,27.8542
149263,27.8587
155872,27.6219
162773,27.1958
169979,27.3075
177505,27.1747
185364,27.1729
193571,26.7149
202141,27.1996
211090,26.5809
220436,27.1471
230195,26.5798
240387,26.3449
251030,26.2290
262144,26.8611
273750,32.7172
285870,32.0721
298527,31.9743
311744,31.4310
325546,31.0414
339959,30.6024
355010,30.4936
370728,30.5154
387141,29.7088
404281,31.9936
422180,31.6971
440872,31.5055
460391,31.0546
480774,30.3268
502060,30.1356
524288,29.2071
547500,32.6417
571740,32.6342
597053,32.4540
623487,32.1514
651091,31.8063
679917,32.4851
710020,32.2814
741455,32.1725
774282,31.8189
808563,32.6111
844361,32.6990
881744,32.3370
920782,32.5036
961548,31.7166
1004120,31.7929
1048576,31.4212
1095000,35.4736
1143480,35.0887
1194106,35.0326
1246974,34.8782
1302182,34.5183
1359835,34.9812
1420040,34.5444
1482910,34.3567
1548564,34.2649
1617125,34.8440
1688722,33.7649
1763488,34.0415
1841564,33.9441
1923097,33.5177
2008240,33.4525
2097152,33.0202
