n,basecase_ns,toom22_ns,toom33_ns
230,1472.39,1067.36,1211.05
231,1486.20,1072.55,1222.53
232,1500.42,1100.51,1218.54
233,1509.37,1107.64,1228.07
234,1524.91,1113.28,1242.41
235,1536.72,1126.59,1155.03
236,1553.07,1118.19,1153.27
237,1561.50,1124.59,1201.59
238,1577.35,1115.42,1201.85
239,1591.50,1124.99,1211.61
240,1605.16,1153.80,1253.94
241,1614.60,1166.68,1300.51
242,1630.49,1168.43,1262.39
243,1641.26,1178.43,1312.09
244,1658.15,1172.98,1318.53
245,1671.70,1198.20,1321.10
246,1683.79,1201.17,1351.04
247,1699.62,1219.76,1289.71
248,1718.06,1208.18,1303.94
249,1726.43,1219.00,1363.21
250,1743.24,1227.82,1390.09
251,1754.41,1228.22,1390.24
252,1768.98,1227.73,1401.98
253,1781.12,1249.83,1396.99
254,1795.18,1250.44,1398.91
255,1812.75,1242.75,1405.85
256,1827.83,1243.13,1388.24
257,1844.79,1261.98,1392.11
258,1857.24,1278.52,1388.35
259,1865.79,1309.18,1403.71
260,1885.09,1324.03,1412.57
261,1893.58,1343.39,1417.03
262,1910.09,1357.87,1456.37
263,1924.35,1374.25,1456.32
264,1944.24,1375.13,1502.61
265,1955.43,1375.60,1432.56
266,1973.42,1374.30,1430.46
267,1982.91,1389.65,1437.21
268,2001.15,1376.14,1490.49
269,2011.72,1386.31,1514.20
270,2029.34,1400.23,1483.09
271,2043.78,1403.09,1461.18
272,2062.27,1422.44,1460.62
273,2074.67,1458.97,1537.21
274,2087.13,1462.71,1539.13
275,2102.39,1481.70,1562.56
276,2123.61,1468.87,1551.01
277,2132.19,1479.11,1569.19
278,2152.14,1481.91,1571.80
279,2162.39,1496.75,1522.01
280,2185.61,1494.80,1523.45
281,2195.81,1515.25,1534.62
282,2213.50,1529.71,1594.75
283,2225.87,1534.93,1498.49
284,2245.37,1520.44,1499.00
285,2255.23,1542.07,1504.63
286,2275.46,1554.03,1610.46
287,2297.74,1556.77,1554.42
288,2313.81,1564.70,1605.18
289,2328.93,1569.45,1628.39
290,2342.70,1582.36,1616.08
291,2353.60,1620.41,1675.64
292,2372.57,1623.44,1718.19
293,2391.12,1650.25,1731.33
294,2401.26,1668.89,1729.92
295,2418.10,1676.05,1728.55
296,2447.10,1682.18,1737.47
297,2451.11,1685.58,1757.38
298,2466.71,1686.52,1765.54
299,2484.77,1695.46,1766.04
300,2507.84,1694.77,1780.75
301,2520.23,1710.17,1706.32
302,2535.99,1719.79,1769.37
303,2555.75,1719.21,1775.70
304,2572.37,1744.16,1787.12
305,2583.53,1791.35,1787.74
306,2602.35,1816.25,1826.86
307,2615.97,1856.69,1806.72
308,2638.19,1869.80,1757.35
309,2646.56,1886.44,1824.46
310,2670.27,1867.46,1876.49
311,2685.71,1906.00,1883.76
312,2712.70,1909.94,1918.09
313,2725.86,1907.49,1895.45
314,2744.79,1914.57,1894.30
315,2755.63,1924.91,1900.78
316,2781.42,1927.91,1908.28
317,2794.91,1889.12,1914.36
318,2813.85,1898.35,1933.20
319,2833.95,1833.68,1931.93
320,2854.47,1906.01,1884.30
321,2866.18,1888.66,1946.55
322,2887.69,1887.41,1958.16
323,2899.26,1912.26,1986.42
324,2917.54,1903.85,1988.35
325,2928.64,1983.67,1978.17
326,2957.51,1997.62,1940.41
327,2977.09,2023.18,2000.71
328,3004.39,2054.26,2028.67
329,3012.38,2099.80,1970.23
330,3029.30,2106.78,2035.15
331,3041.18,2127.65,1924.07
332,3066.77,2100.26,1992.24
333,3079.49,2141.74,1993.56
334,3101.82,2145.96,1970.41
335,3121.43,2162.04,2046.91
336,3135.26,2176.73,2059.71
337,3161.05,2192.82,2111.81
338,3183.45,2188.17,2103.94
339,3197.74,2194.51,2041.36
340,3228.46,2170.48,2114.47
341,3236.03,2179.35,2134.70
342,3265.65,2196.67,2140.92
343,3280.45,2226.81,2088.52
344,3310.51,2213.93,2164.05
345,3310.86,2215.55,2109.49
346,3344.65,2216.99,2222.40
347,3346.59,2227.37,2215.70
348,3380.92,2227.94,2203.51
349,3385.86,2251.25,2149.66
350,3416.20,2244.20,2209.50
351,3435.71,2212.15,2228.89
352,3466.43,2230.36,2212.52
353,3465.78,2256.96,2243.76
354,3495.11,2289.15,2212.99
355,3498.92,2304.24,2185.46
356,3531.18,2327.78,2195.31
357,3549.28,2333.56,2257.90
358,3565.33,2348.25,2327.17
359,3588.15,2350.85,2253.68
360,3617.67,2358.20,2259.09
361,3633.26,2344.76,2324.63
362,3662.61,2370.96,2248.92
363,3672.84,2380.97,2338.51
364,3701.56,2370.38,2329.20
365,3712.35,2383.94,2322.10
366,3739.01,2388.52,2325.69
367,3752.75,2408.19,2378.82
368,3785.69,2405.23,2311.07
369,3797.85,2459.65,2374.62
370,3808.93,2460.53,2379.42
371,3827.51,2482.35,2387.25
372,3860.59,2492.52,2385.88
373,3875.47,2494.09,2418.70
374,3891.99,2513.29,2361.56
375,3916.19,2520.75,2443.26
376,3948.54,2509.95,2386.65
377,3956.14,2508.06,2398.16
378,3974.76,2526.45,2485.14
379,3992.19,2536.99,2473.46
380,4018.94,2530.95,2459.81
381,4039.51,2503.11,2383.15
382,4062.70,2441.81,2431.08
383,4082.51,2378.66,2433.44
384,4111.60,2426.58,2530.80
385,4114.83,2424.37,2596.43
386,4156.19,2457.39,2582.93
387,4157.56,2479.55,2584.66
388,4195.76,2473.39,2569.84
389,4205.76,2577.42,2599.21
390,4231.34,2646.88,2582.00
391,4244.83,2667.04,2578.40
392,4278.20,2691.09,2635.59
393,4284.09,2702.07,2594.53
394,4313.36,2734.95,2706.91
395,4329.25,2736.68,2678.91
396,4357.75,2732.65,2716.63
397,4383.88,2751.43,2700.73
398,4405.33,2760.22,2656.36
399,4423.95,2728.37,2654.88
400,4456.13,2773.68,2741.85
401,4464.62,2778.24,2737.33
402,4497.56,2802.61,2714.51
403,4509.77,2831.92,2658.14
404,4539.41,2810.84,2666.00
405,4571.57,2827.78,2734.91
406,4584.48,2830.61,2711.96
407,4605.18,2859.38,2741.18
408,4636.78,2840.48,2870.11
409,4645.56,2828.28,2780.87
410,4681.81,2819.70,2781.95
411,4686.26,2837.25,2841.32
412,4730.57,2819.78,2862.67
413,4742.39,2832.79,2864.91
414,4765.78,2859.53,2901.94
415,4784.34,2803.17,2883.51
416,4825.41,2845.47,2831.07
417,4821.27,2882.36,2884.91
418,4860.45,2879.44,2875.13
419,4876.99,2899.47,2920.17
420,4904.27,2912.80,2926.88
421,4934.32,2944.73,2892.85
422,4953.83,2951.09,2893.24
423,4976.63,2970.67,2918.17
424,5012.12,2980.75,2908.75
425,5014.12,2984.59,2984.77
426,5043.54,3004.50,2986.69
427,5063.61,2989.90,2975.59
428,5101.34,2996.40,2900.55
429,5120.15,3017.50,2990.45
430,5148.70,3036.95,3037.00
431,5177.43,3053.10,3048.98
432,5219.37,3049.62,3024.35
433,5208.40,3080.55,3122.58
434,5224.87,3069.34,3027.59
435,5257.57,3089.76,3036.42
436,5288.27,3084.81,3108.53
437,5324.17,3111.36,3155.33
438,5345.25,3105.75,3126.98
439,5376.13,3122.01,3185.52
440,5414.11,3142.06,3202.54
441,5418.91,3165.19,3209.85
442,5445.12,3141.00,3253.84
443,5455.07,3124.80,3266.07
444,5496.05,3132.59,3266.46
445,5503.79,3117.25,3263.82
446,5533.45,3083.68,3265.14
447,5564.09,3040.54,3273.23
448,5606.27,3130.60,3314.69
449,5594.42,3109.45,3269.60
450,5650.02,3158.35,3350.89
451,5667.52,3169.70,3238.15
452,5699.46,3163.67,3245.56
453,5711.55,3251.02,3244.95
454,5735.68,3293.41,3478.56
455,5765.43,3315.56,3400.35
456,5800.99,3337.39,3351.07
457,5812.37,3353.70,3491.04
458,5831.95,3355.93,3556.66
459,5858.25,3361.45,3515.77
460,5890.28,3336.30,3578.02
461,5909.76,3375.10,3610.67
462,5939.54,3385.43,3645.63
463,5964.60,3411.22,3638.02
464,5988.05,3446.43,3547.97
465,6004.49,3462.34,3628.45
466,6037.41,3454.30,3693.45
467,6056.54,3467.93,3677.60
468,6090.29,3453.20,3604.94
469,6123.45,3474.12,3584.72
470,6149.10,3497.49,3589.40
471,6169.47,3533.96,3623.42
472,6220.97,3506.50,3549.66
473,6225.91,3508.78,3587.11
474,6250.36,3504.72,3557.17
475,6280.19,3518.83,3453.11
476,6307.30,3494.39,3552.22
477,6331.68,3500.57,3413.81
478,6366.84,3545.57,3521.42
479,6388.60,3486.03,3590.00
480,6422.98,3574.20,3608.86
481,6441.67,3599.26,3633.40
482,6485.08,3579.89,3699.03
483,6492.06,3624.24,3613.49
484,6537.41,3610.12,3666.40
485,6551.30,3650.41,3754.36
486,6580.95,3654.94,3693.08
487,6617.81,3679.30,3742.27
488,6641.70,3716.90,3775.65
489,6658.72,3731.43,3950.83
490,6691.93,3733.51,3911.12
491,6709.96,3728.63,3987.19
492,6744.31,3716.07,4060.46
493,6771.99,3763.99,3950.59
494,6799.84,3763.30,3940.48
495,6829.48,3787.38,4052.79
496,6851.61,3774.63,4032.68
497,6894.11,3840.67,3912.20
498,6917.70,3814.27,3903.71
499,6937.16,3829.51,4031.52
500,6974.78,3819.15,3919.32
